Metric,Correlation,P-value
cSIL,0.41288781849462564,0.3093200674966854
GD43,0.21690656411508066,0.6058765407081058
GD53,0.27147039385199945,0.5154480272691767
PS,0.07229114737277782,0.8649256011151392
rCIP,0.06301167842622367,0.8821654630430553
WB,0.18993575242391886,0.6523428228017528
XB,0.14330796523782313,0.734953824335048
SSE,-0.3511412878529271,0.07250574608500004
RS,0.32684201360945125,0.4294164464835266
DH,-0.04721929976201639,0.8150790584875007
B,0.1354913293098425,0.5004146522137741
BH,0.08447078169551007,0.6752863760022394
D,0.21303319377429447,0.2860257375717149
H,-0.06998963227938967,0.8691973692015965
DBCV,0.3964892210253788,0.04060740200651377
I,0.07411516053263513,0.7133232458299171
C,-0.1087751475632405,0.5891459635204997
CDbw,0.19550455719483767,0.32843275830991536
VIASCKDE,0.3594443871321964,0.07131034187000884
COP,0.09521600015116807,0.6366260142852637
Sym,0.08711727303223538,0.6656848877490087
CS,0.05902908131637596,0.7699308617637801
SF,0.2547863212909803,0.19964835939882805
SD,-0.4110806772079358,0.03315863428257818
SDbw,0.23820480452723417,0.23150254565527018
XB*,0.15957434124041256,0.4265835074440713
S,0.3164337134882164,0.10782040794874273
DB,0.18821983046431898,0.3471248929667119
CH,0.19366646252834166,0.33309031052116456
AD-S,0.6299281793114152,0.00042968426250234874
AD-DB,-0.5305955272161634,0.004410067996308331
AD-CH,0.18043069326400132,0.36779833812629625
AD-idea,0.2737413378699997,0.16707796523193344
