,HDBSCAN,AgglomerativeClustering,KMeans,SpectralClustering,DBSCAN,MeanShift
cSIL,,-0.36123090223706733,0.24098667029716456,0.09318024630042351,,-0.03547396910917269
GD43,,0.25139572381626657,0.4940885251694221,0.42655691219759334,,0.14393176211350928
GD53,,0.13985194863056333,0.4308134066372848,0.1721875410099938,,-0.12205135022405028
PS,,-0.022297093496170085,0.3377105585603426,0.18342475380199336,,0.04061431258742964
rCIP,,-0.42665556500877255,0.1457479856925381,-0.15812032209270105,,-0.14855791330230944
WB,,0.8740413438307316,0.5478544995482506,0.7518532970163412,,0.522999244120258
XB,,-0.030106325381982813,0.36032278426179193,0.2823246626044636,,0.08835304009052496
SSE,0.23488104419133693,0.48600210973772257,-0.013218312561109946,0.31579493545740234,-0.10565142679209165,0.3775289686169929
RS,,-0.3180778095519731,0.6107528744879143,0.20761075630677597,,0.2899065219688274
DH,-0.30409502990179405,-0.3282242692367269,0.0911667512407639,-0.0006779107806220912,0.20782381049402418,0.07061108858422911
B,-0.42408855498063636,0.22404837485643309,-0.17119447504239022,0.03951304050729682,-0.6929446543830179,0.0968835538810406
BH,0.1545091476147875,0.5130748530151963,-0.10422416673886407,0.26020721499628385,-0.5573042605784055,0.39777426378487146
D,,-0.1529240927921663,0.27393355284465104,0.07506480929386088,,-0.46170872067286406
H,,-0.5753969887819614,0.21046573511392752,-0.008444896878774897,,-0.05296486378360707
DBCV,-0.11758659536303827,-0.5698969627590615,0.4918128148322339,0.26741762480983405,0.3157285706184064,0.04741452101878501
I,-0.25551434037038817,-0.1808740515602295,0.16109509016423879,-0.07491126697669628,-0.005386813621828562,0.0694117955169197
C,-0.0889568311759703,0.4099587421488834,0.20900528484968503,0.5294210974038798,0.7348084988601812,0.09667042649859706
VIASCKDE,0.10121023019040257,0.1624013913639957,-0.27481030012624036,-0.08666881179109645,0.5726504926401902,-0.3483842408145197
COP,-0.06415955255075227,0.3221987853170556,0.12434867631223932,0.045234309665880844,-0.3118952519711375,-0.08369177698551702
Sym,-0.003828610148634021,0.35541703928036633,-0.05130140970580591,0.289482010362972,0.04775707437463721,0.25358094641200957
CS,-0.3537229753276289,-0.48497292563432776,-0.17416488235949357,-0.08765976882529691,0.2356945976803817,0.028843540118068958
SF,-0.31561544095793065,-0.22218767332288253,0.3142690941495353,0.33939330460650835,-0.36526877049463935,0.08816519900769336
SD,0.13211969303150026,-0.2623546320299075,0.014975803557062765,-0.008658628972791738,-0.2758746621868382,0.1495567221369813
SDbw,-0.18049171605019837,-0.30517587596094775,0.2486267772779674,0.02520994207011789,0.38756796234683116,0.7885161476632816
XB*,-0.28274835958230204,-0.21878278946505278,0.49575939479525016,0.13339432229720022,-0.07773450864763255,0.11954456890930534
S,-0.12479993179272741,0.16836723089184438,0.35660977511541275,0.2703331695886272,0.41355250664093596,0.03265093437392477
DB,-0.23933627884611658,-0.4212245612801804,0.07982969664715275,-0.009856181169916909,-0.14348650092838558,-0.023475619943304507
CH,0.2255490491673675,0.7795621252765534,0.31493743579588357,0.45168240672240967,0.6568625566545832,0.24535928670961124
AD-S,-0.23538991575745996,-0.5310898058861432,0.2530748642527463,-0.2093712194449826,0.536514575460637,-0.47719621138133944
AD-DB,-0.22822218996023533,-0.569989999426413,-0.012327190365978936,-0.017949370033791188,0.3305552245232174,-0.3798860129736779
AD-CH,0.26230764162921183,0.7118739425688759,0.20674034927039373,0.17840774828097045,0.4030346481937809,0.21195608492223109
AD-idea,-0.0759181524653143,0.13916106869758088,-0.11163780833446788,-0.14716673212911485,0.5341595843251169,-0.29035806303332645
