,data1,data2,data3,data4,data5,data6,data7,fuzzyx,line,dense,parabolic,ring,ring_noisy,ring_outliers,zigzag,zigzag_noisy,zigzag_outliers,mk1,mk2,smile,x1,x2,x3,trajectories,aggregation,compound,jain,pathbased,spiral,r15,flame,d31,unbalance,s1,s2,s3,s4,a1,a2,a3,lsun,target,twodiamonds,wingnut
cSIL,0.8493448679526389,0.49836434068912017,0.7745214225882652,-0.2276124151423483,0.3494481469091359,-0.47039972205237923,-0.7691883773024392,0.3848489501293712,-0.7997589783726289,0.25676975882397857,0.4207273732825269,-0.8097388665678893,-0.37904283921121834,0.06808194904906124,-0.04907864198805549,0.4078230157323895,-0.16609639335347579,0.6816367339656864,-0.47479470422315034,0.12275705451412407,0.4961061810127382,-0.3046010096058954,0.1514485040844521,0.8918477814409914,0.46298897727739285,-0.2499542121709278,0.008821619907392718,0.3011547766937379,-0.2872496980865593,-0.0780687067512367,0.20701117808092817,0.7181932480530725,0.478871152293817,0.6772383342378929,0.3924177040682306,0.45129117202179375,0.17856805837110945,0.757407314707161,0.8725529062044463,0.7669233710327539,0.5040041706558247,0.6171055540479163,-0.06977049327383451,-0.07941690905766581
GD43,0.9611559948390738,0.7485500753764595,0.9632423403647129,-0.08647779367229141,0.7370679443378328,-0.21772816412802207,-0.755735451335531,0.7369080079107815,-0.680965030761631,0.08928355712496444,0.2948777649905534,-0.7297529465719719,0.06901669257903739,-0.06771573492223137,-0.07548303202023153,0.6395688895882862,-0.14555447722570272,0.9516836375181457,-0.5825274938023354,0.486359883683664,0.7917744787789718,-0.1925441695310302,0.5233924785096321,0.805317799163283,0.5471911778124792,-0.10578930086658625,0.04789189702021025,0.21555436556077184,-0.11469840370406353,0.6486634608148846,0.14318007185097548,0.8126326491986781,0.40215738809846485,0.8083955472908851,0.6590316761512259,0.8174515606498343,0.6052058890442452,0.7736118504732803,0.7015431705819218,0.7603160317226056,0.4794926193905362,0.31687015586834016,-0.026345987581545233,-0.06765259456750211
GD53,0.792672873793107,0.3173501446073645,0.719962839603887,0.05193261354024078,-0.7796600419253177,0.8298422805612219,-0.66786432447607,0.7793208406277626,-0.06165022377630006,0.14469307667950734,0.6290514765907907,-0.4188102070491102,-0.24808461521046077,-0.7306783600764261,-0.7689466503193532,-0.3842895049492571,-0.6902753181137711,0.47572773522884704,-0.279386676230069,-0.20908535984823795,-0.21485160359085315,-0.3797977120468929,-0.4664669762738734,-0.47176981041121946,-0.09735075920931537,-0.19465242019809853,0.4433896807483283,-0.5355799568860895,-0.25127326644954806,0.5876085132617317,0.11710503145201646,0.36530542852832204,-0.17642451210119828,0.6414075932857377,0.4323368443844592,0.3264816795162937,0.16711790562320733,0.46362723973539793,0.44927449564229627,0.4425489329324469,-0.4226294932880578,-0.7688808673047478,0.4806727972962352,0.4128325879343676
PS,0.7500196560747897,0.24498520325501139,0.6458217617432099,0.385368200991935,0.1579456189696878,0.06391128129058865,-0.17081758362612579,0.3273091842783511,-0.35103951716219095,0.6272268309785359,0.577547803580355,0.5502899922670265,0.03167597126518035,-0.800922715926991,-0.5272230027339367,-0.21929103475980052,-0.6216928544529895,0.5533042990549157,-0.3292889061693786,-0.10085546201027594,0.029113711470142644,-0.02065890958032221,0.2464367317537714,0.7232731987256359,-0.3615587863292262,-0.5344216144337376,0.19414724645672662,-0.12074218656612613,0.01972262087563336,0.6657639729472977,0.5444185466371325,0.37977463729751687,-0.3546018962500035,0.765112000746244,0.6652842386796091,0.6990514152250251,0.6673125113619817,0.2637120550432989,0.4004280340526205,0.42795736278378077,0.05747194665304172,-0.7898813189921682,0.11191018889674868,-0.3542527427354648
rCIP,0.16251977837441578,0.06651520153412761,-0.08787835068420327,-0.07258750705124403,-0.38930459185164434,0.3975421654305015,-0.6462655705415759,-0.3472733751201003,0.5231038646618579,0.42470613008308067,0.8545157864417919,-0.43254064214536253,-0.21522418693073164,-0.5371305512604702,-0.729868012879106,-0.5068941603367554,-0.740812342060089,-0.06566362383911668,-0.24221759559662467,-0.10223685697507165,0.5228840945117431,-0.37906084403456536,-0.5413051870230178,0.18421544097704762,-0.10878271678464574,-0.418282607038013,0.6543546305561008,-0.34675679639385637,-0.7830505554851275,-0.3259702543821269,0.29283292561621055,0.13730683881661399,-0.06475003704703597,0.18831995696775714,-0.08693851163257596,0.02763778507513864,-0.1743526801259745,0.1911794913399542,0.4198308984189331,0.408772286665075,-0.35549137277112564,0.1688579118448972,0.7778196966124343,0.3461200059807607
WB,0.9520144772677934,0.932412680630088,0.9431200657255139,0.252806634358567,0.734894878196276,-0.7107455312973822,-0.7527309301446565,0.6972382697739923,-0.5856013313402465,0.2138468681511738,-0.22516441170238274,-0.6511252133549794,0.6359658464451127,-0.025740166979936835,-0.018442169889488613,0.8362779799016264,0.21324346490715074,0.8890671571299917,-0.5014271536240849,0.6040612455399533,0.8602156856748706,0.6053612118823979,0.8923568351860585,0.7856784280542394,0.5902994543353365,0.06857007274824488,-0.35541074695277,0.46897177832406484,-0.04551756394366457,0.8327160056686429,-0.023742331006002565,0.9664055046232303,0.8567489475815628,0.9545741948953607,0.9392012327784517,0.9667107652571958,0.9280163449917781,0.9080621273687853,0.9008047870486408,0.9004919275026333,0.5697076054607036,-0.058393268262472306,-0.27185656432152056,-0.3372380193247695
XB,0.8099389283508606,0.35341235104083085,0.6873253146007232,-0.13768433509910588,0.2835169818015685,-0.02027097410180694,-0.7789526264538367,0.5613785678515757,-0.9090088527030986,0.7793641775662308,0.5868105208263281,-0.6713957281881168,0.03908337988166961,-0.1348006056240374,-0.22265703021864117,0.32040192784807664,-0.22822090258078329,0.5628027456059085,-0.4768517309711301,-0.00626822586568145,0.5035643127514975,-0.159019912388611,0.37807894348413107,0.8228534361845733,0.3516746823010453,-0.07336057175932033,0.41385433283683537,0.10314253308790922,-0.3637220332386605,-0.008121722283886275,0.5914717082029749,0.3702650420186324,0.22005383837771308,0.5300368740276307,0.3198911281871153,0.6949862100324827,0.6073456738324955,0.45315461415511205,0.5884955526359079,0.5617777915630575,0.3143537937657412,0.2180711705047128,0.1766903922749257,-0.025080216065913354
SSE,0.283909450709128,0.5149772908023861,0.3699637078585859,-0.05090509853189832,0.23250883996464117,-0.7416180424670499,-0.7279091827241542,0.7903060795963094,-0.5734229456005597,-0.43366355508665055,-0.47952117210796996,-0.5766998432052848,-0.2995618319509505,-0.167277313063327,-0.32784219422719874,0.16131425834701513,-0.01500509107990458,0.2960606908910453,-0.2606912285581096,0.2175091291558128,0.16956840984397778,0.3840688450032838,0.7988028385446124,0.6898116546733641,0.5547006887894141,0.11646613149116374,-0.520914245941318,0.04784894615454724,-0.16352986830916075,0.6738322178647083,-0.1433312999892381,0.9063646260846804,0.4268908552403162,0.8048865778652018,0.8845092921139791,0.9359556406286117,0.9363199012241324,0.8592863710072292,0.8956574979217983,0.8910531951066378,-0.05748482161462079,-0.14797169111883024,-0.11400019395811727,-0.3970937126776077
RS,0.9247456110634228,0.8568588746885003,0.9198368544972572,0.1072718582295367,0.9276792017537427,-0.4406327832543214,-0.7065484687183637,0.4163195981497391,-0.6055061930970886,0.6187423236612583,0.21620376773381478,-0.8122559566204743,-0.4482797121780646,0.04927266701226737,0.005832345969116531,0.662971213605717,0.3491445067406767,0.8773365397612378,-0.4223154594971387,0.7632671990964593,0.8581784790704436,0.04324534772633975,0.8413327340197198,0.7456152519053952,0.7034028263598382,-0.13117703025170652,-0.31862048556691486,0.12482397836015409,-0.254006866733133,0.7945174923386253,-0.09751461385887034,0.9577709296781423,0.6838702785252275,0.8832139263643195,0.8694776927913812,0.8787991343174699,0.7078919554785942,0.8884492496453601,0.9024867058880035,0.9288802809600529,0.48103335268661807,0.5729986720793394,-0.2853173737591396,-0.0956830911866647
DH,0.2821260215910019,0.6460335082364688,0.3587216736614388,-0.10279989271069287,0.4464508371175975,-0.7437885076972474,-0.6577629172490609,0.13388535677589106,-0.5330660108578638,-0.4039035303799024,-0.7832902513668402,-0.6227188711150201,-0.6034877043646902,0.5920056419429016,0.17591080679432397,0.3201618571756626,0.19330016662459593,0.2174243605305544,-0.4100463154606615,0.6070881024653993,0.5425906808830049,0.046736596550429,0.5227252502850152,0.5763960995470665,0.6158309969106691,0.2423508777500678,-0.17341998847997794,0.07423768394370592,-0.3323172162273004,0.5322584395822602,-0.4431593882307682,0.7256509812515646,0.6459075017668559,0.6636257964946254,0.5007961034865746,0.3647527549359785,0.37030476270254825,0.6634472010818332,0.706179427319073,0.7330139726774537,0.2479658300842653,0.3300156731811133,-0.6449788873968287,-0.35104463550938275
