,HDBSCAN,AgglomerativeClustering,KMeans,SpectralClustering,DBSCAN,MeanShift
cSIL,-0.4274571833914099,-0.36123090223706733,0.24098667029716456,0.09318024630042351,-0.05325650220225995,-0.03547396910917269
GD43,-0.27014152493767185,0.25139572381626657,0.4940885251694221,0.42655691219759334,-0.22490823343689706,0.14393176211350928
GD53,-0.27026135105788957,0.13985194863056333,0.4308134066372848,0.1721875410099938,-0.22106499458095455,-0.12205135022405028
PS,0.24817609639166238,-0.022297093496170085,0.3377105585603426,0.18342475380199336,-0.23215874255317845,0.04061431258742964
rCIP,-0.42037889020686064,-0.42665556500877255,0.1457479856925381,-0.15812032209270105,0.18794152754198548,-0.14855791330230944
WB,0.3873758712599654,0.8740413438307316,0.5478544995482506,0.7518532970163412,0.24698894515870434,0.522999244120258
XB,-0.35338223707333566,-0.030106325381982813,0.36032278426179193,0.2823246626044636,-0.10665528733853608,0.08835304009052496
SSE,0.04480722949392171,0.48600210973772257,-0.013218312561109946,0.31579493545740234,-0.17927649686039954,0.3775289686169929
RS,0.09775461539355865,-0.3180778095519731,0.6107528744879143,0.20761075630677597,0.14914097143577043,0.2899065219688274
DH,-0.05789271127187783,-0.3282242692367269,0.0911667512407639,-0.0006779107806220912,0.19576708891287592,0.07061108858422911
B,-0.35522126969865087,0.22404837485643309,-0.17119447504239022,0.03951304050729682,0.19748871241447183,0.0968835538810406
BH,0.24217546618985172,0.5130748530151963,-0.10422416673886407,0.26020721499628385,-0.08828656055704594,0.39777426378487146
D,-0.4734247052638829,-0.1529240927921663,0.27393355284465104,0.07506480929386088,-0.22587737082292608,-0.46170872067286406
H,-0.305778747889763,-0.5753969887819614,0.21046573511392752,-0.008444896878774897,-0.23654537780191598,-0.05296486378360707
DBCV,-0.23772828047021283,-0.5698969627590615,0.4918128148322339,0.26741762480983405,0.15253477620760095,0.04741452101878501
I,-0.4106754517315794,-0.1808740515602295,0.16109509016423879,-0.07491126697669628,0.29078363224888765,0.0694117955169197
C,-0.2047890567870261,0.4099587421488834,0.20900528484968503,0.5294210974038798,0.1211000042472884,0.09667042649859706
VIASCKDE,0.12663598333095344,0.1624013913639957,-0.27481030012624036,-0.08666881179109645,0.07533881356157265,-0.3483842408145197
COP,-0.26044476030718317,0.3221987853170556,0.12434867631223932,0.045234309665880844,-0.0022765269442590417,-0.08369177698551702
Sym,-0.03374978126273483,0.35541703928036633,-0.05130140970580591,0.289482010362972,-0.15698076110006254,0.25358094641200957
CS,-0.5215361184040095,-0.48497292563432776,-0.17416488235949357,-0.08765976882529691,-0.04846156732591434,0.028843540118068958
SF,-0.05488866981211102,-0.22218767332288253,0.3142690941495353,0.33939330460650835,-0.3104044488497203,0.08816519900769336
SD,0.17459064457363152,-0.2623546320299075,0.014975803557062765,-0.008658628972791738,0.0007825561370890454,0.1495567221369813
SDbw,0.23480276543812875,-0.30517587596094775,0.2486267772779674,0.02520994207011789,0.3131801521557602,0.7885161476632816
XB*,-0.34592295329949546,-0.21878278946505278,0.49575939479525016,0.13339432229720022,-0.16265900706336478,0.11954456890930534
S,-0.4223952975139821,0.16836723089184438,0.35660977511541275,0.2703331695886272,0.038416392184371324,0.03265093437392477
DB,-0.4264910130658066,-0.4212245612801804,0.07982969664715275,-0.009856181169916909,-0.06634653213174943,-0.023475619943304507
CH,0.4725690799858458,0.7795621252765534,0.31493743579588357,0.45168240672240967,0.5317966941789121,0.24535928670961124
AD-S,-0.3236697420554775,-0.5310898058861432,0.2530748642527463,-0.2093712194449826,-0.044563014933870736,-0.47719621138133944
AD-DB,-0.3419831562617287,-0.569989999426413,-0.012327190365978936,-0.017949370033791188,-0.08051791235976197,-0.3798860129736779
AD-CH,0.49786837367688186,0.7118739425688759,0.20674034927039373,0.17840774828097045,0.5835023124003955,0.21195608492223109
AD-idea,-0.009556172773075775,0.13916106869758088,-0.11163780833446788,-0.14716673212911485,0.3619108709635811,-0.29035806303332645
