,data1,data2,data3,data4,data5,data6,data7,fuzzyx,line,dense,parabolic,ring,ring_noisy,ring_outliers,zigzag,zigzag_noisy,zigzag_outliers,mk1,mk2,smile,x1,x2,x3,trajectories,aggregation,compound,jain,pathbased,spiral,r15,flame,d31,unbalance,s1,s2,s3,s4,a1,a2,a3,lsun,target,twodiamonds,wingnut
cSIL,0.8650637838674979,0.5012225080479864,0.7913647675650131,-0.07149158100456422,0.38239253992832306,-0.4828155336573265,-0.8750316192146237,0.017944517628860592,-0.7954638949071661,0.16574288862855668,0.4290476329277467,-0.8116241514985116,-0.4191946569181421,-0.267862326872919,-0.2551239129674321,0.24579358317398278,-0.13799454842500894,0.6770378506162936,-0.7433598699343325,0.05793903096208129,0.570021625326991,-0.3804758053022324,0.2600467581042088,0.8906208472596062,0.4838916106599198,0.395416801278013,-0.02677211067439872,0.5668478633117268,-0.6232602322109908,-0.09228125999145377,-0.036733075602587296,0.6956018147914915,0.44851549579025696,0.6845958722344747,0.4268006002355032,0.4549897072508886,0.23660180638963707,0.7765292009467893,0.8650653881604633,0.7107033002900315,0.08787966912320987,-0.2473597710841795,-0.002974974865215675,0.1666285612660947
GD43,0.9666852153055042,0.7550569263652307,0.9748283470922172,0.06445709629871067,0.7618621084574995,-0.20629257309781748,-0.8692755882610503,0.4335769168532652,-0.676443969793715,-0.004816055972701337,0.2955933984086038,-0.7302053157147559,0.05353308824465989,-0.3269967266924776,-0.21754398125930316,0.5129860518957238,-0.19769476382928783,0.9600973808847111,-0.7983808842733287,0.23273475585630288,0.7986362367175495,-0.26726436206080695,0.5532261261805271,0.8077177386261021,0.0977772927221411,0.48027865276866066,-0.0006697667569135706,0.32337529191536957,-0.5012633060558531,0.6473151545935499,-0.025844064101674964,0.8120401795386031,0.4416667803120029,0.8219002406299659,0.6749357843602707,0.8175150386327396,0.6660944863312211,0.7834755163792174,0.7046019373796507,0.7318307657011843,0.18777197602844445,-0.03384279393952811,0.052448321936650166,0.17307840685179696
GD53,0.8054249625964615,0.32728231312120915,0.7350255013114813,0.21091672633112502,-0.682695762492259,0.8308352293015949,-0.6498889458529254,0.6664196647980761,0.014752696030123413,0.11142165219759048,0.6325460589766151,-0.4385072340017756,-0.27217480123984195,-0.5197499988752543,-0.6125924977704629,-0.3220489699350766,-0.7857354492821848,0.5074420124297705,-0.40907898258733383,0.01531449589014779,-0.0992094348554492,-0.36532395020933345,-0.3806366502697317,-0.4609424379651569,-0.20184975270221475,0.5227995873734828,0.4800085526424124,-0.36156219562978376,-0.33263051457885073,0.5954945843376354,0.2992212139310282,0.3869962403490912,-0.3292659658823734,0.6439628436128553,0.43316507592344555,0.33195301709691466,0.23862927274111717,0.4825622042009662,0.4612917613491263,0.42792964880456547,-0.03007773752699386,0.20360910876058189,0.5175875710655244,0.0987975908110161
PS,0.7581551354626803,0.24738009292301097,0.6539382246896502,0.4333686202060123,0.20604543805349243,0.06954385009838043,-0.3888548830470323,0.4485454194017523,-0.2564961096744322,0.6537584429681231,0.5405293319281674,0.5476306292843395,0.05060893293234333,-0.3254259789477776,-0.3853229636836049,-0.11767081005845283,-0.6416456373026345,0.4733565722587113,-0.6666700739741869,-0.0527561080281764,0.12639593486061249,0.01258460768656323,0.3705593732104825,0.7340378794836451,-0.0894321388152725,-0.07616818412899255,0.16369801976457152,0.1906893718376112,-0.4646522483503799,0.6683348346030198,0.5046698858628407,0.4086241731586535,-0.39748656568059243,0.7584003973443921,0.6488121637904202,0.71158747508013,0.6946578484642538,0.2970036313735136,0.4311294693970886,0.4247773675201225,-0.036431054929483196,0.10043692539409964,0.13267049176032908,-0.024492706186478495
rCIP,0.18403950660766413,0.07042494444673668,-0.06008069080019093,0.15744540106465477,-0.31558264085178855,0.36851252473806506,-0.49194265955817695,-0.42278493884720664,0.5520963232672603,0.40364239527354684,0.8542341009474529,-0.4357161132426649,-0.24422369570825533,-0.09059848913338778,-0.6200602673438371,-0.40681851183801004,-0.61217231847039,-0.012870749538400695,-0.3203311298157181,0.28757455183073305,0.6007300117881612,-0.36932938217127587,-0.40817885411003446,0.19634128099839243,0.5476141899302961,0.4473517561954493,0.6846067797741745,0.09474031594219144,-0.5761679190322753,-0.34076149113018345,0.47560037781960773,0.14831457387305866,-0.171286153399823,0.18944191803161667,-0.05647588832067728,0.04221921808571106,-0.10149905832109994,0.21407540224528057,0.4302234020808695,0.39276133141569564,-0.14710808579049095,0.07101118703646264,0.733301894207341,-0.06405393181972881
WB,0.9582675131247885,0.936434661056536,0.9522825820454964,0.02700168662228446,0.7730161517653494,-0.7197212515233442,-0.8762565413095095,0.4941487330107758,-0.6128178282255501,0.24768410499178375,-0.238314810185849,-0.6419135260584791,0.6858496274336037,-0.25510423443644176,-0.1996579503185017,0.7398733115333785,0.049574764041625724,0.8645930190124292,-0.7040503632969803,0.12688799729196013,0.8139857159967144,0.5796022801240629,0.8379786983673984,0.7912462254421657,-0.0028620551455680646,-0.35278749525340763,-0.42252697460774075,0.16905833784768276,-0.43530629570135104,0.8237518953269858,-0.18127178400698685,0.9747341240334163,0.835750714739046,0.9592635253383177,0.9626321753246906,0.9664593681241213,0.9519820040167144,0.9172016631388616,0.9134735204435692,0.906613833019771,0.2472870693963689,0.3448550613036652,-0.17367747800740058,-0.05581183326837706
XB,0.8209689200906208,0.3497102988091409,0.7045769630334262,0.009844648406867402,0.34203596917917733,-0.03310987702098964,-0.8952067229488003,0.3453671044014112,-0.8736180592413582,0.708588142593163,0.5643010583507695,-0.6731122075627158,0.010002661892829914,-0.1916872504750702,-0.32296224336111645,0.2528125880218548,-0.23285831149534816,0.5384372361507528,-0.7624673455505729,0.18260260845717116,0.5822305799998051,-0.19310656723361275,0.49511954543851766,0.8213545963290201,0.31079968603065483,0.2011157864377102,0.34553680157191236,0.39171103182460665,-0.684416490199358,-0.01818316676100599,0.42084946707381704,0.36028402269556703,0.17465616457232755,0.5341070758885706,0.32598436874902287,0.7018636199669982,0.6739571527488313,0.4729502590293465,0.5954756524467334,0.535841182191165,-0.026338895456466317,0.03374140607527008,0.23709539345063024,0.23528062707668415
SSE,0.29061536787363745,0.5246637192709712,0.3903078660993133,-0.2537528721503455,0.25004839074688734,-0.7291689585677931,-0.8416750985498109,0.720935610544119,-0.60327866514428,-0.4308669415364688,-0.49229738726924244,-0.5503480653559594,-0.26655285597114303,-0.4424570750111072,-0.47002252814918705,-0.02589686422409467,-0.151373130432879,0.34849725332271336,-0.5290107916062156,-0.16922726184022238,0.12159711909248647,0.2819751211222331,0.8104629969656388,0.6903003770985868,-0.07759773507353707,-0.5396651931288267,-0.5601575210601624,-0.1724493786310589,-0.5966713898208044,0.699637144257161,-0.19828712039562116,0.9444638699739178,0.44031502167374076,0.8490787526378876,0.924688763935253,0.94098632417075,0.9443829554488797,0.9023898911303132,0.9239781154855586,0.9007240250037077,-0.22492378592062123,-0.32602764173159743,-0.004689942223196866,-0.24662373766292
RS,0.9314665102906801,0.8678669529327524,0.9282539385878903,-0.017734238915524867,0.9328039914368447,-0.46719118594239656,-0.8242772230321165,0.15470775021719946,-0.646156216374052,0.645682627185022,0.24185237396160195,-0.8198123989580532,-0.45559239189577716,-0.2958075932782263,-0.15865651559476568,0.5315264705836124,0.38318123695003536,0.8907866599154765,-0.687578954340888,0.402674213160117,0.8149899269266048,-0.015887698536244166,0.8184000924968599,0.7487008336759189,0.2822097100848792,0.06833218439317974,-0.38858854182390473,0.309980759531504,-0.6545705295912797,0.7858010871891827,-0.3507676992467544,0.9649818137399655,0.7312252561762886,0.899961869217729,0.9164147973071588,0.881972703914788,0.7567870024197727,0.8921587792716108,0.9134712518724218,0.9385938468089363,0.08566202909532558,-0.28093691153396533,-0.1794281715583204,-0.06793573089698861
DH,0.2805257620504504,0.654111927772374,0.3748240600016782,-0.27013278458007145,0.4020878046932263,-0.7292821234602141,-0.7863480376089294,0.019618058189274805,-0.5766225042304806,-0.43621350062295355,-0.7609280742459398,-0.6289522179275512,-0.6072524731188647,0.1834617171467643,-0.03516925500713244,0.09420859910471056,0.18513322482584804,0.25852764513339105,-0.07692250701396984,0.32378922361374207,0.48300950215990673,-0.053439559118156746,0.4774461905899864,0.5500800430425302,0.13875482884032908,-0.3150700736348341,-0.23793639570402145,-0.11689049649143946,-0.5135460607884472,0.5272573769969561,-0.5375039335522855,0.7000002188107199,0.6744696584309444,0.6466370271066959,0.4830578550503669,0.3095482143127167,0.3288754025924456,0.6634119428543173,0.7001558959861982,0.7273283481843814,0.00043815851391269995,-0.5833152972979951,-0.5997377196990679,-0.19264963029338006
