,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering
cSIL,0.3179473080092699,-0.3896441334624195,-0.14017165302938744,0.6680906526349926,0.469926923454835,0.46757074909157115
GD43,0.5084839582735758,-0.37111336544745543,-0.07334208009924616,0.5774976098625064,0.4672152670167707,0.325167117232842
GD53,-0.05756073001203757,0.05444954434814515,0.1956542768028473,-0.504033806594679,-0.12421093818270242,-0.2099592347797301
PS,-0.06313380674077397,0.2900928220048914,0.5693503112611843,-0.32435050701070806,-0.08127764729118556,-0.14603457921550178
rCIP,-0.08458782340417227,-0.3062714503094343,-0.03875252831629386,-0.3585114654481644,0.05484486164767383,-0.17206943066888902
WB,0.6590316698459934,-0.3346698073005065,-0.04329752493870934,0.8264748899575317,0.5339270201275366,0.6630357205112911
XB,0.30897337363208155,-0.4223807366885628,-0.11654830352286312,-0.07284737930914503,0.3202145244843313,0.15154236162427998
SSE,0.3571703157354984,0.2913334446612435,0.3909337598379772,0.34199849447565694,0.26228684160745025,0.36394561609740295
RS,0.5463504816309454,-0.2140820334217622,-0.05613259692105305,0.8020922955547707,0.5754192219674668,0.6061355622156562
DH,0.37845689478530153,-0.29497348342264745,-0.014098191991252382,0.8167340977939398,0.22373769153860376,0.6029317954505589
B,0.6344989207362147,-0.3848743282186689,-0.056993209042435565,0.8108558584416314,0.4180800420256251,0.7185153296524446
BH,0.4757701134652367,-0.4500971069473821,0.29136544306494283,0.6031801319041691,0.2324544781326816,0.560204686717952
D,0.00752654167417416,-0.20914822458902202,0.03253184535203901,-0.35403980243306576,0.26462514477725757,-0.09066799732930571
H,-0.14396367185383466,-0.4093627539683335,-0.1521301181554337,-0.28351978096274316,0.16997041837823978,-0.09816800056446846
DBCV,0.33396760366202555,0.6023376257097699,0.6988845065047351,0.483165367871513,0.5266387944630856,0.5021245468418792
I,0.44044679695446914,-0.4145882999253935,0.20335631660966896,0.39370441494141634,0.4728885007699104,0.36589258368548633
C,0.6597912963673133,0.3891432555478648,0.2821940351791442,0.7767324746998991,0.5555223657522806,0.6818324431173138
CDbw,0.38687778902780817,-0.040637979976908684,0.2418284144986117,0.5944046557644784,0.38999902058102476,0.2678960675374898
VIASCKDE,0.4449717743865345,0.3916954727220129,0.3322846365908521,0.447793933618877,0.17840003620902273,0.38011374412006965
COP,0.4787476312239236,0.2498457196509866,0.3041003972663049,0.6775971732138513,0.22275767357711018,0.5896129976105887
Sym,0.19692069652785857,0.36475576486022504,0.3497730021320128,0.14030275429783223,0.40512980789750225,0.20248049832395917
CS,0.2107094622082463,-0.08160449556454041,0.20468419488271142,0.5856931512229347,0.4325937392142186,0.4620586541294408
SF,-0.09027041095549827,-0.055098566743339,0.2984888985245812,-0.09200155214198118,0.28945144118602595,0.017589262355741642
SD,-0.022021297157063826,0.09282337338011488,0.2929488077784256,-0.1409556652756946,0.08040827472861214,0.02434908198977475
SDbw,0.5743780630503955,-0.0939136433973808,0.20902295580213018,0.8459082472275324,0.446821393693303,0.7482427477184832
XB*,0.18823272641131755,0.09958180923625441,0.07000106628620505,-0.2766599691933893,0.24844963590568028,0.02538673682507914
S,0.5393726688593284,0.4928142633877168,0.44550746523047613,0.603637077882617,0.5820364781716988,0.5434735729735654
DB,0.32992215939187025,-0.09695495718619851,0.16708107288354968,0.6554724310770468,0.4871634974887966,0.44178954511920476
CH,0.6187097480657608,0.2199593374423981,0.0683029138913503,0.7304295098312349,0.1928204873769923,0.6568072318541646
AD-S,0.43720685413241955,0.6975659920166283,0.6678070156064912,0.48801328125425053,0.6173875879143891,0.5945468817170854
AD-DB,0.2720017252364578,0.4328671491008286,0.5197555087773895,0.5191797932311193,0.5138470865730135,0.4909934785972074
AD-CH,0.5875996847038716,0.5458190636568819,0.26513585759127045,0.3727822083388503,0.23131867791161834,0.35474161779368457
AD-idea,0.6461839906660243,0.43471722212302144,0.5536864977505394,0.7503615926660073,0.5623430456326771,0.7100707751584995
