,correct,correct,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors,errors,errors
dataset,ecoli,glass,ionosphere,sonar,statlog,wdbc,wine,yeast,ecoli,glass,ionosphere,sonar,statlog,wdbc,wine,yeast
metric,,,,,,,,,,,,,,,,
AD-CH,0,0,0,0,0,2,0,0,57,56,36,56,84,17,48,43
AD-DB,0,0,0,0,0,0,0,0,77,117,71,65,112,36,60,84
AD-S,0,0,0,0,0,0,0,0,56,86,75,61,78,60,66,86
AD-idea,0,0,0,0,0,0,0,0,92,101,44,46,64,71,58,42
B,0,0,0,0,0,0,0,0,76,93,57,55,60,70,43,100
BH,0,0,2,2,1,0,0,0,90,71,24,5,14,63,61,97
C,0,2,0,0,0,0,0,0,40,82,18,50,62,63,25,140
CH,1,0,0,0,0,2,1,0,16,62,20,35,55,27,23,107
COP,2,0,0,0,0,0,0,0,4,118,29,7,39,20,65,1
CS,0,0,0,0,0,0,0,0,78,98,72,67,80,51,31,75
D,0,0,0,0,0,0,0,0,116,123,87,78,92,73,65,64
DB,0,0,0,0,0,0,0,0,65,122,79,67,50,51,42,70
DBCV,0,0,0,0,0,0,0,0,52,72,43,71,33,77,28,132
DH,0,0,0,0,0,0,0,0,97,109,57,54,61,54,54,72
GD43,0,0,0,0,0,0,0,0,80,121,82,76,62,50,43,96
GD53,0,0,0,0,0,0,0,0,54,83,43,47,76,19,63,108
H,0,0,0,0,0,0,0,0,70,101,73,87,95,48,48,64
I,0,0,0,0,0,0,0,0,53,95,52,85,81,62,35,102
PS,0,0,0,0,0,2,2,0,103,58,36,25,57,22,20,101
RS,0,0,0,0,0,0,0,0,66,86,73,85,71,18,47,75
S,0,0,0,0,0,0,0,0,53,74,34,72,75,58,19,127
SD,0,0,0,0,0,0,0,0,82,49,57,61,18,39,35,101
SDbw,0,0,0,0,0,0,0,0,71,58,63,0,31,36,14,68
SF,0,0,0,0,0,0,0,0,65,93,65,86,78,24,44,63
SSE,0,0,2,2,1,0,0,0,66,64,14,5,10,55,56,80
Sym,0,0,0,0,0,0,0,0,52,80,40,85,60,62,19,126
VIASCKDE,2,0,2,1,1,0,0,0,1,73,36,59,5,32,26,23
WB,1,0,0,1,0,2,3,0,14,62,15,15,46,21,9,105
XB,0,0,0,0,0,0,0,0,73,98,77,76,46,39,27,54
XB*,0,0,0,0,0,0,0,0,83,120,79,79,66,48,53,96
cSIL,0,0,0,0,0,0,0,0,63,100,69,73,70,48,20,73
rCIP,0,0,0,0,0,0,0,0,80,104,51,83,102,56,46,61
