,ecoli,glass,ionosphere,sonar
cSIL,-0.03476542699354671,-0.00753204653934215,0.04539863428119844,0.0013903399242127113
GD43,0.00827638719518479,-0.0035934290514598186,0.09955567747435112,-0.028383370676605176
GD53,-0.5661818975424353,-0.29183490510126275,-0.4811790242363278,-0.04163391486698459
PS,-0.08961944028392581,-0.017068373555691373,-0.002954749682217443,0.003408382992342306
rCIP,0.0029216066338364735,0.0003924693797056532,-6.283074434958161e-13,5.907477005780754e-26
WB,-0.010478914050950217,-0.009781192518174837,-0.004034286462036046,-0.0004344531956220234
XB,0.3210266956761931,0.007203974404948335,-0.032573253370645365,0.00405957251038861
SSE,-0.0005593016265390677,-0.0007659339541294072,-0.0001429125225703046,-1.0747611288372887e-05
RS,-0.12566183965587097,0.0090717303019075,0.15941734281201503,-0.004776069015756509
DH,-0.12438680201160209,-0.11305893298520625,-0.40401516612769633,-0.01024200577110314
B,-0.2983550361906459,-0.09678500820128604,-0.3092849297773956,-0.009005473615939117
BH,-0.0020969634793180504,-0.0030946808749167075,-0.00043551572077398074,-2.6997074125323368e-05
D,-0.36033420474301997,-0.11358829373798111,0.05880771726750884,-0.011515244443580545
H,0.1731784564737162,0.0617710200814875,-0.0100824848768465,0.004701375299354006
DBCV,-0.31336317851922907,-0.00707554845966573,0.14567675180656392,0.030948105508948803
I,-0.13457342213929183,-0.032893361298190135,0.011044002263722768,-0.0035716497236311837
C,0.0542528620634662,-0.002434512955812256,-0.2780524841451435,-0.0641639151005606
VIASCKDE,0.04211123503270795,0.3448939166792436,0.12239591418632016,-0.4639666069478195
COP,-0.07536558333506461,0.12277588423333656,-0.09492382874604398,-0.006566740699022138
Sym,0.14657976542755385,0.053520403508547434,0.09282679314880207,0.027352928509376238
CS,0.043695304946248334,0.008471136234622246,-0.1004789684591975,-0.001873983005764699
SF,-0.5098636853378297,-0.28336912692264626,0.17726743586105675,-0.22991723186251076
SD,-3.179151967354834e-05,-9.560917418047961e-06,-0.0007691220610137991,-0.001504105758255937
SDbw,-0.08135697665624717,-0.06964987748705373,-0.47344791083141385,0.0003728844418257815
XB*,0.09549363059759822,0.004603963847512524,-0.0009391461444762306,0.009638148557894225
S,-0.23839661762457998,-0.056523738564673895,0.2060540360124894,0.02068682265766731
DB,0.07945532224608612,0.02459541279848353,-0.12569174899643154,-0.0017809142079634837
CH,-1.2053170729617751e-05,9.996268762474153e-06,0.001050009996021059,0.00031200119960042897
AD-S,-0.3908329619633468,-0.04755013629028013,0.1513458654764871,0.011885237029031498
AD-DB,0.07369383464558671,0.01320290613469265,-0.03462201391655241,-0.000658358669296445
AD-CH,-0.00022325449659615912,-0.00026332701481546954,-0.00022568438764080834,-0.0001410579166402842
AD-idea,0.00499237391322141,0.002128677550319916,0.00439746284033935,0.0011138756137943585
