,coil20,olivetti,yaleA
cSIL,-0.6900878689380493,-0.5781952149967822,-0.6857516863572206
GD43,-0.16143288084397356,0.023891266944554724,-0.4964986573543492
GD53,-0.09724656268351375,0.6913001654698938,0.49140523143883946
PS,0.45234175161389145,0.5262432791785373,0.2805022496084993
WB,0.38341856759309445,0.5035817455895519,0.34423182612316283
XB,-0.10858439823283185,-0.06173782005499511,-0.55313794851829
SSE,0.30900089048924967,0.5758423584316108,0.6410726724285608
RS,-0.1496658007276788,-0.485745363177712,-0.6913015442074615
DH,-0.6014829905718725,-0.11385899633645033,-0.0455860815829041
B,0.38115511181963735,0.20240490626599186,0.22497474126742986
BH,0.28926217912638647,0.2840394218586065,0.5005630901098992
D,-0.5722477434193914,0.04726782384666811,-0.6734426919320929
H,-0.589486884290757,-0.5003228689471136,-0.7983451540500295
DBCV,0.5741633670112524,0.8508434719372804,0.8103110903377557
I,0.3273199783526131,-0.08489940707914811,-0.16642574040083957
C,0.015004192790268765,0.35551751222616546,-0.04084507956512706
VIASCKDE,,,
COP,0.4249882827903938,0.6540245455241973,0.8190817309390965
Sym,0.5541959952334284,0.13383506994215472,0.48840779574766147
CS,-0.619139223613675,-0.16272283727303477,-0.20025909027995611
SF,-0.36741532799052606,-0.3795456515967709,-0.5374404877694441
SD,0.1261486387272621,0.16321543850797782,0.2669643316344606
SDbw,,,
XB*,-0.23918292231928462,0.18829585117003053,-0.39105711772755225
S,0.6253628593554763,0.7620439559850712,0.5626695379347412
DB,-0.18966773507088308,0.1510595144640001,-0.08491060977184943
CH,0.6867529826704288,0.8530140366576734,0.6041550368918989
AD-S,0.600785468679978,0.6318443306711921,0.3065567017310155
AD-DB,-0.2450575231397376,-0.12182638558430463,-0.13195448783233446
AD-CH,0.8148451114718065,0.2461893923323453,0.07271225300090518
AD-idea,0.8327479242932826,0.8571571083757116,0.8237636837797
