,ecoli,glass,ionosphere,sonar
cSIL,-0.054797155529049,-0.004041280966239838,0.001858105200951965,-0.006747328559023012
GD43,-0.10017048507402901,-0.030045991595340018,-0.30727433835749834,-0.024087859393972587
GD53,-0.14442243641436964,-0.2302160814577322,-0.3122354191187401,-0.0016882758328134657
PS,-0.0647596162264232,-0.00428340229492501,-0.01299235930022901,0.0011003497784455548
rCIP,-0.0038920859428296785,0.0004867806358342925,1.4299124963762915e-13,-6.76185877072683e-28
WB,-0.02438148124379706,-0.007004557114093808,-0.0005220908200228235,-0.00012740259419886986
XB,-0.0530078122773928,-0.0016819020516154362,0.06594272997338778,0.003963421505273391
SSE,-0.00018134781783798142,8.812265676802181e-05,8.37706217344004e-06,-1.1923752117959503e-06
RS,-0.021273099711255745,-0.01130087768455923,-0.06887885539767957,-0.0017220486868405455
DH,0.24261149646264535,0.11590052904773972,0.1941212356909108,-0.006225285211235026
B,0.01582900133223514,0.04086601725059892,0.15271274741025123,-0.0020248901375154323
BH,-0.0043431984913703345,-0.000122992599125782,-3.438874289494626e-05,-2.712805661356178e-05
D,-0.4537605921431852,-0.0013682029882473854,-0.10990928990025019,-0.001902397916184268
H,0.028010738010345954,0.015626552073459535,0.06563718390897733,0.0016629554318981503
DBCV,-0.4223088243246264,0.10761033298219425,0.1195003619114353,-0.0009396905180518902
I,-0.000248921154443461,-7.68676923124585e-05,-1.219041815593871e-05,-0.00023771692189921572
C,0.14085466335954183,-0.5015524331403005,-0.1559876301464988,0.0307518750605731
VIASCKDE,0.0063180475271065566,0.07096172220241705,-0.041485072840306086,-0.06775486732347244
COP,-0.2197794480044569,0.0755371873539193,0.013822125188665189,-0.003385207830118177
Sym,-0.0025041092084632103,0.002245764046715198,0.0003099391834551481,-0.020823237686379597
CS,0.03951870196430807,0.01175206110074639,0.04901398093529153,-0.0006667290380217187
SF,-0.2228053648782942,0.005434127331595107,-0.01408486902751295,-0.09615874448650637
SD,1.2023588987741628e-06,2.8109492144537717e-06,0.0002765137591609899,-0.0010908076862889621
SDbw,0.05344686136764917,0.0005587107493008696,0.17205265474265344,0.0004065620271417309
XB*,0.019789138443381572,-0.0022279781013370666,-0.0016850776329750215,0.00491860612751377
S,-0.35607248787912354,0.2454164969486459,0.4340115643171155,-0.084177462173529
DB,0.04567336950140347,0.012547097297896753,0.02847347504491242,0.0003513526658742692
CH,0.0016066351381673007,0.0005951839190888205,0.0011832877059040183,-3.746804278583697e-05
AD-S,-0.6641512494749505,0.16139027400727812,0.10736377259103785,-0.026130041484639988
AD-DB,0.05830309854817064,0.007160379764810681,-0.002101118452291568,0.001544638964844566
AD-CH,0.0005844581127652097,0.0005512799880983637,0.0016195462445364036,-0.00013801011107502162
AD-idea,-0.013094886146538275,-0.002863625724368397,-0.007464606199361211,0.0011745382721512051
