,correct,correct,correct,correct,errors,errors,errors,errors
algorithm,AgglomerativeClustering,KMeans,MeanShift,SpectralClustering,AgglomerativeClustering,KMeans,MeanShift,SpectralClustering
metric,,,,,,,,
AD-CH,0,0,0,0,81,24,167,328
AD-DB,0,0,0,0,121,27,226,262
AD-S,0,0,0,0,94,27,298,310
AD-idea,0,0,0,0,79,37,357,496
B,0,0,0,0,229,44,388,1330
BH,0,0,0,0,213,46,403,1379
C,0,0,0,0,209,27,325,1164
CDbw,0,0,0,0,134,45,314,985
CH,0,0,0,0,191,31,328,1203
COP,0,0,0,0,191,48,330,947
CS,0,0,1,0,227,31,362,1176
D,0,0,0,0,185,25,191,1054
DB,0,0,0,0,243,28,289,1184
DBCV,0,0,0,0,112,34,322,314
DH,0,0,0,0,225,43,391,1215
GD43,0,0,0,0,208,32,338,1190
GD53,0,0,0,0,202,42,262,918
H,0,0,0,0,239,42,234,1019
I,0,0,0,0,200,31,169,1110
PS,1,0,1,0,158,34,208,841
RS,0,0,0,0,228,35,362,1077
S,0,0,0,0,194,27,225,1043
SD,0,0,0,0,225,46,363,1316
SDbw,0,0,0,0,224,39,372,1144
SF,0,0,0,0,189,34,209,701
SSE,0,0,0,0,220,46,403,1348
Sym,0,0,0,0,162,38,299,812
VIASCKDE,2,3,1,0,64,18,152,340
WB,0,0,0,0,200,40,343,1283
XB,0,0,0,0,205,30,232,1175
XB*,0,0,0,0,214,36,238,1135
cSIL,0,0,0,0,245,34,333,1256
rCIP,0,0,0,0,212,31,229,943
