,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering
cSIL,-0.7653144259411999,0.8660254037844386,-0.2201880257298367,-0.4265260372259291,,0.04280561589913071
GD43,-0.08982710828057829,,-0.5951969950807584,0.8904313202793148,,0.4189510950809381
GD53,0.40688363302273545,,-0.873700280078479,-0.15907089294517532,,0.3679150841437613
PS,0.2631302624620125,-0.5,-0.44383968332508655,-0.093190562755245,,0.5386314420341333
WB,-0.049045049000952065,,0.13409203364670955,-0.9462426372071032,,0.023972929471802105
XB,-0.235693530903977,,-0.5210291934685799,0.7025134730780008,,0.2943926805245258
SSE,0.0861783330596947,,-0.65264720435428,-0.2903244455067248,,-0.03064079846319806
RS,-0.8625998514957933,,-0.7308263236021773,-0.9247371227251235,,-0.3137583294729715
DH,-0.14137184674737477,,0.6150420583869372,0.5698961337724598,,0.19236652596592732
B,0.035517550753265056,,0.553686293913904,-0.7168504827326538,,0.15821350014415617
BH,0.6392625028015919,,0.1707075705096487,0.41218902757127607,,0.36086921310169
D,0.05178023516410709,,-0.7419518251460099,0.49734902005138476,,0.47468281237106746
H,-0.8999293117277439,,-0.8198911429985155,-0.94265838479344,,-0.25993138814291217
DBCV,0.6086181770589745,,-0.8358854107575977,0.17690382706085522,,0.10235175960368245
I,-0.40745217621021684,,-0.7456704601682336,-0.956995394448093,,-0.22403293887454526
C,0.1226700020450883,,0.2281048985650668,-0.27957168826573503,,0.4544210591105078
VIASCKDE,,,,,,
COP,0.6020842159404024,,0.7140029688273132,-0.46953706618988833,,0.44691492717808506
Sym,0.06389916314348294,,-0.7466600692726373,-0.4731213186035516,,-0.05673533251482865
CS,-0.7326175819110832,,-0.227115289460663,-0.3584252413663269,,0.02852996342644634
SF,,0.5,-0.8332471129282565,,,
SD,0.31610412174097124,1.0,-0.5714992577931717,0.5734803861861231,,0.3088680339366296
SDbw,,,,,,
XB*,-0.4343553106942792,,-0.7229514249733004,0.8904313202793148,,0.32330304854471054
S,0.1679315656181451,,0.22414646214745176,-0.8530520744518582,,0.31712996407433924
DB,-0.7353237339495571,,-0.2795645719940623,-0.3870992606756331,,0.22957112730123458
CH,0.296689227995728,,0.7288471053933696,-0.5698961337724598,,0.15439870680579085
AD-S,0.1256986391058281,,0.7516081147946562,-0.544806366876817,,0.3997518570229969
AD-DB,-0.6550607355894438,,0.7585353785254825,-0.33691972688434735,,-0.041454130803095623
AD-CH,0.29690130407788873,,0.5843641761504206,-0.5698961337724598,,0.08079677867654919
AD-idea,0.569371242228995,,0.8010885700148442,0.4874583282582046,,0.8808602721798032
