,ecoli,glass,ionosphere,sonar
cSIL,0.1664976937006463,-0.004599670359377847,0.3765274574454939,0.030543449055915106
GD43,0.5977445310882044,0.17849755589893213,0.260878496570665,-0.31107265836555237
GD53,-0.14747220560881505,0.041163559725113354,-0.35011107089091975,-0.5368356527260145
PS,0.21130369347526393,0.1697054464711307,-0.2749406643759655,0.3345537209709782
rCIP,0.17151937112779073,0.12355120103786986,0.25758524174491965,0.7545260267421152
WB,-0.7850690253657686,-0.5142574381476365,-0.39314571565140083,-0.8252022114508979
XB,-0.3177534746578875,-0.09245124326116935,-0.2809352884531218,0.36960533593570405
SSE,-0.7632774090419439,-0.1884064842718264,-0.3388524551740848,-0.8470350558758659
RS,0.607300582529595,0.13813745216711523,0.36192093596649744,-0.6054030380525856
DH,-0.09913113777137958,0.11660885685676209,-0.3190717159430833,-0.27695105642039497
B,0.1472949701909318,-0.02427719895172191,-0.4221023683624323,-0.31607256223054986
BH,-0.5959293841997512,-0.07042094273300478,-0.34569931038360063,-0.7886444024893896
D,-0.17406807823581333,0.03406688434344694,-0.09391206532163604,-0.4673240688876306
H,-0.1836395676545351,-0.018499893392785946,0.022722122281080875,0.618927892022105
DBCV,-0.28898171289544705,0.2377082354988903,0.10321946993556001,0.31802764341198225
I,-0.06391551442133771,0.20321764836626535,0.22852255776609356,-0.6084897467314064
C,0.04187649549252753,-0.3379264183099308,-0.5496846477066586,-0.5512323776907774
VIASCKDE,0.8475702684636865,0.21564431641359735,0.2584635268291356,-0.7862945498808177
COP,-0.6347502597926584,0.4871134226925945,-0.15983736864815198,-0.7703241590428515
Sym,0.5847893937834532,0.23276399773321002,0.3841632532462618,0.3684587968021861
CS,-0.1379401458786948,0.058226906654446464,-0.41885887728641535,-0.18427026732974447
SF,0.47093666510189525,0.014849430288404308,0.011844766053745969,-0.4346532064298036
SD,-0.7937486679766895,-0.47819230229541115,-0.37064083004643505,-0.48098973499539166
SDbw,-0.6352277512336325,-0.19804775352313747,-0.3972288313221166,1.0
XB*,-0.21919143640691166,-0.11635008835433108,-0.06600366097513738,0.64442328697968
S,0.2337921126277312,0.14123920356042943,0.35354137677160763,0.2440029679678819
DB,-0.21893914715405005,0.04286472859079853,-0.4305015429557343,-0.27205783063861777
CH,0.6931824299595524,0.4878116891219777,0.46433988141410526,0.5569584459645321
AD-S,-0.2827441115591591,0.02451589415905253,0.09496209690494901,-0.012674297139803654
AD-DB,0.25985227876570527,0.09607577040113592,-0.3404016066552221,0.28496799382990723
AD-CH,0.38686768012385997,0.360736286983277,0.22442541072926014,-0.1767656698600665
AD-idea,-0.30950529594964193,-0.17688616552798345,0.24549091313742444,0.6170921100627035
