,coil20,olivetti,yaleA
cSIL,-0.32253464273706806,-0.4987032878020294,-0.4827431660268346
GD43,-0.0016112660857195806,-0.07135997411270159,-0.661385751949012
GD53,-0.20563354488481078,0.19752332790260388,-0.18715948278157657
PS,0.29586286505643705,0.2237960460503715,0.0684489968903181
WB,0.5367302498750218,0.2879951805667974,0.20999986839792026
XB,0.09908373558659929,-0.12428978733636581,-0.6154527245696735
SSE,0.6389934224625899,0.37174431329813634,0.25948751484529853
RS,0.16153258579517182,-0.6132962460475094,-0.7087443891553273
DH,-0.31977028852200706,-0.1297892179930703,0.14323973804094378
B,0.8287977482948984,0.4657227085532172,0.2622849186090652
BH,0.6441849461813871,0.42716104761722423,0.7355187314081733
D,-0.1705046823188447,-0.06382811697556948,-0.6516964784886982
H,-0.13416140669670143,-0.6291668157313369,-0.7719317728075775
DBCV,0.7124727558799726,0.4926265593191851,0.31694362024288547
I,0.6608247414968205,-0.034508109996628046,-0.19762360927873737
C,0.0869985124761009,0.38028709393642685,-0.2893737885455243
VIASCKDE,,,
COP,0.4437989677330119,0.6070408782061028,0.8359872674514074
Sym,0.7972272506273926,0.10105619246114561,-0.06770724984797895
CS,-0.1434247393643892,-0.49117995910584517,-0.4630209861616239
SF,-0.3528700266471317,-0.551758376897051,-0.659689835028674
SD,0.8380308374546491,-0.10689747378985008,0.04000545634354883
SDbw,,,
XB*,-0.20571418573973382,-0.43170543475883366,-0.6909990289443123
S,0.7686378603757463,0.487482079076336,0.11517148417693625
DB,0.09669097942484162,-0.3081142298631355,-0.39260489602498744
CH,0.70660711375306,0.682502185609218,0.29518301715596085
AD-S,0.6720573256014557,0.5713414259387325,0.45374939500477945
AD-DB,0.2538743084086825,-0.4003167967886534,-0.17687312942114877
AD-CH,0.9111730311745596,0.4824333038873437,-0.06407906174385648
AD-idea,0.9359741342295911,0.8816497742014724,0.8850537393072531
