Metric,Correlation,P-value
cSIL,0.0558921130874327,0.7818585759472045
GD43,0.057432011143496164,0.7759972131348662
GD53,0.34588580953964554,0.07718798432466094
PS,0.04047035888285429,0.841151120541934
rCIP,-0.01761543682222415,0.9305063216665297
WB,0.06893224090027388,0.7326214843686332
XB,0.13690513475318583,0.4959122769539591
SSE,0.08754994720898387,0.6641199747754218
RS,0.024110898523816628,0.9049801016613853
DH,0.013139243273240368,0.948137758643622
B,0.06886111345676275,0.7328874600406666
BH,0.1319186208915771,0.511882186447909
D,0.18618086814048784,0.3524682424270014
H,-0.013877813057731302,0.9452267189551897
DBCV,0.3189748335841203,0.10486791078262149
I,0.13472095315452157,0.5028765088171253
C,0.06554199243515992,0.7453320680518224
CDbw,0.013264931972697507,0.9476423153777964
VIASCKDE,-0.10379440826401527,0.6064088814335766
COP,0.13367664993230122,0.5062233054827148
Sym,-0.08171290668142794,0.6853449873999234
CS,0.05934304847333952,0.7687398214624347
SF,0.10981861443059292,0.5855565342849408
SD,-0.285805116994395,0.1484129067679569
SDbw,0.20063088165554882,0.315653902695486
XB*,0.1367766134018867,0.49632072313496367
S,0.009081022176785655,0.9641436779553111
DB,0.15255627433892985,0.4474584210163001
CH,0.11112234288139325,0.5810852755831256
AD-S,0.3645372266359926,0.061556627456625636
AD-DB,-0.33056093260724806,0.0921646321614614
AD-CH,0.1372551423740409,0.49480079237186736
AD-idea,0.21943962964970953,0.27143689722673553
