,ecoli,glass,ionosphere,sonar
cSIL,0.04629741003940512,0.016204059084652396,-0.19029874431189217,-0.5428338466453957
GD43,0.10793153614401851,-0.022162751225647544,-0.6099515342678795,-0.5615602502563386
GD53,-0.3744316533398466,-0.32875655120129327,-0.2795650026116186,-0.1666959536804686
PS,-0.5270158438421679,-0.21879584408241443,0.14183565644594331,0.15209123227062044
rCIP,-0.055010801526166636,0.2329596040381373,0.042296907262981485,0.4924047159968599
WB,-0.37269354939593247,-0.1366854176589996,-0.25887439745383406,-0.42909973375285126
XB,-0.1541779533393315,-0.0077116572386834665,0.4163975192414985,0.49496288339067834
SSE,-0.5469770781972343,0.6184454883120432,0.5145366126624119,-0.3196590868611211
RS,0.02859878464787987,-0.22179037086661466,-0.628031409042504,-0.4585302516853607
DH,0.34502618447999683,0.5575899228515667,0.6232200522194344,-0.4198840592676945
B,0.08681835369519433,0.5102893818083466,0.5915900678279631,-0.2193766770413078
BH,-0.43755445806695287,0.3603297554442119,0.44094581589844295,-0.7465427785845994
D,-0.40541275520867004,0.19223501644711616,-0.3766645145070399,0.11089453581404368
H,-0.0682011730120621,0.3274755656622891,0.5736368694055766,0.4871415377636564
DBCV,-0.7246933651570527,0.48019728995968425,0.45552245341522746,-0.28836784686744904
I,-0.19792832663222482,0.06863829534093802,-0.28308356070913704,-0.11273307370518415
C,0.09714732988776112,-0.685766809569473,-0.5253997593097948,0.7251561786778791
VIASCKDE,0.3130438457113841,0.03187837655985932,-0.5197589505807522,-0.5972199850147046
COP,-0.2381655974148853,0.4541454866407001,0.2905909847708753,-0.8111324955196655
Sym,-0.23766622285042685,0.2890075559836468,0.3486584554086201,-0.7426823216754997
CS,0.3873569252934751,0.3830793083882528,0.7007101430646,-0.2768450181190292
SF,-0.7848501403546694,0.22233842889990166,-0.03377246469913669,-0.5539937917888459
SD,0.07260256810198526,0.5813478319822324,0.5824451219651111,-0.7130656031908964
SDbw,0.2535603010765145,0.23837904285409767,0.6864096999116412,1.0
XB*,0.4550159948544617,-0.19362017485983693,-0.3031213431081878,0.6945160801285317
S,-0.07273250621078979,0.691171416331783,0.49258744519513703,-0.7416948399940305
DB,0.4114664477774288,0.5009795419008566,0.5803845011941263,-0.09265207038403063
CH,0.8290817929878145,0.589085015096568,0.45783853523016327,-0.26021799155173964
AD-S,-0.2982738317428713,0.5140238765716904,0.3877817363391208,-0.5539216841350818
AD-DB,0.4637568961014331,0.4557356742173991,0.04080117763411239,0.5421727303178346
AD-CH,0.20721334601786306,0.6572699222220717,0.5507899619048117,-0.42373232383343545
AD-idea,-0.3023530112385108,-0.4784899629845906,-0.40751581472371506,0.5650608065598276
