Metric,Correlation,P-value
cSIL,0.7320826717955718,0.06138992029818414
GD43,0.22869472343714772,0.6218284588444484
GD53,-0.18389434613981678,0.6930630403122012
PS,-0.23650689085667864,0.6096278143237854
rCIP,-0.4025403901476226,0.37061972863630005
WB,-0.835463903326817,0.019262456614830364
XB,0.16707276934358292,0.7203103752955851
SSE,-0.35640669600634617,0.06803655789886949
RS,0.6005417457122773,0.15390672486968332
DH,0.11962273761129716,0.5523073346202155
B,0.0413353465331725,0.8377998070106389
BH,0.07663982339936785,0.7039840074194373
D,0.08847629046067826,0.6607741650977895
H,-0.5170262197603444,0.23471793725543766
DBCV,0.44527380301790614,0.01993916516167933
I,0.03840119309181923,0.8491787741069511
C,-0.11133363883363871,0.580362031047829
CDbw,0.1566444334842051,0.43523280614752596
VIASCKDE,0.3234173683541312,0.12316989956429222
COP,0.07782278155853617,0.6996222846084886
Sym,0.25451480280894395,0.20014440191024496
CS,0.08434008227624401,0.6757618570212074
SF,0.4185671458595624,0.02978721204804786
SD,-0.17938184053959408,0.3706359902841946
SDbw,0.27058517503356533,0.17222271435162484
XB*,0.1640175360060959,0.4136482367090337
S,0.39589210658620183,0.04093841018715711
DB,0.19202526055696117,0.33728258158848246
CH,0.21785628908331617,0.27499714614389337
AD-S,0.44109021718347935,0.02127591338754193
AD-DB,-0.44503762457688817,0.020012751114342944
AD-CH,0.2762660304474793,0.16304130595531188
AD-idea,0.21237523579950637,0.28755166467013404
