,data1,data2,data3,data4,data5,data6,data7,fuzzyx,line,dense,parabolic,ring,ring_noisy,ring_outliers,zigzag,zigzag_noisy,zigzag_outliers,mk1,mk2,smile,x1,x2,x3,trajectories,aggregation,compound,jain,pathbased,spiral,r15,flame,d31,unbalance,s1,s2,s3,s4,a1,a2,a3,lsun,target,twodiamonds,wingnut
cSIL,0.861965437133073,0.5953157835078059,0.7895115980055919,-0.15950885278887536,0.5756558544106017,-0.4980187061792213,-0.8406185456356916,0.3037736381375714,-0.7880017846465344,0.5160921910356984,0.17613709004640105,-0.7952461399079483,-0.753862138139049,-0.4922211796019572,-0.11980480173897494,0.20714881624333661,-0.2428690790116549,0.6941893678077021,-0.5135422135532184,0.17822521238724423,0.6496449738109191,-0.2395134209640723,0.27964288945196164,0.8425558559666577,0.5152137663791233,0.5256561304939256,0.026566239857411175,0.6515926392788606,-0.4770272423893143,-0.015929001617078564,-0.23258419151066428,0.7225499064884996,0.604175008275594,0.7968837555664421,0.633003030400712,0.5203454223772745,0.3796770219205133,0.7354820716291669,0.8191706562822078,0.7646695511966433,-0.10353176251148265,-0.6146784888108652,0.06386397390341453,0.3538717941872709
GD43,0.9394236369993225,0.7892132914257776,0.9452294076785983,0.0058795361198074525,0.7785634287134265,-0.21771454489153563,-0.8587674675806749,0.5874868601819762,-0.6818428781807403,0.335241512209644,0.008530798804050714,-0.7289299668491541,-0.5767161208587289,-0.5888876193183419,-0.11255531676956901,0.34907283382067966,-0.27842327532782735,0.8826235441619159,-0.617068206768984,0.036838670326152394,0.7577124865060806,-0.16856391828213593,0.546448566943616,0.7289013469570397,0.11649007676539531,0.560244700437825,-0.2006554557450345,0.5022910318945798,-0.3878821630103293,0.6858924579552392,-0.28094524326424164,0.7872698667145179,0.5734860595169639,0.8235892074438945,0.7586726751373749,0.8164361454316192,0.7123982954094007,0.7195729877889767,0.6577863693989461,0.6629377731954778,0.025670289788246366,-0.49207796552180966,0.08383735596909714,0.342671025598346
GD53,0.8066578708039381,0.4304476698191976,0.7464136488007612,0.3526647604777533,-0.6228966728719809,0.8269417826519958,-0.6409181176470028,0.15772983663205667,0.023679837419646473,0.19023233452840504,0.4429619383126496,-0.36722552217266996,-0.09558405527144556,-0.30016572509919737,-0.5820141926667044,-0.3569722149512797,-0.5822309038734521,0.5751386790015186,-0.5790816307983905,-0.2410405354985609,-0.0693445087090024,-0.4065415731180059,-0.46507200392670484,-0.37533693859259415,-0.26226628474790487,0.5190273977232411,0.15744595238910822,-0.12779950540157411,-0.10637389789160336,0.6344352182996431,0.18679885026132823,0.15643164458867143,-0.1779486901023144,0.25125072631817635,-0.012284701119443145,-0.09449396531430129,-0.1453462555622744,0.10642169681779995,-0.004535517685624756,-0.03403900679946512,-0.24827999795792552,0.4862967165723776,0.5914315730871744,0.20432776155333449
PS,0.7703761116158402,0.4192112635751702,0.6751409812210142,0.4695784410312716,0.44410899801588744,0.0932449471537963,-0.3773430564463519,0.3340823476696873,-0.2527010406023257,0.7083427818100619,0.36831778917325037,0.552223485382803,0.5903349533798804,0.0042105541522338705,-0.3362626170652986,-0.21242226990691127,-0.4292014456649113,0.5860407108343654,-0.689982504235393,-0.22644354506640427,0.24746487301896553,-0.01833088613639834,0.2605988415586891,0.6929226455238368,-0.09207108217564816,0.1562783835775345,-0.021934602799550045,0.19029686179240296,-0.208210482144727,0.7033355486151395,0.13276320615132936,0.11950610698017741,-0.28445768598333787,0.43574681031374024,0.2741276906345326,0.14968355286403628,0.12996640123921585,-0.05835729853143346,-0.05221148314581059,-0.10264507507276782,0.03375948391764275,0.5129072641014154,0.22931753907953958,-0.15067166104452176
rCIP,0.21314328560805024,0.2257032432433197,-0.01904284074507262,0.33536563011031134,-0.17151552875515297,0.3811512982355002,-0.48317268030544325,-0.5221461203265076,0.5401176992955874,0.6806218274941102,0.5647050279577259,-0.35292495062223933,-0.41006136788366526,-0.1456607984448237,-0.2815410671697904,-0.1548503442929683,-0.5472707133740047,-0.04235420058818548,-0.5800042970106659,0.3814636518488348,0.6701697000389037,-0.2718334573854438,-0.37100582082448624,0.21336852529924044,0.519073800500634,0.49830083667918934,0.3693091117843569,0.2776845444298027,-0.41016164636475305,-0.22544474459364655,0.5856676936679798,-0.14901787623507057,0.05255213764970192,0.18440756073054657,-0.20921793814798728,-0.2863399241548408,-0.39726533038200723,-0.1207613091508834,-0.10867986279838904,-0.1649312816436401,0.19256832422297504,0.010119706883715893,0.7818698801519561,0.34848571308732484
WB,0.9194277631599245,0.9104268061723669,0.9114630833160663,0.14335674747218852,0.7873848910407212,-0.7240081050332406,-0.8652969579637001,0.6478238367610724,-0.6188321002756163,0.434469139520974,-0.37095149712981496,-0.6469815865992773,-0.32307219731269365,-0.5133750107782259,-0.10954869285296265,0.5239396620605639,-0.1146712514125728,0.814334252339776,-0.4132663718855192,-0.01922591245555673,0.8194133746851252,0.5603827519260904,0.8574566691611062,0.7236480360095653,0.027880376672981516,0.14089619626951924,-0.32419985848240346,0.46288905483480597,-0.4257531671724873,0.8322723876063768,-0.30916745862172157,0.9685746761915723,0.8577761076680862,0.9489109536316669,0.9611736910502219,0.965041366039509,0.9643007516310378,0.8753679676575086,0.9247493315480613,0.9034318019750724,0.018922936120167422,-0.3693009997742713,-0.1283085950310816,0.06667070286416517
XB,0.8243498428965869,0.48339262878780426,0.7148655636762897,-0.13143146041768497,0.5341519215624038,-0.04781838234821757,-0.8879199126939673,0.5252249355543034,-0.8705511956296609,0.7859546234504083,0.32132757653219157,-0.6736045606962843,-0.5765464116229186,-0.49577928682359074,-0.17772819832986247,0.22235174309669228,-0.315771197467487,0.6244310310370516,-0.7485763947262024,-0.00963407315396462,0.7015843390890865,-0.1925956859344589,0.411568496907396,0.7843129956560896,0.3146008597046933,0.38536064331997355,0.10285597967377684,0.49203929854408096,-0.5117127343207254,0.1454585685069295,0.1597026168203798,0.27913411560722834,0.2916805658563707,0.5292628351987658,0.3554290000274413,0.4796452248088828,0.5193548155927041,0.24147294216607915,0.31588302855484074,0.24203336780918744,-0.036064203043482665,-0.508924180670262,0.4362798701334077,0.3630905301852881
SSE,0.25387676558237576,0.8000593158868764,0.34878660652769644,0.23551117656878875,0.5729839211298086,-0.7947332893656988,-0.8338475290455817,0.6108408632522813,-0.6273413196372676,0.16303132181065735,-0.352829473076413,-0.6159063372019877,-0.02428083294470645,-0.5002020015208045,-0.09325790390415592,0.5686483335997364,0.2237456499969063,0.5827226634503846,-0.04457333781081422,0.24611982637360486,0.2459310243383797,0.4025419285827425,0.7761115872063639,0.627830384914289,-0.029870651086804378,-0.22236912735478576,-0.39712946912435443,0.4852439489120443,-0.1318227428599353,0.841602333448619,-0.11752676121791249,0.9698442160583132,0.8439274366766051,0.928322636240197,0.9470766955550579,0.9533661421082233,0.971255116300246,0.9283224988495901,0.9453335104895318,0.9324887793822912,-0.0038240368284437865,-0.23093940122815212,-0.3421083409591546,0.23932466983467737
RS,0.8845884540086264,0.8615801922923687,0.8718272750056212,0.04787371512524563,0.9065903805814632,-0.4831992508373693,-0.7925425718940632,0.3269634430929791,-0.6483521861135652,0.6633187696767507,0.07746348157496266,-0.8055584995411913,-0.6775454534526436,-0.4534988328510613,-0.052407936534730665,0.3854947907426861,0.11575435498775037,0.8053652508760673,-0.42158502685975313,0.48640231949010293,0.8049731242377339,0.01815086973984748,0.712871448862609,0.6394381151604868,0.3015239444129764,0.437524928533433,-0.31104979039171127,0.5404738756544942,-0.497684459691069,0.7979455658011558,-0.12199568161399625,0.9081205531163339,0.7622985777900383,0.8765680766429297,0.8862711066186721,0.8255381550280994,0.6001640523578538,0.8563453347282423,0.8685160599404249,0.8762353166262239,-0.12660426366431873,-0.4703185879324099,-0.12694377733080262,0.2392963861643351
DH,0.264977827136021,0.7026485064369085,0.3738321915288274,-0.038469728098653934,0.7727809866917379,-0.7278506774734047,-0.7837068209794653,0.08707115907532682,-0.5661049944710252,0.13568253757326362,-0.4653740619137818,-0.6350475924126242,-0.5867260971163298,-0.044802796905272495,0.21203843291887112,0.4068822077777985,0.369706581824468,0.47165916140485914,-0.003997031072156831,0.4038475525958861,0.5812001131786535,-0.045475909188870706,0.39402368125059706,0.5655755257300122,0.1929114287596084,-0.021104913061920187,-0.1845799947855034,0.2995313335303844,-0.30986974296997927,0.6557712751520552,-0.5925150787124429,0.7125920488884453,0.6724364400507149,0.8019278050984671,0.6511036014481825,0.5157302847864619,0.5257204439777312,0.6620237644667404,0.7202830371099761,0.7525742339578884,-0.02164983761345418,-0.594768946505992,-0.7018148803166138,0.07082753213769762
