,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors
dataset,aggregation,compound,dense,flame,fuzzyx,jain,line,lsun,mk1,mk2,parabolic,pathbased,r15,ring,ring_noisy,ring_outliers,smile,spiral,target,twodiamonds,wingnut,x1,x2,x3,zigzag,zigzag_noisy,zigzag_outliers,aggregation,compound,dense,flame,fuzzyx,jain,line,lsun,mk1,mk2,parabolic,pathbased,r15,ring,ring_noisy,ring_outliers,smile,spiral,target,twodiamonds,wingnut,x1,x2,x3,zigzag,zigzag_noisy,zigzag_outliers
metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD-CH,0,0,3,0,0,0,2,0,0,1,0,0,0,2,2,0,0,1,3,2,1,0,0,0,1,0,4,35,27,6,20,45,7,1,18,28,28,4,80,17,3,12,5,32,17,4,4,13,21,39,69,7,58,0
AD-DB,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,1,0,2,20,22,3,28,77,6,6,9,9,22,10,99,29,15,31,22,53,18,46,12,4,10,17,33,12,21,2
AD-S,0,0,0,0,0,2,2,2,0,0,0,2,0,2,0,1,0,1,1,0,1,4,0,0,1,0,1,21,17,15,47,78,9,20,1,2,6,64,57,22,15,59,22,39,8,55,9,16,0,63,33,13,29,9
AD-idea,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,1,0,1,1,0,0,2,0,0,2,0,2,12,20,27,96,83,29,20,24,45,20,61,43,8,15,54,37,39,12,64,68,13,21,45,54,18,34,7
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,101,79,118,88,68,81,79,49,78,75,33,3,82,107,126,75,92,108,59,67,28,68,57,92,80,70
BH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,43,104,84,111,81,82,81,77,68,70,85,31,8,82,98,141,69,84,116,59,70,56,63,54,95,65,64
C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,65,69,115,85,77,83,59,18,69,59,33,14,72,83,124,20,87,73,36,65,0,69,54,102,87,105
CDbw,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,68,45,43,84,93,55,37,77,59,67,51,34,51,52,12,78,106,57,105,16,57,72,54,19,23,68,5
