Metric,Correlation,P-value
cSIL,0.396952324866102,0.14291814065043054
GD43,0.46338091285536576,0.08192469336278917
GD53,-0.13777016339389184,0.624390722784655
PS,-0.1867821600262299,0.505059204726509
rCIP,-0.45359979340049755,0.08946335030872866
WB,-0.579593129699454,0.023541726122620732
XB,-0.2911182346459371,0.2924776754630096
SSE,-0.11436591484975756,0.6848552299856665
RS,0.5351586040008988,0.03981155047622796
DH,-0.4711227409624561,0.07628726313074025
B,-0.3903081879877339,0.1503463036135385
BH,-0.00923273429105909,0.9739486299417698
D,0.33135196552161555,0.22764714070655695
H,-0.5253408208670233,0.044320862425518505
DBCV,0.36426663260957914,0.1819348697436396
I,0.6082134112412066,0.01614180585906001
C,-0.4183740786171545,0.12066552123424706
VIASCKDE,0.001701053374042197,0.9951995302589097
COP,-0.05602957386659873,0.8427867001724191
Sym,0.6438743369439975,0.009587981329594288
CS,-0.4200204051776423,0.11906051197283336
SF,0.6424168229577223,0.009806306529194562
SD,-0.17743154355310925,0.5269791303074927
SDbw,-0.49775672668777743,0.05901060442901017
XB*,-0.08077123320155752,0.7747602152430703
S,0.6431346818368079,0.009698296573772375
DB,-0.6594492804935412,0.00748400868855844
CH,0.2852739622214465,0.30271484914392616
AD-S,0.5440034829364693,0.03604992236348264
AD-DB,-0.7196377986193487,0.0024889387250546396
AD-CH,-0.08474058665616022,0.7639739752591782
AD-idea,-0.07959583928851814,0.7779616474109066
