,labels_coil20_SpectralClustering_params1,labels_coil20_SpectralClustering_params15,labels_coil20_SpectralClustering_params59,labels_coil20_SpectralClustering_params57,labels_coil20_SpectralClustering_params29,labels_coil20_SpectralClustering_params43,labels_coil20_SpectralClustering_params31,labels_coil20_SpectralClustering_params16,labels_coil20_SpectralClustering_params17,labels_coil20_SpectralClustering_params30,labels_coil20_SpectralClustering_params3,labels_coil20_SpectralClustering_params47,labels_coil20_SpectralClustering_params60,labels_coil20_SpectralClustering_params45,labels_coil20_SpectralClustering_params44,labels_coil20_SpectralClustering_params2,labels_coil20_SpectralClustering_params18,labels_coil20_SpectralClustering_params33,labels_coil20_SpectralClustering_params4,labels_coil20_SpectralClustering_params46,labels_coil20_SpectralClustering_params19,labels_coil20_SpectralClustering_params58,labels_coil20_SpectralClustering_params5,labels_coil20_SpectralClustering_params48,labels_coil20_SpectralClustering_params32,labels_coil20_SpectralClustering_params6,labels_coil20_SpectralClustering_params61,labels_coil20_SpectralClustering_params62,labels_coil20_SpectralClustering_params65,labels_coil20_SpectralClustering_params52,labels_coil20_SpectralClustering_params67,labels_coil20_SpectralClustering_params51,labels_coil20_SpectralClustering_params38,labels_coil20_SpectralClustering_params13,labels_coil20_SpectralClustering_params34,labels_coil20_SpectralClustering_params14,labels_coil20_SpectralClustering_params53,labels_coil20_SpectralClustering_params39,labels_coil20_SpectralClustering_params66,labels_coil20_SpectralClustering_params69,labels_coil20_SpectralClustering_params68,labels_coil20_SpectralClustering_params24,labels_coil20_SpectralClustering_params27,labels_coil20_SpectralClustering_params11,labels_coil20_SpectralClustering_params37,labels_coil20_SpectralClustering_params25,labels_coil20_SpectralClustering_params41,labels_coil20_SpectralClustering_params28,labels_coil20_SpectralClustering_params70,labels_coil20_SpectralClustering_params40,labels_coil20_SpectralClustering_params54,labels_coil20_SpectralClustering_params10,labels_coil20_SpectralClustering_params23,labels_coil20_SpectralClustering_params26,labels_coil20_SpectralClustering_params55,labels_coil20_SpectralClustering_params9,labels_coil20_SpectralClustering_params42,labels_coil20_SpectralClustering_params20,labels_coil20_SpectralClustering_params8,labels_coil20_SpectralClustering_params56,labels_coil20_SpectralClustering_params12,labels_coil20_SpectralClustering_params63,labels_coil20_SpectralClustering_params7,labels_coil20_SpectralClustering_params49,labels_coil20_SpectralClustering_params22,labels_coil20_SpectralClustering_params21,labels_coil20_SpectralClustering_params35,labels_coil20_SpectralClustering_params36,labels_coil20_SpectralClustering_params64,labels_coil20_SpectralClustering_params50
ARI,0.0863184011770923,0.126368217272673,0.2168701816567145,0.2245924197967157,0.2386471210156228,0.310212579995938,0.3372792025875864,0.3643174843763451,0.37846589190002,0.3949258407313383,0.3990727242846112,0.4084115077438239,0.4308414711827133,0.4388340703979435,0.4408569219553381,0.4481202944484955,0.4563611480437852,0.4822764019191417,0.4930694291181053,0.5065835890090107,0.5258116568904297,0.5271094370939927,0.5295029339000012,0.5495164449768875,0.5667937942347581,0.5692261114038465,0.5890367522439939,0.5935635462931789,0.5939511958663543,0.6071391450263316,0.6196468482400667,0.6199595234775881,0.6234937568336626,0.6253038773346818,0.6286235102989494,0.63427142545377,0.6360634343292059,0.6361447604764429,0.6388680266138673,0.6390686402867394,0.6394182234331149,0.6394607413895063,0.6399511781906605,0.6403901113237418,0.6404378391410741,0.6410540871838071,0.6435907033532043,0.6445726945314566,0.6457731336091391,0.6473583209587719,0.6473786636133446,0.650596969981036,0.6506553688375281,0.6523620665113311,0.6526221782439803,0.6556557558321751,0.6568670657970145,0.6593003010902971,0.6609944375356417,0.6610794547172456,0.6611648509005899,0.6781095257058914,0.6784544233743867,0.689743699242062,0.6904440686482407,0.6909445468265536,0.6971613169344909,0.7068699358683453,0.7122427484523618,0.7277589635290362
DBCV,0.999999999999982,0.9999999999998074,0.9999999999995208,0.9999999999999544,0.9999999999999564,0.9999999999999806,0.999999999999647,0.9999999999999558,0.9999999999998254,0.9999999999999558,0.9999999999997984,0.9999999999999782,0.999999999999838,0.999999999999838,0.9999999999999288,0.9999999999999588,0.9999999999999182,0.9999999999997594,0.999999999999892,0.9999999999999302,0.999999999999946,0.9999999999999274,0.9999999999997834,0.999999999999979,0.9999999999998757,0.999999999999784,0.9999999999999782,0.9999999999999782,0.999999999999979,0.9999999999999782,0.999999999999946,0.999999999999979,0.9999999999999782,0.9999999999999384,0.9999999999998636,0.9999999999999394,0.999999999999946,0.9999999999999454,0.9999999999999782,0.9999999999999384,0.9999999999999438,0.999999999999946,0.9999999999999384,0.9999999999999454,0.999999999999979,0.9999999999999454,0.9999999999999386,0.9999999999999394,0.9999999999999394,0.9999999999999422,0.999999999999943,0.999999999999946,0.999999999999946,0.9999999999999422,0.9999999999999384,0.999999999999946,0.9999999999999394,0.999999999999946,0.999999999999946,0.9999999999999394,0.9999999999999422,0.999999999999979,0.999999999999946,0.999999999999946,0.999999999999946,0.999999999999946,0.999999999999946,0.999999999999946,0.9999999999999782,0.999999999999946
AD-S,-0.0652302505786561,-0.0888041266290128,0.1664522891146534,0.0598157860655412,-0.0581501653717851,0.0775445697533827,0.2330469357505498,-0.0355634952709133,0.1766194958078754,0.0412549129058745,0.2253894522455719,0.2188589197553564,0.198565617918137,0.2513858219631288,0.0489883338567308,0.0421928696472625,0.2543597629118336,0.2712285715913549,0.2830066203765464,0.2811968567872354,0.3334737021446646,0.0847101643407264,0.3081239041330287,0.2720362394222805,0.2977969945988237,0.3342894445984896,0.324450214769763,0.3174228205378778,0.2587972740782882,0.3066911707325139,0.333436554967309,0.2954764015586362,0.3465090661545368,0.3795641844995676,0.358031298745071,0.3785103483957303,0.3648307272885837,0.3673781763865361,0.3123727039426851,0.3578383536824118,0.3061292454188525,0.3788864316113993,0.3802818671087968,0.3852880563820982,0.336853864113545,0.372806245774238,0.3825396252637112,0.3792361766333175,0.3582306694418899,0.3700147669478666,0.3665585189250647,0.3765563927826526,0.3677402627475874,0.3735908528528935,0.3855563554401024,0.3762652006568822,0.350348720872447,0.3705500057099569,0.3783073370680245,0.3512882569846439,0.3918986488567947,0.4110614611159692,0.4110716555971241,0.4407771256180148,0.3941675148412008,0.421913271247343,0.4327477470990391,0.4105747081940275,0.4211618409154091,0.4535392063722716
AD-idea,123.64716461933068,75.93320497420319,46297.96648128524,9.422196435167605,35.23628333300549,100.5852737344134,9822.024542734269,6.8871480664702025,6583.0799638486005,16.395546274075986,4854.445420940009,4322.031931482316,1431.1256534229676,4885.331694687875,37.7179950942416,104.67653810003004,403.0398111836331,16089.543589130031,3150.7935659147997,6010.620421111023,153919.23632017648,483.5373335792123,43279.24351953115,76506.21014361473,11163.10852768125,37089.95352363605,136822.92605038284,158386.11544345738,18723.217641471187,24581.988234246022,107338.5450052952,48210.73517322223,134478.67280505205,32206.04779461165,25083.70970652844,37229.70273630701,323539.62222623074,89796.38193032198,53148.833844498266,74853.05821892475,25558.932783137403,586218.9524238284,48687.38363824336,229239.63386625968,210616.60839473817,119241.0053986305,211146.5538715081,57590.74987625455,108320.44204840594,83986.53374288091,265201.690390126,198681.86933361227,1201110.9199344849,89089.81800867488,246765.9804163376,356457.4422200356,68049.81293878592,250887.425866581,255775.15547624623,83490.96245371184,145215.56724570115,2060548.568467473,682585.3854026976,8764537.571327616,501115.2894729548,1193097.8478718712,3166394.575586621,1350628.5272608255,1482968.9590019688,6464553.014167839
