,labels_wdbc_SpectralClustering_params23,labels_wdbc_SpectralClustering_params19,labels_wdbc_SpectralClustering_params21,labels_wdbc_SpectralClustering_params35,labels_wdbc_SpectralClustering_params33,labels_wdbc_SpectralClustering_params31,labels_wdbc_SpectralClustering_params30,labels_wdbc_SpectralClustering_params29,labels_wdbc_SpectralClustering_params28,labels_wdbc_SpectralClustering_params27,labels_wdbc_SpectralClustering_params14,labels_wdbc_SpectralClustering_params18,labels_wdbc_SpectralClustering_params16,labels_wdbc_SpectralClustering_params26,labels_wdbc_SpectralClustering_params15,labels_wdbc_SpectralClustering_params25,labels_wdbc_SpectralClustering_params17,labels_wdbc_SpectralClustering_params7,labels_wdbc_SpectralClustering_params9,labels_wdbc_SpectralClustering_params11,labels_wdbc_SpectralClustering_params13,labels_wdbc_SpectralClustering_params24,labels_wdbc_SpectralClustering_params22,labels_wdbc_SpectralClustering_params20,labels_wdbc_SpectralClustering_params36,labels_wdbc_SpectralClustering_params34,labels_wdbc_SpectralClustering_params32,labels_wdbc_SpectralClustering_params12,labels_wdbc_SpectralClustering_params8,labels_wdbc_SpectralClustering_params10,labels_wdbc_SpectralClustering_params5,labels_wdbc_SpectralClustering_params6,labels_wdbc_SpectralClustering_params3,labels_wdbc_SpectralClustering_params1,labels_wdbc_SpectralClustering_params4,labels_wdbc_SpectralClustering_params2
ARI,0.0048159758550762,0.0048159758550762,0.0048159758550762,0.0300542959731928,0.0300542959731928,0.0300542959731928,0.3076176292079519,0.3180189350896643,0.3411265396279621,0.4086632597782719,0.4150190618951334,0.4203074608453366,0.429354242783016,0.4456318996447316,0.4640064434534057,0.5013693300245553,0.5071415117968184,0.5174957043966799,0.5174957043966799,0.5174957043966799,0.6085932660610993,0.613601189970172,0.613601189970172,0.613601189970172,0.6149208805709035,0.6149208805709035,0.6149208805709035,0.6172652367364849,0.6172652367364849,0.6172652367364849,0.7794659958352254,0.7862602689536679,0.7984232817878253,0.7985434511202946,0.8114866952511766,0.8243960938715016
VIASCKDE,,,,,,,0.0064048317308695,0.0064736259316501,0.0050777590654076,0.0059912113112582,0.0046402153196158,0.008231626538759,0.0080191365460227,0.0093096892842138,0.0073891074810874,0.0092214809901928,0.007224735545445,0.0026973096641265,0.0026973096641265,0.0026973096641265,0.0086358461506509,0.0049072841081665,0.0049072841081665,0.0049072841081665,0.0048948230198148,0.0048948230198148,0.0048948230198148,0.0049072841081665,0.0049072841081665,0.0049072841081665,0.0054933862806711,0.0055345157291563,0.0054820841832588,0.005476781048387,0.0055345516025618,0.0054390093144084
COP,0.2890781369008642,0.2890781369008642,0.2890781369008642,0.3185481765441569,0.3185481765441569,0.3185481765441569,0.2651650077806387,0.2653661531891847,0.2657506001427421,0.2690420165953276,0.2686533192207579,0.2681943207326034,0.2684148829184315,0.269606985054886,0.2687780522139684,0.2722595848977351,0.2705282093107649,0.2333237893592364,0.2333237893592364,0.2333237893592364,0.2726372333150422,0.2903853508502378,0.2903853508502378,0.2903853508502378,0.2876426895715649,0.2876426895715649,0.2876426895715649,0.2310824898144254,0.2310824898144254,0.2310824898144254,0.2327580030190466,0.2352052040391386,0.2366562478574424,0.2374744820719211,0.2348721028627295,0.2397435214901837
CS,0.521448745816262,0.521448745816262,0.521448745816262,0.6790262813058405,0.6790262813058405,0.6790262813058405,2.742330505281973,2.7262369706595155,2.616339357984525,2.546734413300731,2.3956208255611227,2.358753237256292,2.3664291367994945,2.8769883907685454,2.281067161105723,2.686081891232728,2.225463313206434,1.9857377594735464,1.9857377594735464,1.9857377594735464,2.1249295217363464,1.2130343109668755,1.2130343109668755,1.2130343109668755,1.3957411310316266,1.3957411310316266,1.3957411310316266,1.7877973213890377,1.7877973213890377,1.7877973213890377,1.8637047460705825,1.9174018893928688,2.1887199748051773,2.213334780782253,1.9128489384779384,2.2686867190863453
SD,49.83960903203765,49.83960903203765,49.83960903203765,68.6200667309715,68.6200667309715,68.6200667309715,89.40929829879774,89.62404438589589,89.13391201142196,88.58228430911018,97.8927995431059,97.48050137599732,97.8243423381027,91.24866662626502,98.22361445281932,88.93081437194088,98.40451251668534,108.29625197892004,108.29625197892004,108.29625197892004,100.52196165621756,107.4358331578929,107.4358331578929,107.4358331578929,113.23282915553516,113.23282915553516,113.23282915553516,107.35902684494972,107.35902684494972,107.35902684494972,103.64490061794244,103.03555085747048,103.18272751574315,102.99213436527472,103.19211305628484,102.76756424743952
CH,10.103006738607156,10.103006738607156,10.103006738607156,25.60064069308936,25.60064069308936,25.60064069308936,189.84352698521192,192.38454932229504,184.74233640893385,186.83230332065796,225.8744020398254,230.61387744935485,230.47576725289449,181.09682877616663,238.80505078816265,177.42481510532386,242.7171541732406,325.3224638629517,325.3224638629517,325.3224638629517,245.5950473574728,190.90473019811108,190.90473019811108,190.90473019811108,143.1254427297845,143.1254427297845,143.1254427297845,352.0042760061884,352.0042760061884,352.0042760061884,360.8063091365995,356.56809002011744,355.49504999947936,350.23796177674984,353.78772360470924,344.1988817554197
AD-CH,3.5731334130382475,3.5731334130382475,3.5731334130382475,6.92646309019742,6.92646309019742,6.92646309019742,155.17698998389798,153.1716150896266,154.273918063321,153.8016976985794,236.60650953651063,236.29133304155243,236.32125879770024,154.15940106332215,235.17153842794255,155.73394181568685,234.6382901348971,449.8655528379924,449.8655528379924,449.8655528379924,232.85884669052635,234.1590751620465,234.1590751620465,234.1590751620465,156.90668566551938,156.90668566551938,156.90668566551938,460.54180802735993,460.54180802735993,460.54180802735993,466.204052417226,469.3816578216476,466.3614042854464,467.2900175895141,468.50938551379954,463.3216796681712
AD-idea,0.0,0.0,0.0,1.323929045998319,1.323929045998319,1.323929045998319,0.9653998382812966,0.9830812860106828,0.9976699353566968,0.9969187839863556,1.1524471729505297,1.1533662023252795,1.1584084403693218,0.9825719885056896,1.1603170440179305,0.9896158039496304,1.1632003914004088,1.1550491254559407,1.1550491254559407,1.1550491254559407,1.14655089789496,1.315715712044096,1.315715712044096,1.315715712044096,1.2877127704513704,1.2877127704513704,1.2877127704513704,1.1960081164050522,1.1960081164050522,1.1960081164050522,1.2118544650416347,1.21026260171975,1.2052945452472257,1.2072325886101176,1.208990739275172,1.18914022257961
