,labels_sonar_SpectralClustering_params13,labels_sonar_SpectralClustering_params14,labels_sonar_SpectralClustering_params4,labels_sonar_SpectralClustering_params3,labels_sonar_SpectralClustering_params5,labels_sonar_SpectralClustering_params1,labels_sonar_SpectralClustering_params7,labels_sonar_SpectralClustering_params8,labels_sonar_SpectralClustering_params2,labels_sonar_SpectralClustering_params9,labels_sonar_SpectralClustering_params10,labels_sonar_SpectralClustering_params11,labels_sonar_SpectralClustering_params12,labels_sonar_SpectralClustering_params25,labels_sonar_SpectralClustering_params18,labels_sonar_SpectralClustering_params17,labels_sonar_SpectralClustering_params6,labels_sonar_SpectralClustering_params35,labels_sonar_SpectralClustering_params33,labels_sonar_SpectralClustering_params31,labels_sonar_SpectralClustering_params19,labels_sonar_SpectralClustering_params23,labels_sonar_SpectralClustering_params21,labels_sonar_SpectralClustering_params24,labels_sonar_SpectralClustering_params22,labels_sonar_SpectralClustering_params20,labels_sonar_SpectralClustering_params32,labels_sonar_SpectralClustering_params34,labels_sonar_SpectralClustering_params36,labels_sonar_SpectralClustering_params15,labels_sonar_SpectralClustering_params16,labels_sonar_SpectralClustering_params26,labels_sonar_SpectralClustering_params28,labels_sonar_SpectralClustering_params27,labels_sonar_SpectralClustering_params29,labels_sonar_SpectralClustering_params30
ARI,-0.0062275783255541,-0.0062275783255541,-0.00481330428281,-0.0047159552256118,-0.0047127294962245,-0.004489580123458,-0.004489580123458,-0.004489580123458,-0.004489580123458,-0.004489580123458,-0.004489580123458,-0.004489580123458,-0.004489580123458,-0.0042979218205309,-0.0033465590900889,-0.0032489458152631,-0.0024947596893315,-0.0004815191400751,-0.0004815191400751,-0.0004815191400751,-0.0001171187179942,-0.0001171187179942,-0.0001171187179942,0.0014493236502576,0.0014493236502576,0.0014493236502576,0.0047904732024256,0.0047904732024256,0.0047904732024256,0.0093825385827446,0.0100327363858636,0.036168470857803,0.0429875370389672,0.0464252747186158,0.0512521263079214,0.0546886088698008
VIASCKDE,0.0449033318509779,0.0449033318509779,0.0429001676089442,0.042845035885134,0.0420487404916356,0.0591449329299938,0.0591449329299938,0.0591449329299938,0.0591449329299938,0.0591449329299938,0.0591449329299938,0.0591449329299938,0.0591449329299938,0.0451867848000928,0.0404654721332633,0.0397010088951711,0.0405311943948278,0.0562014033328753,0.0562014033328753,0.0562014033328753,0.049992099561183,0.049992099561183,0.049992099561183,0.0500694008335798,0.0500694008335798,0.0500694008335798,0.0542895214796699,0.0542895214796699,0.0542895214796699,0.0410129868401786,0.041306343863454,0.0426614117470393,0.0377410832140163,0.037722664095885,0.0339215685603158,0.0358587037265566
COP,0.4764351335772589,0.4764351335772589,0.4829635303550293,0.4829379054021563,0.4830629813203562,0.5142136747238744,0.5142136747238744,0.5142136747238744,0.5142136747238744,0.5142136747238744,0.5142136747238744,0.5142136747238744,0.5142136747238744,0.4676374700726865,0.4839519856773726,0.4897185956716586,0.4829979167929218,0.4861474954613971,0.4861474954613971,0.4861474954613971,0.4919585411799195,0.4919585411799195,0.4919585411799195,0.4893610823548477,0.4893610823548477,0.4893610823548477,0.4867940994805136,0.4867940994805136,0.4867940994805136,0.4823531124043837,0.4863215310174347,0.468943959549331,0.4846132640858961,0.4859445865167535,0.488397395067722,0.4811087715761991
CS,1.5670501063822466,1.5670501063822466,2.2836243943831045,2.272915978369749,2.2644858830400563,1.1463893134484613,1.1463893134484613,1.1463893134484613,1.1463893134484613,1.1463893134484613,1.1463893134484613,1.1463893134484613,1.1463893134484613,1.3407448756399152,2.1610408956413383,2.1709357479472837,2.288353892339108,1.3353714564460517,1.3353714564460517,1.3353714564460517,1.3867943932764608,1.3867943932764608,1.3867943932764608,1.392412540551495,1.392412540551495,1.392412540551495,1.4545623619298476,1.4545623619298476,1.4545623619298476,2.3170636810347034,2.298567256641471,1.7076352045374945,2.2136839439765774,2.229748472241037,2.2731505691153613,2.3827137660078725
SD,5.0284291179057,5.0284291179057,5.704625956399226,5.665643696427612,5.656424240768877,5.19125362438673,5.19125362438673,5.19125362438673,5.19125362438673,5.19125362438673,5.19125362438673,5.19125362438673,5.19125362438673,4.098633426618494,5.20504307358191,5.342092281266708,5.720057991317463,4.198835136747953,4.198835136747953,4.198835136747953,4.985395831509693,4.985395831509693,4.985395831509693,4.998146895113381,4.998146895113381,4.998146895113381,4.595568161869652,4.595568161869652,4.595568161869652,5.350886985716017,5.318165977900329,4.842100098144579,5.200077357264424,5.254939375191398,5.3823341518206895,5.5470966638761485
CH,29.514082144032816,29.514082144032816,40.4442112109486,40.17907110242426,39.942929176030695,12.725782983647688,12.725782983647688,12.725782983647688,12.725782983647688,12.725782983647688,12.725782983647688,12.725782983647688,12.725782983647688,22.205381882393976,37.59918963044818,39.07738344265812,40.947433144071,13.5288815606807,13.5288815606807,13.5288815606807,18.138635070936363,18.138635070936363,18.138635070936363,20.053683589697016,20.053683589697016,20.053683589697016,15.0166727564912,15.0166727564912,15.0166727564912,35.33351216275411,35.63730970422679,25.33392989258712,32.64524094451235,32.639494225516366,32.96745523077017,29.413437738268545
AD-CH,94.13857580391736,94.13857580391732,179.54043891368858,179.54043891368855,179.54043891368855,10.19470368000471,10.19470368000471,10.19470368000471,10.19470368000471,10.19470368000471,10.19470368000471,10.19470368000471,10.19470368000471,63.157566468562926,98.43585459811808,97.54394932330756,179.00929256288106,65.95797067653879,65.95797067653879,65.95797067653879,97.5688616180996,97.5688616180996,97.5688616180996,98.00508814474634,98.00508814474634,98.00508814474634,66.44257320721293,66.44257320721293,66.44257320721293,89.9418141360671,90.1153200507144,63.160325517892254,64.69248038653923,64.59009734433509,64.38711439422957,64.10840467373166
AD-idea,1.9563019131494828,1.9563019131494823,1.0570240628124967,1.0607231897534122,1.0573999513609929,3.118129870249756,3.118129870249756,3.118129870249756,3.118129870249756,3.118129870249756,3.118129870249756,3.118129870249756,3.118129870249756,3.656577527999105,0.9935334888997384,1.0152602758685083,1.047458452850801,5.568926128843556,5.568926128843556,5.568926128843556,2.5010838065663554,2.5010838065663554,2.5010838065663554,2.513132560229066,2.513132560229066,2.513132560229066,4.123553519317452,4.123553519317452,4.123553519317452,1.1026794455483528,1.1045111313030431,2.196853788618471,1.2272722177774908,1.2387690598804293,1.2115611692198314,1.089198173908727
