,labels_ecoli_KMeans_params67,labels_ecoli_KMeans_params68,labels_ecoli_KMeans_params62,labels_ecoli_KMeans_params61,labels_ecoli_KMeans_params55,labels_ecoli_KMeans_params56,labels_ecoli_KMeans_params90,labels_ecoli_KMeans_params73,labels_ecoli_KMeans_params74,labels_ecoli_KMeans_params75,labels_ecoli_KMeans_params76,labels_ecoli_KMeans_params77,labels_ecoli_KMeans_params78,labels_ecoli_KMeans_params80,labels_ecoli_KMeans_params81,labels_ecoli_KMeans_params82,labels_ecoli_KMeans_params83,labels_ecoli_KMeans_params84,labels_ecoli_KMeans_params85,labels_ecoli_KMeans_params86,labels_ecoli_KMeans_params87,labels_ecoli_KMeans_params88,labels_ecoli_KMeans_params89,labels_ecoli_KMeans_params79,labels_ecoli_KMeans_params63,labels_ecoli_KMeans_params58,labels_ecoli_KMeans_params57,labels_ecoli_KMeans_params64,labels_ecoli_KMeans_params65,labels_ecoli_KMeans_params66,labels_ecoli_KMeans_params72,labels_ecoli_KMeans_params71,labels_ecoli_KMeans_params70,labels_ecoli_KMeans_params59,labels_ecoli_KMeans_params60,labels_ecoli_KMeans_params69,labels_ecoli_KMeans_params41,labels_ecoli_KMeans_params37,labels_ecoli_KMeans_params38,labels_ecoli_KMeans_params39,labels_ecoli_KMeans_params54,labels_ecoli_KMeans_params53,labels_ecoli_KMeans_params52,labels_ecoli_KMeans_params51,labels_ecoli_KMeans_params40,labels_ecoli_KMeans_params50,labels_ecoli_KMeans_params49,labels_ecoli_KMeans_params47,labels_ecoli_KMeans_params46,labels_ecoli_KMeans_params45,labels_ecoli_KMeans_params44,labels_ecoli_KMeans_params43,labels_ecoli_KMeans_params42,labels_ecoli_KMeans_params48,labels_ecoli_KMeans_params8,labels_ecoli_KMeans_params7,labels_ecoli_KMeans_params1,labels_ecoli_KMeans_params9,labels_ecoli_KMeans_params10,labels_ecoli_KMeans_params11,labels_ecoli_KMeans_params12,labels_ecoli_KMeans_params13,labels_ecoli_KMeans_params14,labels_ecoli_KMeans_params15,labels_ecoli_KMeans_params16,labels_ecoli_KMeans_params17,labels_ecoli_KMeans_params18,labels_ecoli_KMeans_params2,labels_ecoli_KMeans_params6,labels_ecoli_KMeans_params5,labels_ecoli_KMeans_params3,labels_ecoli_KMeans_params4,labels_ecoli_KMeans_params36,labels_ecoli_KMeans_params35,labels_ecoli_KMeans_params34,labels_ecoli_KMeans_params33,labels_ecoli_KMeans_params32,labels_ecoli_KMeans_params31,labels_ecoli_KMeans_params30,labels_ecoli_KMeans_params26,labels_ecoli_KMeans_params19,labels_ecoli_KMeans_params29,labels_ecoli_KMeans_params20,labels_ecoli_KMeans_params21,labels_ecoli_KMeans_params22,labels_ecoli_KMeans_params28,labels_ecoli_KMeans_params24,labels_ecoli_KMeans_params25,labels_ecoli_KMeans_params27,labels_ecoli_KMeans_params23
ARI,0.4178657022813747,0.4178657022813747,0.4178657022813747,0.4178657022813747,0.4178657022813747,0.4178657022813747,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4190036140161585,0.4261698242314605,0.4261698242314605,0.4261698242314605,0.4261698242314605,0.4261698242314605,0.4261698242314605,0.4261698242314605,0.4261698242314605,0.4261698242314605,0.4261698242314605,0.4261698242314605,0.4261698242314605,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4264602305113449,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4734633318273911,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528,0.4936340764389528
VIASCKDE,0.0549454313014867,0.0549454313014867,0.0549454313014867,0.0549454313014867,0.0549454313014867,0.0549454313014867,,,,,,,,,,,,,,,,,,,0.0548013511284378,0.0548013511284378,0.0548013511284378,0.0548013511284378,0.0548013511284378,0.0548013511284378,0.0548013511284378,0.0548013511284378,0.0548013511284378,0.0548013511284378,0.0548013511284378,0.0548013511284378,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0552850615524008,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0595931783779805,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875,0.0615742179328875
COP,0.3185829407554281,0.3185829407554281,0.3185829407554281,0.3185829407554281,0.3185829407554281,0.3185829407554281,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.3319898545094519,0.31950171866289,0.31950171866289,0.31950171866289,0.31950171866289,0.31950171866289,0.31950171866289,0.31950171866289,0.31950171866289,0.31950171866289,0.31950171866289,0.31950171866289,0.31950171866289,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.329900014228503,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.3182028482932504,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907,0.2961706331434907
CS,1.561068763540177,1.561068763540177,1.561068763540177,1.561068763540177,1.561068763540177,1.561068763540177,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.141076622399115,1.558091268489043,1.558091268489043,1.558091268489043,1.558091268489043,1.558091268489043,1.558091268489043,1.558091268489043,1.558091268489043,1.558091268489043,1.558091268489043,1.558091268489043,1.558091268489043,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.4908799580642995,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.5312961811217976,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265,1.540321354854265
SD,1072.1144351824232,1072.1144351824232,1072.1144351824232,1072.1144351824232,1072.1144351824232,1072.1144351824232,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,856.188625669234,1073.2882641641058,1073.2882641641058,1073.2882641641058,1073.2882641641058,1073.2882641641058,1073.2882641641058,1073.2882641641058,1073.2882641641058,1073.2882641641058,1073.2882641641058,1073.2882641641058,1073.2882641641058,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1153.464220987683,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1430.4626237081884,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459,1260.279529880459
CH,143.96854493038467,143.96854493038467,143.96854493038467,143.96854493038467,143.96854493038467,143.96854493038467,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,137.42270581604993,144.0504385325916,144.0504385325916,144.0504385325916,144.0504385325916,144.0504385325916,144.0504385325916,144.0504385325916,144.0504385325916,144.0504385325916,144.0504385325916,144.0504385325916,144.0504385325916,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,155.0532178869557,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,172.0328215525841,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809,162.94785562397809
AD-CH,47.9362700175988,47.9362700175988,47.9362700175988,47.9362700175988,47.9362700175988,47.9362700175988,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,42.866013523793136,47.91381817602034,47.91381817602034,47.91381817602034,47.91381817602034,47.91381817602034,47.91381817602034,47.91381817602034,47.91381817602034,47.91381817602034,47.91381817602034,47.91381817602034,47.91381817602034,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,53.79905037247156,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,75.42392615817928,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176,63.33580173002176
AD-idea,3.3376135288068167,3.3376135288068167,3.3376135288068167,3.3376135288068167,3.3376135288068167,3.3376135288068167,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,4.020320439098259,3.407929783661666,3.407929783661666,3.407929783661666,3.407929783661666,3.407929783661666,3.407929783661666,3.407929783661666,3.407929783661666,3.407929783661666,3.407929783661666,3.407929783661666,3.407929783661666,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.1460781604557937,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.129911462206407,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387,3.1462147010042387
