,labels_yaleA_SpectralClustering_params70,labels_yaleA_SpectralClustering_params15,labels_yaleA_SpectralClustering_params69,labels_yaleA_SpectralClustering_params27,labels_yaleA_SpectralClustering_params41,labels_yaleA_SpectralClustering_params42,labels_yaleA_SpectralClustering_params55,labels_yaleA_SpectralClustering_params56,labels_yaleA_SpectralClustering_params28,labels_yaleA_SpectralClustering_params1,labels_yaleA_SpectralClustering_params13,labels_yaleA_SpectralClustering_params14,labels_yaleA_SpectralClustering_params67,labels_yaleA_SpectralClustering_params16,labels_yaleA_SpectralClustering_params3,labels_yaleA_SpectralClustering_params2,labels_yaleA_SpectralClustering_params29,labels_yaleA_SpectralClustering_params26,labels_yaleA_SpectralClustering_params11,labels_yaleA_SpectralClustering_params24,labels_yaleA_SpectralClustering_params4,labels_yaleA_SpectralClustering_params57,labels_yaleA_SpectralClustering_params9,labels_yaleA_SpectralClustering_params40,labels_yaleA_SpectralClustering_params38,labels_yaleA_SpectralClustering_params10,labels_yaleA_SpectralClustering_params12,labels_yaleA_SpectralClustering_params54,labels_yaleA_SpectralClustering_params36,labels_yaleA_SpectralClustering_params22,labels_yaleA_SpectralClustering_params17,labels_yaleA_SpectralClustering_params6,labels_yaleA_SpectralClustering_params43,labels_yaleA_SpectralClustering_params68,labels_yaleA_SpectralClustering_params21,labels_yaleA_SpectralClustering_params5,labels_yaleA_SpectralClustering_params8,labels_yaleA_SpectralClustering_params23,labels_yaleA_SpectralClustering_params53,labels_yaleA_SpectralClustering_params50,labels_yaleA_SpectralClustering_params49,labels_yaleA_SpectralClustering_params51,labels_yaleA_SpectralClustering_params35,labels_yaleA_SpectralClustering_params7,labels_yaleA_SpectralClustering_params52,labels_yaleA_SpectralClustering_params64,labels_yaleA_SpectralClustering_params20,labels_yaleA_SpectralClustering_params34,labels_yaleA_SpectralClustering_params66,labels_yaleA_SpectralClustering_params45,labels_yaleA_SpectralClustering_params37,labels_yaleA_SpectralClustering_params39,labels_yaleA_SpectralClustering_params65,labels_yaleA_SpectralClustering_params63,labels_yaleA_SpectralClustering_params19,labels_yaleA_SpectralClustering_params25,labels_yaleA_SpectralClustering_params46,labels_yaleA_SpectralClustering_params18,labels_yaleA_SpectralClustering_params33,labels_yaleA_SpectralClustering_params58,labels_yaleA_SpectralClustering_params30,labels_yaleA_SpectralClustering_params48,labels_yaleA_SpectralClustering_params44,labels_yaleA_SpectralClustering_params47,labels_yaleA_SpectralClustering_params31,labels_yaleA_SpectralClustering_params62,labels_yaleA_SpectralClustering_params32,labels_yaleA_SpectralClustering_params59,labels_yaleA_SpectralClustering_params60,labels_yaleA_SpectralClustering_params61
ARI,0.2259763619947239,0.2416946997504975,0.2453820183644066,0.2578420965628795,0.2719387732173272,0.2753285158951611,0.2791729269514202,0.2805492877373554,0.2849353541168819,0.2915342731408965,0.2988920489495814,0.3099515516764282,0.3254022509950262,0.3318959851770821,0.3558421758001254,0.3594892136109227,0.3603863693489892,0.3647849555635963,0.36814633912752,0.3683211520288396,0.3702881051693635,0.3728897547064035,0.3732962784338256,0.3749549377344285,0.3751782409136558,0.3813858644998046,0.3855241261894122,0.3866968305720052,0.3916882120026796,0.3929305993637096,0.3951495514737936,0.3959171357991226,0.3988385706200234,0.3988599435299131,0.4009180967331454,0.4021762389969285,0.4025349543776487,0.404163188561851,0.405249926901723,0.4056860844790736,0.4099069503946599,0.4124937780871758,0.4134469051675185,0.4141999669125737,0.4142680655035688,0.4153869241158521,0.4166483812750786,0.4168815984950376,0.4168815984950376,0.4181412313731436,0.4195914668706403,0.4201907204264706,0.4209800040312369,0.4214336265291679,0.4224900375745166,0.4253191400542684,0.4269167276967173,0.4284616009053619,0.4352698710196446,0.4372227530966173,0.4427305872931392,0.4434923832076721,0.4438523085957572,0.4496719170800529,0.4524232967025788,0.4608141566462053,0.466003629862851,0.4735121670888976,0.4751175065816654,0.4835380268696304
DBCV,1.0,1.0,0.9935897435897436,0.9935897435897436,0.9871794871794872,1.0,0.9935897435897436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9935897435897436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9935897435897436,0.9935897435897436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AD-S,0.1779087766542976,0.2398732452106754,0.2007142430772154,0.2361549962097034,0.2352079822731892,0.2374352795330987,0.2711771108474012,0.2012400927767327,0.2294709192387321,0.280571256095906,0.2663940931240938,0.252577069611382,0.3079985237339001,0.1965484171200152,0.3540997267367385,0.2753309500945053,0.2810508544946978,0.3334481462337492,0.3405738523238994,0.3293370095133048,0.3579738253501086,0.2725150760587723,0.319843715160613,0.3309315009433699,0.3325821035671668,0.3372738081170457,0.3519072672845381,0.3249604932970761,0.3858717363255178,0.381524743393404,0.4000044128448642,0.3790743871978574,0.3262611335376882,0.3442208152983408,0.3865468345350588,0.3788043694737213,0.3629655546775661,0.3553352103616284,0.3478201306846742,0.3789230699531172,0.3733348061088352,0.3945810029265234,0.3976589268590273,0.3676298534750596,0.3707226874950572,0.3861972284427117,0.3913323864814644,0.4007986530723148,0.313385112721227,0.3864339263302865,0.3899872212170757,0.3700897257174306,0.3818743177037975,0.3828396991579353,0.3895137025113696,0.3633606692806228,0.3856976245866573,0.4027015185189725,0.4057170239362998,0.2833578570377532,0.2523888133223417,0.4190885075883338,0.3454757403543728,0.4172698236182389,0.4072143151537188,0.4162468743448277,0.4008419366444643,0.4374061663262289,0.4366094749894161,0.4261958838961055
AD-idea,3.3037949437129464,51.16049438903213,6.699464573486763,35.14602855638744,47.32243615441768,19.825171563976934,44.46249638056285,7.441274645551799,137.9421500586595,259.45522239552014,44.86274801730813,12.05833982623822,117.92671107690272,23.32305726614844,1475.8959238421685,267.72593642216253,1150.1857456976973,242.7375937087453,629.9808234620084,221.73873189518,990.0302323037666,300.9168991718797,284.06315991958843,166.94698158689707,145.12259974677136,361.6931076036742,278.4132983597191,420.7580329975254,1545.6935994480189,1761.475688102308,4250.165239021238,988.2769285609218,1160.1772790714267,720.3385870847519,1800.4617774458582,976.3129645469376,653.4855130268743,750.0329015908096,635.3965952351946,4146.374808096845,1800.5176055382922,838.9286823060444,2426.171027016813,789.8079190515159,5987.363342989036,3405.0341346732707,1746.5943595175024,4670.861838576178,380.6198909749865,3678.947019801332,3622.6612883015423,1296.1115951507377,1574.3706812328537,942.3181247110812,1672.408002519173,1101.6536889722802,6595.373522738183,2470.932641153734,1743.1141735619185,61.44674992688142,113.69437252512137,4403.98729259639,2671.5956685856586,4048.942192820415,7544.995325737118,8730.372185494725,4624.646134520666,27101.87392909723,24832.952307591808,11627.465792496132
