,labels_yeast_SpectralClustering_params9,labels_yeast_SpectralClustering_params11,labels_yeast_SpectralClustering_params7,labels_yeast_SpectralClustering_params47,labels_yeast_SpectralClustering_params45,labels_yeast_SpectralClustering_params43,labels_yeast_SpectralClustering_params35,labels_yeast_SpectralClustering_params33,labels_yeast_SpectralClustering_params31,labels_yeast_SpectralClustering_params19,labels_yeast_SpectralClustering_params21,labels_yeast_SpectralClustering_params23,labels_yeast_SpectralClustering_params51,labels_yeast_SpectralClustering_params52,labels_yeast_SpectralClustering_params29,labels_yeast_SpectralClustering_params41,labels_yeast_SpectralClustering_params42,labels_yeast_SpectralClustering_params53,labels_yeast_SpectralClustering_params54,labels_yeast_SpectralClustering_params40,labels_yeast_SpectralClustering_params39,labels_yeast_SpectralClustering_params37,labels_yeast_SpectralClustering_params30,labels_yeast_SpectralClustering_params50,labels_yeast_SpectralClustering_params38,labels_yeast_SpectralClustering_params49,labels_yeast_SpectralClustering_params17,labels_yeast_SpectralClustering_params24,labels_yeast_SpectralClustering_params22,labels_yeast_SpectralClustering_params20,labels_yeast_SpectralClustering_params5,labels_yeast_SpectralClustering_params18,labels_yeast_SpectralClustering_params26,labels_yeast_SpectralClustering_params25,labels_yeast_SpectralClustering_params6,labels_yeast_SpectralClustering_params14,labels_yeast_SpectralClustering_params58,labels_yeast_SpectralClustering_params56,labels_yeast_SpectralClustering_params60,labels_yeast_SpectralClustering_params13,labels_yeast_SpectralClustering_params27,labels_yeast_SpectralClustering_params48,labels_yeast_SpectralClustering_params46,labels_yeast_SpectralClustering_params44,labels_yeast_SpectralClustering_params28,labels_yeast_SpectralClustering_params12,labels_yeast_SpectralClustering_params10,labels_yeast_SpectralClustering_params8,labels_yeast_SpectralClustering_params16,labels_yeast_SpectralClustering_params15,labels_yeast_SpectralClustering_params36,labels_yeast_SpectralClustering_params34,labels_yeast_SpectralClustering_params32,labels_yeast_SpectralClustering_params1,labels_yeast_SpectralClustering_params57,labels_yeast_SpectralClustering_params59,labels_yeast_SpectralClustering_params55,labels_yeast_SpectralClustering_params3,labels_yeast_SpectralClustering_params2,labels_yeast_SpectralClustering_params4
ARI,0.0644986869063109,0.0644986869063109,0.0644986869063109,0.1201275522004802,0.1201275522004802,0.1201275522004802,0.1203943677007983,0.1203943677007983,0.1203943677007983,0.12551009447063,0.12551009447063,0.12551009447063,0.1259396746281399,0.1282266420336796,0.1316120536766383,0.1322901346405991,0.1324164124851999,0.1338852822334288,0.1363402507985948,0.139099216932741,0.1413906284286927,0.1453492044941118,0.1458758113281568,0.1459707021145535,0.1476981469875434,0.1485387886875372,0.1544990136176903,0.1553657780734204,0.1553657780734204,0.1553657780734204,0.1578057068262323,0.1582670256521578,0.1593329923530698,0.1598737147920247,0.1627014015194474,0.1631627433215308,0.1645236316152751,0.1645236316152751,0.1645236316152751,0.1645459576363811,0.1647363911279922,0.1655427536352218,0.1655427536352218,0.1655427536352218,0.1663124972999241,0.170017083687494,0.170017083687494,0.170017083687494,0.1722226142763545,0.1734626458717395,0.1769605916976388,0.1769605916976388,0.1769605916976388,0.1807663488708236,0.1819168138325388,0.1819168138325388,0.1819168138325388,0.1901442384914189,0.1906481309384947,0.2003571745475671
VIASCKDE,,,,,,,,,,,,,0.0631415244222905,0.0600603928119128,0.0534615768112613,0.0598680093598877,0.056742827476534,0.0616824661500986,0.0602828427408157,0.05960176946405,0.0611959001217346,0.0631475977906833,0.0566172873772099,0.0654584828322344,0.0639113428722798,0.0657466187006786,0.0570301626685806,0.0544151013097833,0.0544151013097833,0.0544151013097833,0.0565780192022971,0.059930870135306,0.0599922220761,0.0605335847268119,0.0597071893104241,0.0618579321690964,0.0606827785474557,0.0606827785474557,0.0606827785474557,0.0651119814414128,0.0591938561857343,0.0603913017612192,0.0603913017612192,0.0603913017612192,0.0612244206361804,0.0540775197052164,0.0540775197052164,0.0540775197052164,0.0623002638167448,0.0642733663678926,0.0581226166148696,0.0581226166148696,0.0581226166148696,0.0670918305186995,,,,0.0661950530336858,0.0654735524060955,0.0656000032849675
COP,0.2979760246784834,0.2979760246784834,0.2979760246784834,0.2752545542131625,0.2752545542131625,0.2752545542131625,0.2756347083991004,0.2756347083991004,0.2756347083991004,0.2872247594091577,0.2872247594091577,0.2872247594091577,0.3427601948643413,0.3334885614497488,0.2846615519129785,0.2820858320510991,0.2853383434358764,0.3333237030481472,0.3304266775693663,0.3141085875380098,0.3160398717279272,0.3100199430727416,0.2783653347803879,0.3136624162274533,0.3002959232742767,0.3192525287744452,0.2636708253619332,0.2724487647063398,0.2724487647063398,0.2724487647063398,0.293306015748514,0.2883919454812131,0.2765572766808393,0.2869383522855991,0.2858003764391063,0.2874858069331495,0.297616715225946,0.297616715225946,0.297616715225946,0.2930737935262594,0.2759004163889603,0.2927238898070478,0.2927238898070478,0.2927238898070478,0.2951134851542278,0.2632358675630462,0.2632358675630462,0.2632358675630462,0.2801194369731355,0.2887299169914004,0.2741046843269319,0.2741046843269319,0.2741046843269319,0.2649665588910167,0.3267226461982848,0.3267226461982848,0.3267226461982848,0.2710123716364237,0.2621530049201798,0.2824770244319426
CS,1.1790815332194704,1.1790815332194704,1.1790815332194704,1.1898908721838792,1.1898908721838792,1.1898908721838792,1.1959833894414316,1.1959833894414316,1.1959833894414316,1.228163520952136,1.228163520952136,1.228163520952136,1.6257516830657028,1.6907129980975195,2.358945419915281,2.2056907891469693,2.286413266121384,1.612315327681539,1.7824418472931836,1.7220571000899934,1.6386295418103674,1.75324442155106,2.365552008937001,1.8669406356756504,1.7711220458825947,1.8109131532084053,2.198731945728919,1.5884410700455118,1.5884410700455118,1.5884410700455118,2.072707911895681,2.2195903791082032,1.7026508925967676,1.664068796222272,2.2898005323653625,1.5972366020685838,1.3235574258816345,1.3235574258816345,1.3235574258816345,1.567584723084209,1.6579344681071166,1.5767303031442477,1.5767303031442477,1.5767303031442477,1.6442018994209886,1.520051964632394,1.520051964632394,1.520051964632394,1.591433138644644,1.5714045690167653,1.5836586982099912,1.5836586982099912,1.5836586982099912,1.522592813835839,1.1878559152234016,1.1878559152234016,1.1878559152234016,1.541632359242969,1.5971012504040516,1.574396288702668
SD,12491.61318661118,12491.61318661118,12491.61318661118,11841.47566449391,11841.47566449391,11841.47566449391,12230.438727499915,12230.438727499915,12230.438727499915,13232.623656987123,13232.623656987123,13232.623656987123,13581.6537332358,13660.322032318643,14494.329293450472,13726.78901106929,14173.102840668978,13306.28481836664,13552.645005818134,14291.162765585808,14248.915113518104,14611.251189200264,14994.363699880916,13856.504617493048,14155.075867968526,14170.435703350451,14811.482959111598,13831.69318408737,13831.69318408737,13831.69318408737,17437.15605161412,17794.213700735316,14868.817324164957,15150.259432878574,20204.092357669608,15757.002634324848,12568.324424244807,12568.324424244807,12568.324424244807,15847.952086348883,14755.413990239933,12969.727121639826,12969.727121639826,12969.727121639826,14718.464047302685,14871.751009548643,14871.751009548643,14871.751009548643,15594.746563616134,15740.013753793188,13045.013647654563,13045.013647654563,13045.013647654563,17018.883903681442,12362.444491029162,12362.444491029162,12362.444491029162,16878.35703723847,17242.655293413343,17121.063537203976
CH,79.85218917199514,79.85218917199514,79.85218917199514,125.66253694579194,125.66253694579194,125.66253694579194,138.95450801063876,138.95450801063876,138.95450801063876,119.91453574450232,119.91453574450232,119.91453574450232,242.95562536042263,248.95563490697265,209.05514370153847,192.63099888812548,196.7470672364332,246.1371362308439,255.7899017632196,260.8424239477084,256.58242206511903,247.99473264841967,213.525806166104,238.93454302915023,258.93927658368847,226.70958441116144,228.7531277281918,258.5074907264429,258.5074907264429,258.5074907264429,239.5384292996188,225.88908662708613,276.372069365615,267.3502745268341,235.4147705245996,289.05987851487373,229.4537411703784,229.4537411703784,229.4537411703784,289.63277391866745,281.9758429217246,243.5189342044295,243.5189342044295,243.5189342044295,283.4438980156675,258.1288602061388,258.1288602061388,258.1288602061388,297.2684659788053,295.0410402767676,258.57617475551206,258.57617475551206,258.57617475551206,303.5752980793849,103.69476371568676,103.69476371568676,103.69476371568676,310.8762746234784,305.12309912500376,313.54823941299753
AD-CH,162.52476341722348,162.52476341722348,162.52476341722348,120.79247767491958,120.79247767491958,120.79247767491958,132.8269931729602,132.8269931729602,132.8269931729602,148.33076248973148,148.33076248973148,148.33076248973148,120.69483403273792,121.03224174854596,114.46941118192056,105.92553201918324,108.5818188255706,117.38589027537688,117.39709065429322,126.15818313518928,129.75514007088057,127.77969849098356,115.8286777605683,115.66767784190353,127.04955944318728,114.63836421921889,129.704190297523,158.96016220025567,158.96016220025567,158.96016220025567,150.87240943485335,131.20986051167864,141.78688700975226,139.47369361467943,151.8359226161909,160.34113293460803,116.70144902150716,116.70144902150716,116.70144902150716,157.55398567733843,141.49726132495115,126.68317106010296,126.68317106010296,126.68317106010296,141.57134657196758,183.7650725421894,183.7650725421894,183.7650725421894,160.479904839816,158.87145368743117,139.41446696928244,139.41446696928244,139.41446696928244,187.17422374728,112.81744532492156,112.81744532492156,112.81744532492156,185.77889263847996,181.4513395729555,182.97040222818293
AD-idea,0.8412610652594239,0.8412610652594239,0.8412610652594239,0.597950242991003,0.597950242991003,0.597950242991003,3.5470150030977443,3.5470150030977443,3.5470150030977443,0.7993566718025759,0.7993566718025759,0.7993566718025759,8.809310517726367,7.793644216112836,2.135505352550866,2.224626672478008,1.954230413205782,9.313505591889928,7.996460604001353,9.115879112677334,9.16789712469146,10.236296025988066,2.222733339250096,10.621640210445106,10.034397010311626,11.45173808835757,2.2483375863961297,3.009841610290119,3.009841610290119,3.009841610290119,2.232801324849804,2.2394519705763143,9.757777332636383,10.330228006228596,1.7708592874824125,9.893821932144904,5.371725048625712,5.371725048625712,5.371725048625712,10.440526882859004,9.553337228707209,2.803864580287172,2.803864580287172,2.803864580287172,9.543665765741164,3.390289800804185,3.390289800804185,3.390289800804185,9.561835840700168,9.819194303962588,3.0137368566132428,3.0137368566132428,3.0137368566132428,10.848698285035734,0.3217830849677333,0.3217830849677333,0.3217830849677333,10.122238875901518,10.516780140331702,9.95474899309614
