,labels_data3_KMeans_params1,labels_data3_KMeans_params10,labels_data3_KMeans_params11,labels_data3_KMeans_params12,labels_data3_KMeans_params13,labels_data3_KMeans_params14,labels_data3_KMeans_params15,labels_data3_KMeans_params16,labels_data3_KMeans_params17,labels_data3_KMeans_params18,labels_data3_KMeans_params19,labels_data3_KMeans_params2,labels_data3_KMeans_params20,labels_data3_KMeans_params21,labels_data3_KMeans_params22,labels_data3_KMeans_params23,labels_data3_KMeans_params24,labels_data3_KMeans_params25,labels_data3_KMeans_params26,labels_data3_KMeans_params27,labels_data3_KMeans_params28,labels_data3_KMeans_params29,labels_data3_KMeans_params3,labels_data3_KMeans_params30,labels_data3_KMeans_params31,labels_data3_KMeans_params32,labels_data3_KMeans_params33,labels_data3_KMeans_params34,labels_data3_KMeans_params35,labels_data3_KMeans_params36,labels_data3_KMeans_params37,labels_data3_KMeans_params38,labels_data3_KMeans_params39,labels_data3_KMeans_params4,labels_data3_KMeans_params40,labels_data3_KMeans_params41,labels_data3_KMeans_params42,labels_data3_KMeans_params43,labels_data3_KMeans_params44,labels_data3_KMeans_params45,labels_data3_KMeans_params46,labels_data3_KMeans_params47,labels_data3_KMeans_params48,labels_data3_KMeans_params49,labels_data3_KMeans_params5,labels_data3_KMeans_params50,labels_data3_KMeans_params51,labels_data3_KMeans_params52,labels_data3_KMeans_params53,labels_data3_KMeans_params54,labels_data3_KMeans_params55,labels_data3_KMeans_params56,labels_data3_KMeans_params57,labels_data3_KMeans_params58,labels_data3_KMeans_params59,labels_data3_KMeans_params6,labels_data3_KMeans_params60,labels_data3_KMeans_params61,labels_data3_KMeans_params62,labels_data3_KMeans_params63,labels_data3_KMeans_params64,labels_data3_KMeans_params65,labels_data3_KMeans_params66,labels_data3_KMeans_params67,labels_data3_KMeans_params68,labels_data3_KMeans_params69,labels_data3_KMeans_params7,labels_data3_KMeans_params70,labels_data3_KMeans_params71,labels_data3_KMeans_params72,labels_data3_KMeans_params8,labels_data3_KMeans_params9
cSIL,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9237581860429372,0.9845884626477539,0.9237581860429372,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9237581860429372,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.8548086556899818,0.8548086556899818,0.8598646569951707,0.9237581860429372,0.8598646569951707,0.8603078266926754,0.8603078266926754,0.8548086556899818,0.8548086556899818,0.8598646569951707,0.8598646569951707,0.8603078266926754,0.8603078266926754,0.8548086556899818,0.9237581860429372,0.8548086556899818,0.8598646569951707,0.8598646569951707,0.8603078266926754,0.8603078266926754,0.7821108096900707,0.7821108096900707,0.7827895032349133,0.7827895032349133,0.7837096885281307,0.9237581860429372,0.7837096885281307,0.7821108096900707,0.7821108096900707,0.7827895032349133,0.7827895032349133,0.7837096885281307,0.7837096885281307,0.7821108096900707,0.7821108096900707,0.7827895032349133,0.9237581860429372,0.7827895032349133,0.7837096885281307,0.7837096885281307,0.9237581860429372,0.9237581860429372
GD43,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,2.392245111061128,24.32368088924076,2.392245111061128,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,2.392245111061128,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,24.32368088924076,4.314020224658875,4.314020224658875,4.380008799549735,2.392245111061128,4.380008799549735,4.386312067213741,4.386312067213741,4.314020224658875,4.314020224658875,4.380008799549735,4.380008799549735,4.386312067213741,4.386312067213741,4.314020224658875,2.392245111061128,4.314020224658875,4.380008799549735,4.380008799549735,4.386312067213741,4.386312067213741,4.676925166833249,4.676925166833249,4.678925928668769,4.678925928668769,4.684821542879774,2.392245111061128,4.684821542879774,4.676925166833249,4.676925166833249,4.678925928668769,4.678925928668769,4.684821542879774,4.684821542879774,4.676925166833249,4.676925166833249,4.678925928668769,2.392245111061128,4.678925928668769,4.684821542879774,4.684821542879774,2.392245111061128,2.392245111061128
GD53,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.34540976040011406,0.4772190205400619,0.34540976040011406,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.34540976040011406,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.304564035756103,0.304564035756103,0.30001832425018254,0.34540976040011406,0.30001832425018254,0.29993381840060906,0.29993381840060906,0.304564035756103,0.304564035756103,0.30001832425018254,0.30001832425018254,0.29993381840060906,0.29993381840060906,0.304564035756103,0.34540976040011406,0.304564035756103,0.30001832425018254,0.30001832425018254,0.29993381840060906,0.29993381840060906,0.29862677822638956,0.29862677822638956,0.29222497887924986,0.29222497887924986,0.28961904495156976,0.34540976040011406,0.28961904495156976,0.29862677822638956,0.29862677822638956,0.29222497887924986,0.29222497887924986,0.28961904495156976,0.28961904495156976,0.29862677822638956,0.29862677822638956,0.29222497887924986,0.34540976040011406,0.29222497887924986,0.28961904495156976,0.28961904495156976,0.34540976040011406,0.34540976040011406
PS,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,2.605310364352943,1.4626190970351254,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,1.4626190970351254,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,2.605310364352943,0.9036631117882203,0.9036631117882203,0.9138076670199627,1.4626190970351254,0.9138076670199627,0.9147084365975469,0.9147084365975469,0.9036631117882203,0.9036631117882203,0.9138076670199627,0.9138076670199627,0.9147084365975469,0.9147084365975469,0.9036631117882203,1.4626190970351254,0.9036631117882203,0.9138076670199627,0.9138076670199627,0.9147084365975469,0.9147084365975469,-1.008184864625307,-1.008184864625307,-1.0055114552275008,-1.0055114552275008,-1.002348483841197,1.4626190970351254,-1.002348483841197,-1.008184864625307,-1.008184864625307,-1.0055114552275008,-1.0055114552275008,-1.002348483841197,-1.002348483841197,-1.008184864625307,-1.008184864625307,-1.0055114552275008,1.4626190970351254,-1.0055114552275008,-1.002348483841197,-1.002348483841197,1.4626190970351254,1.4626190970351254
rCIP,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,5.745298166132382e-23,7.649543316126107e-11,5.745298166132382e-23,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,5.745298166132382e-23,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,2.646814161217593,2.646814161217593,2.524960684989352,5.745298166132382e-23,2.524960684989352,2.507059769114064,2.507059769114064,2.646814161217593,2.646814161217593,2.524960684989352,2.524960684989352,2.507059769114064,2.507059769114064,2.646814161217593,5.745298166132382e-23,2.646814161217593,2.524960684989352,2.524960684989352,2.507059769114064,2.507059769114064,4.4837960182874825,4.4837960182874825,4.48657653402102,4.48657653402102,4.480030273660721,5.745298166132382e-23,4.480030273660721,4.4837960182874825,4.4837960182874825,4.48657653402102,4.48657653402102,4.480030273660721,4.480030273660721,4.4837960182874825,4.4837960182874825,4.48657653402102,5.745298166132382e-23,4.48657653402102,4.480030273660721,4.480030273660721,5.745298166132382e-23,5.745298166132382e-23
WB,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.901451890483802,0.09758260181881684,0.901451890483802,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.901451890483802,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.11182756858356152,0.11182756858356152,0.1114147151637897,0.901451890483802,0.1114147151637897,0.11140704090623993,0.11140704090623993,0.11182756858356152,0.11182756858356152,0.1114147151637897,0.1114147151637897,0.11140704090623993,0.11140704090623993,0.11182756858356152,0.901451890483802,0.11182756858356152,0.1114147151637897,0.1114147151637897,0.11140704090623993,0.11140704090623993,0.11643268210950311,0.11643268210950311,0.11637872366562743,0.11637872366562743,0.11634368581807181,0.901451890483802,0.11634368581807181,0.11643268210950311,0.11643268210950311,0.11637872366562743,0.11637872366562743,0.11634368581807181,0.11634368581807181,0.11643268210950311,0.11643268210950311,0.11637872366562743,0.901451890483802,0.11637872366562743,0.11634368581807181,0.11634368581807181,0.901451890483802,0.901451890483802
XB,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.10011119042362389,0.018815640412351585,0.10011119042362389,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.10011119042362389,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.5266703366000727,0.5266703366000727,0.5090852640294675,0.10011119042362389,0.5090852640294675,0.5075891547325795,0.5075891547325795,0.5266703366000727,0.5266703366000727,0.5090852640294675,0.5090852640294675,0.5075891547325795,0.5075891547325795,0.5266703366000727,0.10011119042362389,0.5266703366000727,0.5090852640294675,0.5090852640294675,0.5075891547325795,0.5075891547325795,0.43559468271206764,0.43559468271206764,0.4350251245104417,0.4350251245104417,0.4338032269051464,0.10011119042362389,0.4338032269051464,0.43559468271206764,0.43559468271206764,0.4350251245104417,0.4350251245104417,0.4338032269051464,0.4338032269051464,0.43559468271206764,0.43559468271206764,0.4350251245104417,0.10011119042362389,0.4350251245104417,0.4338032269051464,0.4338032269051464,0.10011119042362389,0.10011119042362389
SSE,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,208.24531224745698,21.115314335050535,208.24531224745698,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,208.24531224745698,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,21.115314335050535,18.228966306356554,18.228966306356554,18.16349096797202,208.24531224745698,18.16349096797202,18.16227376598085,18.16227376598085,18.228966306356554,18.228966306356554,18.16349096797202,18.16349096797202,18.16227376598085,18.16227376598085,18.228966306356554,208.24531224745698,18.228966306356554,18.16349096797202,18.16349096797202,18.16227376598085,18.16227376598085,15.253014789307553,15.253014789307553,15.246106865703323,15.246106865703323,15.241621136187572,208.24531224745698,15.241621136187572,15.253014789307553,15.253014789307553,15.246106865703323,15.246106865703323,15.241621136187572,15.241621136187572,15.253014789307553,15.253014789307553,15.246106865703323,208.24531224745698,15.246106865703323,15.241621136187572,15.241621136187572,208.24531224745698,208.24531224745698
RS,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.5180888762951085,0.9054944862786825,0.5180888762951085,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.5180888762951085,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.8988010741180208,0.8988010741180208,0.8997653442749695,0.5180888762951085,0.8997653442749695,0.8998359865689386,0.8998359865689386,0.8988010741180208,0.8988010741180208,0.8997653442749695,0.8997653442749695,0.8998359865689386,0.8998359865689386,0.8988010741180208,0.5180888762951085,0.8988010741180208,0.8997653442749695,0.8997653442749695,0.8998359865689386,0.8998359865689386,0.8935643816146571,0.8935643816146571,0.8937604982343679,0.8937604982343679,0.8939721780326046,0.5180888762951085,0.8939721780326046,0.8935643816146571,0.8935643816146571,0.8937604982343679,0.8937604982343679,0.8939721780326046,0.8939721780326046,0.8935643816146571,0.8935643816146571,0.8937604982343679,0.5180888762951085,0.8937604982343679,0.8939721780326046,0.8939721780326046,0.5180888762951085,0.5180888762951085
DH,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.26150949874850105,0.13076958957163826,0.26150949874850105,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.26150949874850105,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.12837703747680745,0.12837703747680745,0.12753218311390319,0.26150949874850105,0.12753218311390319,0.12745942330780546,0.12745942330780546,0.12837703747680745,0.12837703747680745,0.12753218311390319,0.12753218311390319,0.12745942330780546,0.12745942330780546,0.12837703747680745,0.26150949874850105,0.12837703747680745,0.12753218311390319,0.12753218311390319,0.12745942330780546,0.12745942330780546,0.12210597884704068,0.12210597884704068,0.12199617415564917,0.12199617415564917,0.12189648165125316,0.26150949874850105,0.12189648165125316,0.12210597884704068,0.12210597884704068,0.12199617415564917,0.12199617415564917,0.12189648165125316,0.12189648165125316,0.12210597884704068,0.12210597884704068,0.12199617415564917,0.26150949874850105,0.12199617415564917,0.12189648165125316,0.12189648165125316,0.26150949874850105,0.26150949874850105
