,ecoli,glass,ionosphere,sonar,wdbc,wine
cSIL,0.7216606958070585,-0.3510761354220793,-0.7432033556449087,-0.5592944233667001,-0.32000876392641053,0.09049655912860827
GD43,0.4910011507833986,-0.40194728956379927,-0.9547622546884293,-0.4804644916228934,0.04422774572390124,0.15963020025681973
GD53,0.29872105696759405,-0.10604678434534012,-0.3536193827804995,-0.21577039699925737,0.9062889896835628,-0.34023990224077694
PS,-0.5702378384594433,0.4820973394938407,0.8058451278519668,0.4627802053889456,0.5280770339336536,0.7537339371771573
rCIP,-0.3631283252199569,0.4267856208560447,-0.3576752019138013,0.5012195798865294,-0.19496044977306418,0.20024348464553798
WB,-0.4217077375473346,-0.27696264330445136,-0.9100167749685139,-0.12521835220829702,-0.7307651267622978,-0.5397300337698286
XB,-0.5542163999467998,0.01760763195468295,0.6173357580276185,0.49264812104997086,-0.25125406411160445,-0.14070257001589365
SSE,-0.40144891654365045,-0.43627924591381817,-0.8663569626584968,-0.4942275363714285,-0.6498595631014407,-0.8308166031775926
RS,0.2481407825931713,-0.342101543806357,-0.7996619235588223,-0.5074828895934808,-0.11034921919169274,-0.342462326229402
DH,-0.3663842298644022,0.4673939324138099,0.5098928392011692,0.3842800596682149,0.6837387355104624,-0.38321216087539683
B,-0.7683136851212741,0.2670548100025374,0.47091987932520674,0.32278465121599215,0.41778468621945336,-0.6080696068805176
BH,-0.2661709243737235,-0.44315457077075066,-0.39176005929214025,-0.358145053449863,0.15745543416000038,-0.7524227234874139
D,0.3600517516290477,-0.43150596963134824,-0.7297271975341625,-0.4135569293685105,-0.5779205110527678,-0.5904054829732259
H,-0.35459292989046254,0.6175163762017262,0.789464134447493,0.5836204657354082,0.03942334452353002,0.28950765295375724
DBCV,0.45877587919521956,0.0007175199516971551,-0.1545395513636394,-0.3770505526316652,-0.6695930278732786,0.4014662639901342
I,0.6324995099296448,-0.5055750814617157,0.14412186078462427,-0.3824830480468568,0.04997175823426636,-0.03802413002217875
C,-0.6542025085296223,0.15634191001443942,-0.6846437758972841,0.15635554627129694,0.20253695821201784,-0.7102757172981709
VIASCKDE,0.6300786257481105,-0.19393310818562118,0.17835684460503862,-0.48902178507845456,-0.350868294040098,0.04578360880600413
COP,0.01343524066687428,0.44156684792505907,-0.24948157451429795,-0.23489868773594885,-0.6728155836870646,0.2231082909889523
Sym,0.774740668174159,-0.4927363088760948,0.11464587605197103,-0.4097905438180679,0.1485750366385951,0.152371510002664
CS,-0.5775615006703194,0.5049107693440512,0.7765561970974034,0.44728405676688676,0.4296540341116276,0.06073523529263219
SF,0.00462178154264324,-0.42292487994502714,-0.20348936741131432,-0.22589091366381778,-0.07328051127317708,-0.5138346424432683
SD,-0.09059107824615989,-0.37704423008841703,0.38218361152863006,0.10982331439649373,0.8697313511585001,-0.6648189631774057
SDbw,-0.5562102280435632,0.15320682784748144,0.5922411805381982,,0.6977712374157031,-0.7447789801208848
XB*,-0.5058714873024306,0.03151195262147705,0.9297092809103394,0.5570693131871188,-0.1624837406465173,-0.0021925649964648353
S,0.4874286570478886,-0.21561310017625235,0.4301662543098345,-0.3822883590774858,-0.21200160643701266,0.347548167937918
DB,-0.595900725651493,0.2755630774311225,0.884795238351065,0.4831290230556754,0.3519471872198653,-0.02419378589241393
CH,0.4855193263668286,0.07456772782149204,0.5983156618987717,0.2368298535255106,0.8529321479788189,0.3694386087058723
AD-S,0.312263047021274,-0.34929989873494816,-0.8280781736655254,-0.3945254487612547,-0.6093158476891405,-0.7181410080553183
AD-DB,-0.6195309173898267,0.5797386175890338,0.9218654953997802,0.47126859439690766,0.5962436153456144,0.7499845518516268
AD-CH,0.43222339135787347,-0.17581090722284307,-0.19041497685792963,-0.042203275145007206,0.8392081750290117,-0.3524118597841098
AD-idea,0.35579094902631214,-0.5124938226597503,-0.1898063233222016,-0.12567315806829024,-0.156112231841844,0.27234920313671324
