,ARI,AMI,time (s)
K-Means,0.596,0.717,0.169
DBSCAN,0.266,0.500,0.021
HDBSCAN,0.304,0.493,0.039
MeanShift,0.692,0.769,0.213
AgglomerativeClustering,0.692,0.771,0.024
SpectralClustering,0.764,0.804,0.211
ED-K-Means,0.500,0.689,55.896
AD-K-Means,0.025,0.146,2.854
