algorithm,aggregation,compound,dense,r15,spiral,x1
K-Means,0.016,0.634,0.028,0.037,0.024,0.073
DBSCAN,0.016,0.003,0.003,0.004,0.002,0.004
HDBSCAN,0.018,0.024,0.011,0.012,0.018,0.011
MeanShift,1.862,0.147,0.139,0.883,0.092,0.152
AgglomerativeClustering,0.016,0.003,0.002,0.005,0.001,0.002
SpectralClustering,0.063,0.044,0.041,0.074,0.104,0.072
ED-K-Means,79.569,21.286,2.219,193.126,3.872,1.916
AD-K-Means,0.876,0.227,0.039,1.655,0.044,0.016
