,d=2,d=5,d=10,d=50,d=100,d=500
cSIL,0.004 ± 0.000,0.003 ± 0.001,0.005 ± 0.001,0.003 ± 0.000,0.005 ± 0.001,0.024 ± 0.001
GD43,0.001 ± 0.000,0.001 ± 0.000,0.002 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.008 ± 0.001
GD53,0.001 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.001 ± 0.001,0.001 ± 0.000,0.007 ± 0.001
PS,0.002 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.003 ± 0.000
rCIP,0.002 ± 0.001,0.002 ± 0.000,0.003 ± 0.001,0.011 ± 0.001,0.044 ± 0.024,NaN ± NaN
WB,0.001 ± 0.001,0.001 ± 0.000,0.001 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,0.008 ± 0.001
XB,0.001 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,0.001 ± 0.001,0.001 ± 0.001,0.008 ± 0.001
SSE,0.000 ± 0.000,0.000 ± 0.000,0.001 ± 0.001,0.001 ± 0.000,0.000 ± 0.000,0.006 ± 0.001
RS,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.001 ± 0.000,0.006 ± 0.001
DH,0.014 ± 0.002,0.017 ± 0.003,0.022 ± 0.001,0.039 ± 0.001,0.061 ± 0.002,0.289 ± 0.007
B,0.001 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,0.000 ± 0.000,0.001 ± 0.000,0.007 ± 0.001
BH,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.001 ± 0.000,0.005 ± 0.001
D,0.002 ± 0.001,0.002 ± 0.000,0.003 ± 0.001,0.005 ± 0.001,0.010 ± 0.000,0.053 ± 0.003
H,0.001 ± 0.001,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.001,0.001 ± 0.000,0.005 ± 0.001
DBCV,35.616 ± 1.897,37.947 ± 3.115,40.591 ± 1.398,39.638 ± 2.062,37.895 ± 8.462,34.312 ± 0.446
I,0.000 ± 0.000,0.001 ± 0.001,0.000 ± 0.001,0.001 ± 0.000,0.001 ± 0.001,0.010 ± 0.000
CDbw,0.744 ± 0.091,0.998 ± 0.227,1209 ± 167,nan,nan,nan
C,0.039 ± 0.001,0.066 ± 0.010,0.059 ± 0.003,0.055 ± 0.005,0.065 ± 0.002,0.198 ± 0.018
VIASCKDE,0.306 ± 0.017,0.532 ± 0.068,0.711 ± 0.017,0.863 ± 0.093,1.305 ± 0.053,6.013 ± 0.311
COP,0.010 ± 0.001,0.029 ± 0.004,0.017 ± 0.004,0.010 ± 0.001,0.012 ± 0.001,0.016 ± 0.001
Sym,0.002 ± 0.001,0.018 ± 0.003,0.063 ± 0.006,0.235 ± 0.013,0.498 ± 0.023,2.246 ± 0.069
CS,0.002 ± 0.000,0.004 ± 0.001,0.006 ± 0.001,0.011 ± 0.000,0.019 ± 0.001,0.093 ± 0.004
SF,0.001 ± 0.001,0.001 ± 0.000,0.002 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.005 ± 0.000
SD,0.029 ± 0.003,0.046 ± 0.005,0.077 ± 0.006,0.087 ± 0.005,0.157 ± 0.007,0.799 ± 0.004
SDbw,0.001 ± 0.000,0.003 ± 0.001,0.005 ± 0.001,0.010 ± 0.001,0.015 ± 0.001,0.094 ± 0.004
XB*,0.001 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.006 ± 0.000
S,0.017 ± 0.002,0.020 ± 0.003,0.025 ± 0.002,0.020 ± 0.001,0.020 ± 0.001,0.027 ± 0.001
DB,0.001 ± 0.000,0.001 ± 0.000,0.002 ± 0.001,0.003 ± 0.001,0.004 ± 0.001,0.007 ± 0.002
CH,0.000 ± 0.000,0.000 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.006 ± 0.001
AD-S,0.050 ± 0.007,0.084 ± 0.046,0.362 ± 0.016,0.233 ± 0.006,0.241 ± 0.005,0.249 ± 0.006
AD-DB,0.050 ± 0.006,0.063 ± 0.004,0.349 ± 0.065,0.233 ± 0.005,0.241 ± 0.004,0.251 ± 0.006
AD-CH,0.064 ± 0.008,0.077 ± 0.023,0.283 ± 0.011,0.232 ± 0.004,0.238 ± 0.003,0.245 ± 0.003
AD-idea,0.106 ± 0.007,0.204 ± 0.100,0.351 ± 0.006,0.445 ± 0.008,0.453 ± 0.011,0.485 ± 0.022
