,correct,errors,correct,errors,correct,errors,correct,errors,correct,errors,correct,errors,correct,errors
clusterer,Labelsets,Labelsets,AgglomerativeClustering,AgglomerativeClustering,DBSCAN,DBSCAN,HDBSCAN,HDBSCAN,KMeans,KMeans,MeanShift,MeanShift,SpectralClustering,SpectralClustering
cvi,,,,,,,,,,,,,,
cSIL,24,65,8,1273,8,730,10,2207,19,1014,13,418,11,1027
GD43,23,73,8,1103,9,693,9,2255,16,918,9,496,10,941
GD53,1,180,5,1178,8,736,6,2395,16,1194,7,505,9,831
PS,26,76,8,852,10,707,8,2312,18,894,13,426,12,610
rCIP,11,116,4,1197,8,739,7,2315,18,852,6,378,4,849
WB,26,61,11,996,9,691,11,2159,17,996,12,456,9,1035
XB,22,76,11,1082,8,732,8,2303,21,774,11,333,8,934
SSE,26,58,1,1154,10,284,17,982,7,1386,7,610,1,1256
RS,24,68,6,1159,8,716,10,2204,16,966,12,468,10,893
DH,30,39,0,1448,1,447,11,810,9,1290,5,577,1,1269
B,27,53,1,1261,2,492,12,1073,8,1266,6,584,1,1238
BH,32,30,1,1148,0,505,12,811,7,1398,7,614,0,1307
D,14,106,3,1353,2,486,11,1219,18,846,5,419,6,1017
H,10,113,7,1335,8,731,8,2303,16,1164,8,404,6,914
DBCV,41,3,9,699,6,345,12,876,15,936,10,371,16,383
I,21,69,10,1049,0,458,13,755,19,774,14,282,9,954
C,26,59,6,1050,16,190,19,733,22,714,11,457,10,950
CDbw,40,5,2,1011,2,460,10,832,10,1230,7,459,1,1185
VIASCKDE,21,62,8,1282,13,347,17,1079,18,828,11,453,12,747
COP,25,67,3,986,11,311,22,660,12,1038,11,450,3,874
Sym,28,43,11,930,12,253,16,836,17,954,9,465,10,765
CS,24,57,4,1414,5,445,13,850,20,1002,6,544,7,1057
SF,11,109,7,1126,6,460,13,1256,18,894,11,357,7,627
SD,30,42,1,1181,4,442,14,700,7,1380,6,562,1,1248
SDbw,29,41,5,1148,6,381,13,705,16,1050,8,548,7,1044
XB*,18,87,9,1162,7,380,11,1300,18,960,9,400,9,905
S,23,63,13,946,19,190,21,758,22,732,15,288,11,794
DB,24,70,6,1281,7,456,14,922,21,882,13,370,9,951
CH,23,68,10,976,16,203,21,662,18,774,12,431,8,943
AD-S,37,15,17,555,23,178,22,555,22,606,13,355,22,260
AD-DB,31,31,11,794,13,358,15,750,19,762,14,273,20,235
AD-CH,22,78,16,497,18,221,20,905,22,828,12,340,13,411
A,44,0,14,345,5,276,19,409,25,624,15,395,19,307
