algorithm,aggregation,compound,dense,r15,spiral,x1
K-Means,0.717,0.499,0.773,0.993,-0.006,1.0
DBSCAN,0.987,0.949,0.913,0.987,1.0,1.0
HDBSCAN,0.827,0.905,0.913,0.978,1.0,1.0
MeanShift,0.868,0.77,0.791,0.686,0.113,1.0
AgglomerativeClustering,0.991,0.856,0.921,0.989,1.0,1.0
SpectralClustering,0.473,0.329,0.98,0.851,1.0,1.0
ED-K-Means,0.889,0.511,0.96,0.688,0.426,1.0
AD-K-Means,0.827,0.745,0.96,0.765,1.0,1.0
