algorithm,aggregation,compound,dense,r15,spiral,x1
K-Means,0.828,0.676,0.728,0.994,-0.006,1.0
DBSCAN,0.983,0.908,0.856,0.99,1.0,1.0
HDBSCAN,0.898,0.804,0.866,0.981,1.0,1.0
MeanShift,0.889,0.796,0.744,0.862,0.236,1.0
AgglomerativeClustering,0.987,0.857,0.878,0.992,1.0,1.0
SpectralClustering,0.752,0.617,0.959,0.943,1.0,1.0
ED-K-Means,0.928,0.668,0.929,0.877,0.462,1.0
AD-K-Means,0.876,0.778,0.929,0.913,1.0,1.0
