,KMeans,SpectralClustering,AgglomerativeClustering,HDBSCAN
cSIL,-0.582,-0.287,-0.693,nan
GD43,-0.505,-0.312,-0.428,nan
GD53,0.229,0.240,0.615,nan
PS,-0.596,0.135,0.022,nan
rCIP,nan,nan,nan,nan
WB,-0.907,-0.163,0.111,nan
XB,-0.475,-0.420,-0.487,nan
SSE,-0.439,-0.244,0.066,-0.602
RS,-0.889,-0.458,-0.809,
DH,-0.454,-0.439,-0.766,0.682
B,-0.446,-0.094,-0.223,-0.620
BH,-0.096,0.081,0.496,-0.274
D,-0.483,0.118,0.814,nan
H,-0.904,-0.399,-0.806,nan
DBCV,0.063,-0.116,0.714,0.654
I,-0.918,-0.339,-0.319,-0.842
C,-0.507,-0.029,0.058,0.461
CDbw,nan,nan,nan,nan
VIASCKDE,nan,nan,nan,nan
COP,-0.232,0.158,0.523,0.739
Sym,-0.600,-0.264,-0.004,-0.722
CS,-0.532,-0.297,-0.744,-0.027
SF,nan,nan,nan,-0.354
SD,0.361,0.055,0.020,-0.756
SDbw,nan,nan,nan,nan
XB*,-0.465,-0.443,-0.557,-0.656
S,-0.871,-0.030,0.143,0.581
DB,-0.457,-0.327,-0.664,-0.062
CH,-0.389,0.217,0.324,0.824
AD-S,-0.804,0.122,0.043,0.804
AD-DB,-0.511,-0.220,-0.727,0.040
AD-CH,-0.389,0.143,0.398,0.546
AD-idea,-0.761,0.497,0.040,0.914
