,ARI,AMI,time (s)
K-Means,1.000,1.000,0.007
DBSCAN,1.000,1.000,0.003
HDBSCAN,0.616,0.676,0.005
MeanShift,1.000,1.000,0.212
AgglomerativeClustering,1.000,1.000,0.005
SpectralClustering,1.000,1.000,0.094
AD-K-Means,1.000,1.000,0.010
