,ARI,AMI,time (s)
K-Means,0.738,0.698,0.006
DBSCAN,0.913,0.856,0.004
HDBSCAN,0.021,0.202,0.006
MeanShift,0.791,0.744,0.063
AgglomerativeClustering,0.921,0.878,0.000
SpectralClustering,0.980,0.959,0.085
AD-K-Means,0.960,0.929,0.016
