,fuzzyx,line,dense,parabolic,ring,ring_noisy,ring_outliers,zigzag,zigzag_noisy,zigzag_outliers,mk1,mk2,smile,x1,x2,x3,aggregation,compound,jain,pathbased,spiral,r15,flame,lsun,target,twodiamonds,wingnut
cSIL,0.017944517628860592,-0.7954638949071661,0.16574288862855668,0.4290476329277467,-0.8116241514985116,-0.4191946569181421,-0.267862326872919,-0.2551239129674321,0.24579358317398278,-0.13798942061937014,0.677037640914699,-0.7433598699343325,0.05793903096208129,0.570021625326991,-0.3804758053022324,0.2600467581042088,0.4838916106599198,0.39541640981931586,-0.02677211067439872,0.5668478633117268,-0.6232602322109908,-0.09228125999145377,0.016672302864518283,0.08787966912320987,-0.2473597710841795,-0.002974974865215675,0.1666285612660947
GD43,0.4335769168532652,-0.676443969793715,-0.004816055972701337,0.2955933984086038,-0.7302053157147559,0.05353308824465989,-0.3269967266924776,-0.21754398125930316,0.5129860518957238,-0.19769476382928783,0.9600973808847111,-0.7983808842733287,0.23273475585630288,0.7986362367175495,-0.26726436206080695,0.5532261261805271,0.0977772927221411,0.48027865276866066,-0.0006697667569135706,0.32337529191536957,-0.5012633060558531,0.6473151545935499,0.009848718721403455,0.18777197602844445,-0.03384279393952811,0.052448321936650166,0.17307840685179696
GD53,0.6664196647980761,0.014752696030123413,0.11142165219759048,0.6325460589766151,-0.4385072340017756,-0.27217480123984195,-0.5197499988752543,-0.6125924977704629,-0.3220489699350766,-0.7857354492821848,0.5074420124297705,-0.40907898258733383,0.01531449589014779,-0.0992094348554492,-0.36532395020933345,-0.3806366502697317,-0.20184975270221475,0.5227995873734828,0.480005154214634,-0.36156219562978376,-0.33263051457885073,0.5954945843376354,0.2486691558711564,-0.03007773752699386,0.20360910876058189,0.5175875710655244,0.0987975908110161
PS,0.4485454194017523,-0.2564959027799337,0.653755235927476,0.5405293319281674,0.5476306292843395,0.05060893293234333,-0.3253968183835322,-0.3853229636836049,-0.11767081005845283,-0.6416449154813473,0.4733564258456509,-0.6666700739741869,-0.0527561080281764,0.12639593486061249,0.01258460768656323,0.3705593732104825,-0.08942996914457016,-0.07616819669660103,0.16369686051471674,0.1906893718376112,-0.4646522483503799,0.6666200935747212,0.488448419576396,-0.036431054929483196,0.10042613830028152,0.13267049176032908,-0.024492706186478495
rCIP,-0.42278493884720664,0.5520963232672603,0.40364239527354684,0.8538831344101008,-0.435716029426661,-0.24422369570825533,-0.09059848913338778,-0.619987370540968,-0.40681851183801004,-0.6124948648544764,-0.012870709673488917,-0.3203311298157181,0.28753519377031805,0.6007301318629712,-0.3693288124972966,-0.408178784296364,0.5475896439066393,0.4473517561954493,0.6846067797741745,0.09474031594219144,-0.5761679190322753,-0.34076149113018345,0.4315729779194022,-0.14710646030037972,0.0710069348853201,0.733301894207341,-0.06405393181972881
WB,0.4941487330107758,-0.6128178282255501,0.24768410499178375,-0.238314810185849,-0.6419135260584791,0.6858496274336037,-0.25510423443644176,-0.1996579503185017,0.7397999294104249,0.049574764041625724,0.8645930190124292,-0.7040503632969803,0.12688766783761102,0.8139857159967144,0.5795974525166306,0.8379786983673984,-0.0028620551455680646,-0.35278749525340763,-0.42252697460774075,0.16905833784768276,-0.43530629570135104,0.8237512977809304,-0.15374913539088314,0.2472870693963689,0.3448550613036652,-0.17367747800740058,-0.05581183326837706
XB,0.345366895353168,-0.8736180592413582,0.708588142593163,0.5643010583507695,-0.6731122075627158,0.010002661892829914,-0.1916872504750702,-0.32291885159390926,0.2528125880218548,-0.23285831149534816,0.5384370693785746,-0.7624673455505729,0.1825898034052941,0.5822305799998051,-0.19310656723361275,0.49511954543851766,0.3107637648483054,0.2011157864377102,0.34553680157191236,0.39171103182460665,-0.684416490199358,-0.018183140381053932,0.4560577580217419,-0.026338895456466317,0.03374097135691891,0.23709539345063024,0.23528062707668415
SSE,0.720935610544119,-0.60327866514428,-0.4308669415364688,-0.49229738726924244,-0.5503480653559594,-0.26655285597114303,-0.4424570750111072,-0.47002252814918705,-0.02589686422409467,-0.151373130432879,0.34849725332271336,-0.5290107916062156,-0.16922726184022238,0.12159711909248647,0.2819751211222331,0.8104629969656388,-0.07759773507353707,-0.5396651931288267,-0.5601575210601624,-0.1724493786310589,-0.5966713898208044,0.699637144257161,-0.21002807747068206,-0.22492378592062123,-0.32602764173159743,-0.004689942223196866,-0.24662373766292
RS,0.15470775021719946,-0.646156216374052,0.645682627185022,0.24185237396160195,-0.8198123989580532,-0.45559239189577716,-0.2958075932782263,-0.15865651559476568,0.5315264705836124,0.38318123695003536,0.8907866599154765,-0.687578954340888,0.402674213160117,0.8149899269266048,-0.015887698536244166,0.8184000924968599,0.2822097100848792,0.06833218439317974,-0.38858854182390473,0.309980759531504,-0.6545705295912797,0.7858010871891827,-0.2955395068828103,0.08566202909532558,-0.28093691153396533,-0.1794281715583204,-0.06793573089698861
DH,0.019618058189274805,-0.5766220930399862,-0.43621350062295355,-0.7608286119808543,-0.6289518889304133,-0.6072524731188647,0.183379700189469,-0.03516925138790421,0.09420463892567776,0.18513245416477364,0.2583379364977091,-0.07692250701396984,0.32375799778996,0.4830094486998676,-0.05343955056346028,0.4774461905899864,0.13874420671316498,-0.3150700736348341,-0.23793639570402145,-0.11689049649143946,-0.5135460607884472,0.5260362857672032,-0.5398775968741724,0.00043815851391269995,-0.5833099655597681,-0.5996527216962066,-0.19264963029338006
