,ecoli,glass,yeast,statlog,wdbc,wine
cSIL,-0.593552615455424,-0.1388115896719015,-0.8052468735714503,0.2394623079140484,-0.2216198634020974,-0.3492752814841163
GD43,0.0837646373977318,-0.0152983444159806,-0.2226147955571962,0.2348351584447632,-0.1088340448522999,0.1162338824743593
GD53,-0.7155058884404448,-0.3819176824535058,-0.148349660261573,0.2119462869722748,-0.6360501411685651,-0.3435158669650599
PS,-0.560902830279878,-0.4973827873093229,0.3313921530416863,0.0340301868195573,-0.0783231858618773,0.1633940119801765
rCIP,-0.2454180104512567,-0.4355591654822904,0.2279016932494024,-0.0152682830350782,-0.0432902424088975,0.2230226687226071
WB,0.4159787057764522,0.3605525880392192,0.4599579657156667,0.694641983521439,0.3887184023195942,0.2220522719620658
XB,-0.5227520433212768,-0.1017345147003263,-0.243226594549912,0.0966447462738478,-0.590053948847378,0.319557806684432
SSE,0.4860275861270081,0.5748849054220353,0.1775683084686529,0.5843584810923592,0.1597710849426875,0.7450774329192177
RS,-0.5533480878823306,0.0691678866733301,-0.2640780073694093,0.0775729430401287,-0.7292992257132992,0.0343344429114473
DH,0.2912479070880782,0.2217364076907051,-0.2475042356792895,-0.439187213543624,-0.1429225731935082,0.3189741322891197
B,0.3245908335497964,0.0875869550860003,-0.0764853664655042,-0.2130417726511667,0.1988338060627794,0.2965595593888281
BH,0.7051176029504946,0.7008347979073292,0.4587747427671638,0.4591062908038179,0.4629055334671166,0.7422930371814016
D,-0.5226227550153932,-0.3652031680505114,-0.4408549284227531,0.0673458972496767,-0.44365681475578,0.0880268489170857
H,-0.7289160518130428,-0.5642100521507083,-0.0223398845939265,-0.0230694833915806,-0.2253786171660717,0.0616643311656941
DBCV,-0.794744588172039,-0.0153273771528705,-0.4202981377376283,-0.1874177456319988,-0.795028841898762,0.1371190345186074
I,-0.7617969016354127,-0.3490107406581481,-0.1692202649903648,-0.3515324298911607,-0.3842649552698897,-0.0850135360713394
C,-0.4315000380517877,0.0180528814171245,0.3927370425680715,0.5787904716110668,-0.1796671715385715,0.4852302228189631
CDbw,,,,,,
VIASCKDE,0.2921911246646039,0.5571960146650037,-0.4405659500640666,0.4745742028761053,-0.4432818120965054,0.4075659137906737
COP,0.1558409101987418,-0.5063645337888054,-0.2219725658202627,0.1217735662915934,-0.0623061325551767,-0.0900438144393951
Sym,0.305855536264726,0.1764300386947958,-0.1717426524552436,0.317177980772214,-0.0180355993240864,0.1161996138513228
CS,-0.4436495893669742,-0.0881350255974473,-0.4805407649352501,-0.216151607447821,-0.7597363006399128,0.0724352866205463
SF,-0.5421226552970604,-0.3224113032603944,-0.4129567295939818,0.196863873467014,-0.7096490824818474,-0.2523665637274397
SD,0.3962903288150136,0.4734904240011199,-0.0522838819871094,0.2174382542564993,0.0814295771826374,0.5583242186501147
SDbw,0.4041772745373308,0.2994760439974702,-0.0978047808124262,-0.0185571334082724,0.3705246951055048,0.703882882224283
XB*,-0.5493937613642836,-0.2067272680413661,-0.2520848355407786,0.0583175401572587,-0.1618821287311401,0.2391155503839286
S,-0.6511053804788842,-0.2812542810581485,-0.0019957098850312,-0.0706516419781994,-0.6512366106201252,0.2725559938084775
DB,-0.5642721512525812,-0.1794114262564166,-0.4337492393596515,-0.2360755117918815,-0.7977323068168282,0.2834906103511012
CH,-0.0616345779063663,0.0351271262387386,0.3151595537508683,0.437153516087095,0.7614400050148792,-0.0373050902333478
AD-S,-0.7218642570920039,-0.2286382464356693,-0.6313348164440202,-0.5296172636210005,-0.6443600682671883,-0.1401815165968336
AD-DB,-0.6033937835664593,-0.1887366497276571,-0.7234013295995521,-0.3959422884766595,-0.6726232659746266,-0.0521299035141516
AD-CH,-0.3632719029047174,-0.3791849754747024,-0.0878843336988447,0.5053593506257609,0.2099739471749957,-0.4539806163313017
AD-idea,0.2041767997021586,0.2667558119388113,-0.212502453428862,0.0129315847895393,0.0548714673930763,-0.1465846736967027
