,ecoli,glass,yeast,statlog,wdbc,wine,ionosphere,sonar,ccbr,wholesale,seeds
cSIL,-0.48011062,-0.38006675,-0.849145396,0.246021495,-0.399469655,-0.249910421,-0.028311717,-0.478053528,-0.187782924,-0.581720588,0.447769247
GD43,-0.500440512,-0.308553184,0.076639114,-0.189941542,-0.733987747,0.520157584,-0.536731981,-0.365448283,-0.112523865,-0.46362015,0.58770267
GD53,-0.637558189,-0.321844279,0.017863693,0.381139554,-0.311176769,0.414032704,-0.414524897,0.038964719,0.175282912,-0.120695783,-0.083713286
PS,-0.390678193,-0.159684372,0.458972347,0.004195146,-0.066285055,-0.008442434,-0.450437744,0.134456931,0.278531638,0.127968565,0.153530643
rCIP,0.258453869,0.328938755,0.329996252,0.02718207,0.753160843,0.183770411,0.323692036,-0.002893804,-0.164146141,-0.051188685,0.125796612
WB,-0.772642083,-0.544087995,-0.571470751,-0.700384596,-0.678263693,-0.401661014,-0.174883229,-0.13791911,-0.233550645,0.118748997,-0.739770367
XB,0.191445904,0.075028051,0.015771226,-0.117878217,0.678126388,-0.432998169,0.428874343,0.277469781,-0.059030206,0.07179672,-0.406361542
SSE,-0.350249198,-0.011427379,-0.614365706,-0.582381254,-0.303451721,-0.418757426,0.513715942,-0.097779953,0.178757815,-0.476671008,-0.634859886
RS,-0.650430315,-0.211005584,-0.450785688,0.070946423,-0.6518167,0.294389224,-0.58873477,-0.053693132,-0.342943379,-0.236375987,0.279373975
DH,-0.417229326,0.081419825,-0.025258039,0.166308251,-0.151863836,-0.162114067,0.491918847,-0.427205498,0.340504733,0.073317166,-0.232420062
B,-0.616613817,0.150654576,-0.285904865,-0.198925547,-0.59957893,-0.245497279,0.706771296,-0.064862468,0.308128519,-0.402914943,-0.453659185
BH,-0.307448298,-0.371087005,-0.087459593,0.200619863,-0.226591752,-0.566136807,-0.222673738,-0.551610077,0.004429281,0.227352672,-0.12708889
D,-0.21075553,-0.481512197,-0.437118246,-0.265146285,-0.229891482,-0.120035069,-0.159232311,-0.075491767,0.157574225,0.067065923,0.30556254
H,0.606355707,0.711109384,0.447380724,0.034914569,0.831879366,0.048684969,0.584962277,0.095830345,0.146892868,0.170805309,0.27241694
DBCV,-0.822949524,-0.09865876,-0.616933529,-0.714373052,-0.67596105,-0.037847549,0.265634812,0.175461318,-0.050868667,-0.723020545,-0.772929434
I,-0.104186764,-0.140505763,-0.37454035,-0.193745499,-0.057371679,-0.089440484,-0.179711775,-0.157283494,-0.205555514,0.169699317,-0.068188716
C,-0.521933257,-0.031121703,-0.712990624,-0.393960555,-0.452171433,-0.368080535,-0.263102253,0.539224201,-0.09936374,0.454436745,-0.818999174
CDbw,null,null,null,null,null,null,null,null,,,
VIASCKDE,0.866102232,0.069199646,0.495497021,0.044985428,0.075655284,0.32968674,-0.360610493,-0.25900401,,-0.693035124,0.047097824
COP,-0.01452761,0.031765623,-0.518724198,-0.691214437,-0.031107626,-0.579291748,0.209926788,-0.74635694,-0.080226593,0.403770147,-0.794443643
Sym,0.33656783,-0.129740577,0.552795186,0.290636128,0.13657554,0.001844114,0.080205662,-0.608952638,0.435090254,-0.493972759,0.790069273
CS,-0.363419305,0.195105727,-0.114150324,0.022629282,-0.320579142,-0.04531911,0.627166841,-0.217713174,0.153427761,0.528606285,-0.379906045
SF,-0.808641912,-0.509347083,-0.106896479,0.242502916,-0.823508419,-0.378110107,-0.288182891,-0.145163949,-0.105694695,-0.107690657,0.283640402
SD,-0.589362819,-0.177624497,-0.285982816,-0.059881254,-0.134879913,-0.361707915,0.463931796,-0.488981711,0.172954439,-0.096778494,-0.414976471
SDbw,-0.53875514,-0.218597936,0.056629217,0.172184278,-0.536223995,-0.361052827,0.442106248,1,-0.422317142,0.220628123,-0.475497564
XB*,-0.04948177,0.210690747,-0.356444149,-0.321164444,-0.243821078,-0.301891306,-0.195081605,0.730029231,-0.397575957,0.128344405,-0.306019946
S,0.144304028,-0.077333973,0.644524433,0.27697918,0.066579679,0.085034949,0.286387672,-0.403015262,0.331452257,-0.613505797,0.696749332
DB,-0.390118796,0.105867784,-0.258381794,-0.219638854,-0.367018816,-0.197147538,0.677376375,-0.006784218,-0.067749892,0.253729127,-0.399229841
CH,0.763187848,0.218297264,0.768074522,0.842093954,0.885704227,0.153948305,0.104593354,-0.179792164,0.452958184,-0.393741728,0.803853151
AD-S,-0.25494275,-0.190214143,-0.389296979,-0.412532379,-0.320628199,-0.315626847,0.017868969,-0.159724758,-0.155072217,-0.656832771,-0.232066613
AD-DB,0.041848478,0.42955624,0.509369559,0.312972863,0.169614137,0.047272897,0.009341528,0.11785944,0.001916348,0.37931334,0.323661522
AD-CH,-0.461840431,0.005069184,0.050256467,0.68538227,-0.411589035,-0.239651013,0.443006663,-0.373176865,0.324960662,-0.428189497,0.107037883
AD-idea,0.397710232,0.097340829,-0.257759484,-0.059621246,-0.081974763,-0.249517773,-0.227428723,0.755252607,-0.296649152,0.094867225,-0.227758918
