,ecoli,glass,yeast,statlog,wdbc,wine,ionosphere,sonar
cSIL,-0.48011062,-0.38006675,-0.849145396,0.246021495,-0.399469655,-0.249910421,-0.028311717,-0.478053528
GD43,-0.500440512,-0.308553184,0.076639114,-0.189941542,-0.733987747,0.520157584,-0.536731981,-0.365448283
GD53,-0.637558189,-0.321844279,0.017863693,0.381139554,-0.311176769,0.414032704,-0.414524897,0.038964719
PS,-0.390678193,-0.159684372,0.458972347,0.004195146,-0.066285055,-0.008442434,-0.450437744,0.134456931
rCIP,-0.258453869,-0.328938755,-0.329996252,-0.02718207,-0.753160843,-0.183770411,-0.323692036,0.002893804
WB,0.772642083,0.544087995,0.571470751,0.700384596,0.678263693,0.401661014,0.174883229,0.13791911
XB,-0.191445904,-0.075028051,-0.015771226,0.117878217,-0.678126388,0.432998169,-0.428874343,-0.277469781
SSE,0.350249198,0.011427379,0.614365706,0.582381254,0.303451721,0.418757426,-0.513715942,0.097779953
RS,-0.650430315,-0.211005584,-0.450785688,0.070946423,-0.6518167,0.294389224,-0.58873477,-0.053693132
DH,0.417229326,-0.081419825,0.025258039,-0.166308251,0.151863836,0.162114067,-0.491918847,0.427205498
B,0.616613817,-0.150654576,0.285904865,0.198925547,0.59957893,0.245497279,-0.706771296,0.064862468
BH,0.307448298,0.371087005,0.087459593,-0.200619863,0.226591752,0.566136807,0.222673738,0.551610077
D,-0.21075553,-0.481512197,-0.437118246,-0.265146285,-0.229891482,-0.120035069,-0.159232311,-0.075491767
H,-0.606355707,-0.711109384,-0.447380724,-0.034914569,-0.831879366,-0.048684969,-0.584962277,-0.095830345
DBCV,-0.822949524,-0.09865876,-0.616933529,-0.714373052,-0.67596105,-0.037847549,0.265634812,0.175461318
I,-0.104186764,-0.140505763,-0.37454035,-0.193745499,-0.057371679,-0.089440484,-0.179711775,-0.157283494
C,0.521933257,0.031121703,0.712990624,0.393960555,0.452171433,0.368080535,0.263102253,-0.539224201
CDbw,,,,,,,,
VIASCKDE,0.866102232,0.069199646,0.495497021,0.044985428,0.075655284,0.32968674,-0.360610493,-0.25900401
COP,0.01452761,-0.031765623,0.518724198,0.691214437,0.031107626,0.579291748,-0.209926788,0.74635694
Sym,0.33656783,-0.129740577,0.552795186,0.290636128,0.13657554,0.001844114,0.080205662,-0.608952638
CS,0.363419305,-0.195105727,0.114150324,-0.022629282,0.320579142,0.04531911,-0.627166841,0.217713174
SF,-0.808641912,-0.509347083,-0.106896479,0.242502916,-0.823508419,-0.378110107,-0.288182891,-0.145163949
SD,0.589362819,0.177624497,0.285982816,0.059881254,0.134879913,0.361707915,-0.463931796,0.488981711
SDbw,0.53875514,0.218597936,-0.056629217,-0.172184278,0.536223995,0.361052827,-0.442106248,-1.0
XB*,0.04948177,-0.210690747,0.356444149,0.321164444,0.243821078,0.301891306,0.195081605,-0.730029231
S,0.144304028,-0.077333973,0.644524433,0.27697918,0.066579679,0.085034949,0.286387672,-0.403015262
DB,0.390118796,-0.105867784,0.258381794,0.219638854,0.367018816,0.197147538,-0.677376375,0.006784218
CH,0.763187848,0.218297264,0.768074522,0.842093954,0.885704227,0.153948305,0.104593354,-0.179792164
AD-S,-0.25494275,-0.190214143,-0.389296979,-0.412532379,-0.320628199,-0.315626847,0.017868969,-0.159724758
AD-DB,-0.041848478,-0.42955624,-0.509369559,-0.312972863,-0.169614137,-0.047272897,-0.009341528,-0.11785944
AD-CH,-0.461840431,0.005069184,0.050256467,0.68538227,-0.411589035,-0.239651013,0.443006663,-0.373176865
AD-idea,0.397710232,0.097340829,-0.257759484,-0.059621246,-0.081974763,-0.249517773,-0.227428723,0.755252607
