,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.283,0.508*,0.508*,0.818*,0.792*,-0.100,0.004s
GD43 (↑),0.040,0.658*,0.658*,1.495*,1.414*,0.020,0.002s
GD53 (↑),0.044,0.444*,0.444*,0.406*,0.397*,0.396*,0.001s
PS (↑),-2.644,1.900*,1.900*,1.516*,1.948*,1.195*,0.002s
rCIP (↓),3.864,0.095*,0.095*,0.001*,0.007*,4.141,0.002s
WB (↓),1.386,7.589,7.589,2.080,2.055,1155.447,0.001s
XB (↓),103.684,0.948*,0.948*,0.238*,0.257*,806.814,0.001s
SSE (↓),45.411,191.557,191.557,123.390,122.658,240.791,0.000s
RS (↑),-0.098,-0.576,-0.576,0.076*,-0.015*,-4.961,0.000s
DH (↓),0.312,0.741,0.741,0.469,0.506,0.988,0.003s
B (↓),0.189,1.903,1.903,0.442,0.516,157.217,0.000s
BH (↓),7.568,95.778,95.778,61.695,61.329,40.132,0.000s
D (↑),0.006,0.181*,0.181*,0.338*,0.246*,0.072*,0.000s
H (↓),3.569,0.967*,0.967*,0.349*,0.405*,5.988,0.001s
DBCV (↑),0.220,-0.956,-0.956,0.218,-0.938,-0.980,0.019s
I (↑),0.373,0.166,0.166,0.792*,0.682*,0.001,0.001s
C (↓),0.069,0.338,0.338,0.131,0.133,0.510,0.009s
CDbw (↑),0.373,0.018,0.018,0.060,0.037,0.017,0.015s
VIASCKDE (↑),0.389,0.477*,0.477*,0.575*,0.560*,-0.205,0.015s
COP (↓),0.218,0.329,0.329,0.239,0.327,0.395,0.008s
Sym (↑),0.035,0.010,0.010,0.029,0.019,0.000,0.003s
CS (↓),2.969,2.575*,2.575*,1.274*,1.443*,54.580,0.001s
SF (↑),0.205,0.253*,0.253*,0.377*,0.351*,0.012,0.001s
SD (↓),4192.544,8987.802,8987.802,6379.078,6669.602,16163.076,0.016s
SDbw (↓),0.585,1.922,1.922,1.353,1.192,2.637,0.003s
XB* (↓),372.661,1.067*,1.067*,0.294*,0.323*,899.477,0.001s
S (↑),0.139,0.240*,0.240*,0.489*,0.475*,-0.057,0.008s
DB (↓),5.330,1.823*,1.823*,0.786*,0.903*,44.808,0.002s
CH (↑),340.344,104.630,104.630,381.756*,386.403*,0.408,0.000s
