,gt,dp,vl,hl,rl
cSIL (↑),0.928,0.622,0.881,0.687,-0.011
GD43 (↑),6.373,0.914,2.281,1.140,0.065
GD53 (↑),0.464,0.375,0.377,0.413,0.467*
PS (↑),2.637,1.905,1.467,1.627,2.257
rCIP (↓),0.022,0.066,0.000*,0.035,1.165
WB (↓),0.500,4.490,1.382,3.833,543.898
XB (↓),0.090,0.561,0.154,0.460,127.434
SSEI (↓),62.005,300.262,177.370,285.194,431.620
RSI (↑),0.571,-0.369,0.314,-0.244,-1.982
DHI (↑),0.289,0.627*,0.381*,0.587*,0.993*
BI (↑),0.111,1.123*,0.278*,0.885*,121.960*
BHI (↓),20.668,150.131,88.685,142.597,143.873
DI (↑),0.260,0.165,0.275*,0.181,0.036
HI (↑),0.217,0.694*,0.221*,0.596*,2.976*
DBCVI (↓),0.840,0.897,0.809*,0.906,0.999
DBCV (↑),-0.643,-0.877,-0.542*,-0.869,-0.872
SF (↑),0.443,0.332,0.441,0.350,0.141
SD (↓),1264362.609,6161339.954,3615203.382,6640616.283,8902353.533
SDbw (↓),0.485,1.656,0.900,2.030,2.779
XB* (↓),0.095,0.748,0.204,0.557,133.168
SS (↑),0.648,0.344,0.572,0.371,-0.027
DBS (↓),0.493,1.334,0.625,1.163,21.291
CHS (↑),2990.735,444.517,1443.973,520.732,2.750
ED-SS (↑),0.520,0.319,0.698*,0.107,-0.203
ED-DBS (↓),0.947,0.876*,0.667*,1.696,4.196
ED-CHS (↑),1190.587,1568.679*,1823.359*,941.021,197.263
MST-SS (↑),0.455,0.315,0.762*,0.057,-0.174
MST-DBS (↓),1.125,0.990*,0.455*,1.566,3.851
MST-CHS (↑),1448.612,1375.829,2425.643*,923.775,228.418
idea (↓),4.380,1.190*,1.234*,1.564*,8.032
