,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.918,0.629,0.718,0.690,0.736,-0.047,0.148s
GD43 (↑),7.592,1.093,1.392,1.327,1.484,0.009,0.011s
GD53 (↑),0.152,0.478*,0.466*,0.487*,0.470*,0.458*,0.041s
PS (↑),3.569,1.907,1.833,1.873,1.718,0.344,0.050s
rCIP (↓),0.956,0.067*,0.071*,0.040*,0.027*,36.236,0.016s
WB (↓),0.427,4.702,3.169,3.608,2.956,4822.021,0.015s
XB (↓),0.135,0.587,0.394,0.450,0.362,6244.678,0.013s
SSE (↓),64.239,1628.152,1422.878,1493.140,1384.257,2313.541,0.004s
RS (↑),0.586,-0.405,-0.220,-0.285,-0.181,-13.964,0.007s
DH (↓),0.146,0.677,0.615,0.637,0.596,0.997,1.648s
B (↓),0.027,1.174,0.785,0.898,0.711,299.472,0.003s
BH (↓),4.283,814.076,711.439,746.570,692.129,154.236,0.002s
D (↑),0.046,0.194*,0.200*,0.204*,0.228*,0.000,0.120s
H (↓),1.227,0.740*,0.563*,0.620*,0.527*,14.994,0.005s
DBCV (↑),-0.587,-0.996,-0.985,-0.986,-0.985,-0.999,49.696s
I (↑),0.760,0.209,0.312,0.268,0.335,0.000,0.004s
C (↓),0.010,0.259,0.205,0.224,0.190,0.489,7.691s
CDbw (↑),0.213,0.004,0.005,0.006,0.004,0.010,6.815s
VIASCKDE (↑),0.675,0.702*,0.722*,0.709*,0.729*,-0.431,1.879s
COP (↓),0.102,0.287,0.291,0.322,0.268,0.362,0.132s
Sym (↑),0.014,0.002,0.002,0.004,0.004,0.000,0.028s
CS (↓),0.997,2.053,1.783,1.798,1.623,124.438,0.186s
SF (↑),0.235,0.314*,0.339*,0.328*,0.343*,0.000,0.022s
SD (↓),70701406.412,1783050917.471,1537506053.166,1871781854.846,1715648078.917,2503831096.476,3.676s
SDbw (↓),0.109,1.848,1.629,1.958,1.822,2.861,0.033s
XB* (↓),0.214,0.614,0.423,0.462,0.386,6530.933,0.015s
S (↑),0.609,0.308,0.360,0.344,0.379,-0.044,2.805s
DB (↓),0.482,1.402,1.142,1.236,1.099,104.763,0.007s
CH (↑),12507.578,2126.060,3153.822,2770.226,3381.258,1.108,0.002s
MST-S (↑),0.505,0.038,0.153,0.017,0.239,-0.008,4.276s
MST-DB (↓),1.097,2.224,1.509,2.637,1.453,7.837,6.412s
MST-CH (↑),867.849,4014.858*,5003.599*,3771.592*,5787.829*,174.900,9.361s
