,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.000,0.609*,0.609*,0.608*,0.612*,0.016*,0.002s
GD43 (↑),0.001,1.060*,1.060*,1.052*,1.071*,0.091*,0.000s
GD53 (↑),0.260,0.498*,0.498*,0.497*,0.499*,0.496*,0.001s
PS (↑),1.963,1.947,1.947,1.940,1.951,1.955,0.002s
rCIP (↓),0.332,0.140*,0.140*,0.140*,0.139*,0.330*,0.001s
WB (↓),1256987.830,5.133*,5.133*,5.168*,5.066*,499.914*,0.001s
XB (↓),157123.479,0.642*,0.642*,0.646*,0.633*,62.488*,0.002s
SSE (↓),478.657,344.444*,344.444*,345.100*,343.171*,476.750*,0.000s
RS (↑),-1.000,-0.439*,-0.439*,-0.442*,-0.434*,-0.992*,0.001s
DH (↓),0.758,0.721*,0.721*,0.721*,0.718*,0.995,0.025s
B (↓),314876.711,1.286*,1.286*,1.294*,1.269*,125.225*,0.000s
BH (↓),239.328,172.222*,172.222*,172.550*,171.586*,238.375*,0.001s
D (↑),0.446,0.203,0.203,0.199,0.200,0.056,0.003s
H (↓),2.000,0.782*,0.782*,0.785*,0.775*,1.968*,0.001s
DBCV (↑),0.982,-0.999,-0.999,-0.999,-0.999,-1.000,3.757s
I (↑),0.000,0.164*,0.164*,0.163*,0.166*,0.002*,0.000s
C (↓),0.346,0.318*,0.318*,0.318*,0.316*,0.498,0.048s
CDbw (↑),0.082,0.008,0.008,0.003,0.003,0.004,0.012s
VIASCKDE (↑),0.838,0.558,0.558,0.554,0.564,0.043,0.069s
COP (↓),0.638,0.459*,0.459*,0.477*,0.446*,0.494*,0.016s
Sym (↑),0.000,0.003*,0.003*,0.003*,0.003*,0.001*,0.003s
CS (↓),685.210,1.961*,1.961*,1.961*,1.939*,17.985*,0.003s
SF (↑),0.271,0.314*,0.314*,0.314*,0.315*,0.271,0.001s
SD (↓),39356886.143,27849483.223*,27849483.223*,29997994.348*,29753518.014*,38603385.085*,0.051s
SDbw (↓),2.000,2.558,2.558,2.561,2.607,2.974,0.003s
XB* (↓),301919.694,0.644*,0.644*,0.650*,0.634*,63.022*,0.001s
S (↑),0.268,0.254,0.254,0.254,0.257,0.002,0.032s
DB (↓),659.861,1.424*,1.424*,1.427*,1.414*,13.187*,0.001s
CH (↑),0.002,388.871*,388.871*,386.238*,394.016*,3.993*,0.000s
