,gt,dp,vl,hl,rl
cSIL (↑),0.767,0.907*,0.921*,0.840*,-0.017
GD43 (↑),2.403,3.951*,4.482*,1.971,0.017
GD53 (↑),0.442,0.420,0.448*,0.342,0.474*
PS (↑),1.840,1.614,1.483,1.901*,1.116
rCIP (↓),0.000,0.051,0.001,0.123,2.182
WB (↓),0.786,0.833,0.802,1.471,767.084
XB (↓),0.458,0.099*,0.090*,0.184*,2010.594
SSEI (↓),80.416,113.888,110.910,164.171,385.843
RSI (↑),0.377,0.393*,0.458*,0.165,-1.992
DHI (↑),0.346,0.371*,0.337,0.464*,0.995*
BI (↑),0.175,0.191*,0.165,0.368*,173.841*
BHI (↓),26.805,56.944,55.455,82.086,128.614
DI (↑),0.119,0.431*,0.332*,0.192*,0.005
HI (↑),0.698,0.186,0.157,0.297,2.982*
DBCVI (↓),0.881,0.777*,0.776*,0.859*,1.000
DBCV (↑),-0.684,-0.862,-0.771,-0.882,-0.902
SF (↑),0.424,0.466*,0.482*,0.422,0.169
SD (↓),64218414.040,96179201.309,87407620.868,137939132.217,298780577.587
SDbw (↓),1.162,0.957*,0.848*,1.515,2.872
XB* (↓),0.497,0.118*,0.101*,0.268*,2082.305
SS (↑),0.472,0.601*,0.627*,0.468,-0.024
DBS (↓),0.891,0.562*,0.501*,0.754*,59.876
CHS (↑),1902.699,2396.367*,2487.512*,1356.717,1.950
ED-SS (↑),0.602,0.358,0.643*,0.150,-0.127
ED-DBS (↓),0.751,1.694,0.730*,1.791,4.809
ED-CHS (↑),968.623,724.446,1429.577*,684.212,193.654
MST-SS (↑),0.588,0.480,0.535,0.316,-0.053
MST-DBS (↓),0.827,0.989,0.873,1.255,4.665
MST-CHS (↑),1053.057,1239.225*,1741.203*,1180.219*,166.866
idea (↓),3.786,2.696*,2.696*,2.696*,14.050
