,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),-0.315,0.667*,0.667*,0.612*,0.659*,-0.002*,0.006s
GD43 (↑),0.004,1.833*,1.833*,1.772*,1.861*,0.016*,0.003s
GD53 (↑),0.051,0.408*,0.408*,0.462*,0.427*,0.491*,0.002s
PS (↑),0.073,1.247*,1.247*,1.485*,1.292*,1.094*,0.002s
rCIP (↓),2.299,0.191*,0.191*,0.402*,0.260*,3.181,0.002s
WB (↓),828.518,5.291*,5.291*,5.501*,5.219*,1851.860,0.003s
XB (↓),14372.941,0.455*,0.455*,0.620*,0.486*,6631.331*,0.002s
SSE (↓),156.510,113.988*,113.988*,115.196*,113.562*,156.823,0.000s
RS (↑),-3.688,-0.569*,-0.569*,-0.496*,-0.529*,-1.995*,0.001s
DH (↓),0.914,0.628*,0.628*,0.712*,0.652*,0.998,0.018s
B (↓),23.667,0.696*,0.696*,1.130*,0.776*,413.825,0.001s
BH (↓),52.170,56.994,56.994,57.598,56.781,52.274,0.000s
D (↑),0.005,0.127*,0.127*,0.127*,0.125*,0.027*,0.002s
H (↓),2.969,0.657*,0.657*,0.774*,0.677*,2.993,0.001s
DBCV (↑),0.755,-0.994,-0.994,-0.999,-0.998,-0.999,5.552s
I (↑),0.002,0.079*,0.079*,0.054*,0.072*,0.000,0.001s
C (↓),0.327,0.188*,0.188*,0.293*,0.216*,0.511,0.058s
CDbw (↑),0.271,0.001,0.001,0.005,0.005,0.044,0.013s
VIASCKDE (↑),0.746,0.755*,0.755*,0.709,0.720,-0.187,0.095s
COP (↓),0.640,0.246*,0.246*,0.251*,0.243*,0.305*,0.021s
Sym (↑),0.005,0.007*,0.007*,0.007*,0.008*,0.001,0.004s
CS (↓),24.052,2.513*,2.513*,2.811*,2.396*,91.621,0.009s
SF (↑),0.256,0.430*,0.430*,0.431*,0.430*,0.317*,0.001s
SD (↓),824407233.840,412971123.663*,412971123.663*,428335794.689*,447729697.283*,525821109.313*,0.056s
SDbw (↓),5.831,1.809*,1.809*,1.873*,1.898*,2.991*,0.004s
XB* (↓),41252.374,0.559*,0.559*,0.671*,0.570*,6710.079*,0.001s
S (↑),0.244,0.392*,0.392*,0.272*,0.359*,-0.010,0.031s
DB (↓),130.600,1.222*,1.222*,1.409*,1.265*,97.339*,0.001s
CH (↑),1.896,396.165*,396.165*,381.018*,401.579*,0.848,0.000s
