,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.599,0.601*,0.623*,0.619*,0.651*,-0.102,0.002s
GD43 (↑),0.001,0.956*,1.001*,0.873*,1.193*,0.027*,0.000s
GD53 (↑),0.000,0.434*,0.428*,0.362*,0.482*,0.384*,0.001s
PS (↑),-1.227,1.548*,1.591*,1.291*,1.933*,1.681*,0.001s
rCIP (↓),0.507,0.139*,0.143*,0.070*,0.145*,3.607,0.001s
WB (↓),40.108,5.454*,4.887*,5.645*,4.297*,823.295,0.001s
XB (↓),131088.788,0.635*,0.579*,0.524*,0.537*,592.682*,0.000s
SSE (↓),407.516,335.346*,325.220*,338.417*,312.740*,455.552,0.000s
RS (↑),-0.835,-0.509*,-0.464*,-0.665*,-0.364*,-3.957,0.000s
DH (↓),0.238,0.716,0.706,0.660,0.693,0.992,0.007s
B (↓),0.320,1.190,1.102,0.836,1.076,130.300,0.000s
BH (↓),81.503,167.673,162.610,169.208,156.370,91.110,0.000s
D (↑),0.269,0.151,0.172,0.213,0.179,0.027,0.001s
H (↓),2.004,0.789*,0.745*,0.734*,0.698*,4.974,0.000s
DBCV (↑),0.949,-0.999,-1.000,-0.997,-0.999,-0.999,11.356s
I (↑),0.109,0.158*,0.170*,0.206*,0.176*,0.001,0.001s
C (↓),0.318,0.293*,0.286*,0.196*,0.298*,0.483,0.036s
CDbw (↑),12.803,0.002,0.008,0.004,0.003,0.005,0.128s
VIASCKDE (↑),0.785,0.537,0.543,0.554,0.542,-0.230,0.038s
COP (↓),0.659,0.353*,0.429*,0.426*,0.382*,0.426*,0.009s
Sym (↑),0.039,0.004,0.004,0.004,0.004,0.000,0.002s
CS (↓),1.126,2.415,1.967,1.905,1.988,40.463,0.003s
SF (↑),0.281,0.318*,0.321*,0.308*,0.329*,0.062,0.001s
SD (↓),25841769.503,50975776.925,49422835.723,65213683.048,47968966.864,67208076.090,0.052s
SDbw (↓),2.581,2.090*,2.103*,2.094*,2.469*,2.864,0.002s
XB* (↓),259432.233,0.731*,0.676*,0.724*,0.558*,688.579*,0.001s
S (↑),0.235,0.272*,0.279*,0.381*,0.279*,-0.055,0.019s
DB (↓),244.609,1.424*,1.372*,1.333*,1.317*,30.432*,0.001s
CH (↑),31.945,376.970*,420.715*,364.224*,478.527*,1.556,0.000s
MST-S (↑),0.946,0.115,-0.058,0.392,0.012,-0.065,0.071s
MST-DB (↓),0.101,19.386,23.646,0.637,16.785,39.613,0.066s
MST-CH (↑),2475.195,77.189,81.258,791.216,86.842,12.551,0.107s
