,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.954,0.920,0.920,0.908,0.464,-0.144,0.094s
GD43 (↑),6.918,2.461,2.461,2.075,1.023,0.013,0.010s
GD53 (↑),0.038,0.133*,0.133*,0.095*,0.450*,0.382*,0.011s
PS (↑),-2.905,1.031*,1.031*,1.047*,1.519*,1.729*,0.015s
rCIP (↓),0.000,0.000,0.000,0.000,0.107,25.016,0.017s
WB (↓),0.101,1.234,1.234,0.901,9.696,6780.005,0.013s
XB (↓),0.035,0.037,0.037,0.032*,1.113,5430.896,0.011s
SSE (↓),16.988,520.448,520.448,423.855,1130.932,1362.610,0.002s
RS (↑),0.611,-0.740,-0.740,-0.839,-0.699,-6.993,0.004s
DH (↓),0.099,0.296,0.296,0.311,0.576,0.999,0.803s
B (↓),0.002,0.042,0.042,0.037,2.058,740.052,0.003s
BH (↓),2.124,260.224,260.224,211.928,565.466,170.326,0.002s
D (↑),0.301,0.357*,0.357*,0.605*,0.138,0.002,0.146s
H (↓),0.366,0.150*,0.150*,0.165*,1.064,7.997,0.003s
DBCV (↑),0.950,-0.995,-0.995,0.973*,-1.000,-1.000,20.146s
I (↑),3.599,0.955,0.955,0.960,0.064,0.000,0.001s
C (↓),0.000,0.018,0.018,0.001,0.314,0.262,2.090s
CDbw (↑),1.830,0.066,0.066,0.575,0.006,0.029,0.041s
VIASCKDE (↑),0.889,0.947*,0.947*,0.896*,0.900*,-0.459,3.723s
COP (↓),0.140,0.135*,0.135*,0.397,0.120*,0.158,0.116s
Sym (↑),0.122,0.003,0.003,0.006,0.000,0.000,0.024s
CS (↓),0.732,0.987,0.987,0.714*,4.697,223.821,0.268s
SF (↑),0.423,0.407,0.407,0.402,0.462*,0.079,0.006s
SD (↓),678312772.982,11821999705.876,11821999705.876,12767720201.314,12501533242.393,12675294371.799,1.573s
SDbw (↓),0.221,0.932,0.932,1.008,2.523,2.955,0.015s
XB* (↓),0.263,0.138*,0.138*,0.169*,1.236,6086.618,0.005s
S (↑),0.833,0.803,0.803,0.815,0.471,-0.056,1.092s
DB (↓),0.358,0.483,0.483,0.517,1.252,79.301,0.004s
CH (↑),73547.559,10534.806,10534.806,14416.420,1340.393,1.094,0.002s
