,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.084,0.686*,0.684*,0.701*,0.664*,-0.010,0.001s
GD43 (↑),0.232,1.316*,1.257*,1.257*,1.211*,0.037,0.000s
GD53 (↑),0.486,0.498*,0.477,0.453,0.490*,0.478,0.000s
PS (↑),2.764,1.726,1.963,1.810,1.788,1.748,0.000s
rCIP (↓),0.969,0.055*,0.060*,0.060*,0.060*,0.982,0.001s
WB (↓),79.953,3.731*,3.690*,3.437*,4.093*,737.758,0.000s
XB (↓),9.677,0.458*,0.461*,0.427*,0.507*,363.400,0.000s
SSE (↓),144.645,97.700*,97.325*,94.866*,100.815*,149.465,0.000s
RS (↑),-1.892,-0.303*,-0.297*,-0.252*,-0.341*,-1.994,0.000s
DH (↓),0.949,0.645*,0.647*,0.634*,0.662*,0.993,0.001s
B (↓),17.907,0.905*,0.929*,0.853*,1.011*,169.910,0.000s
BH (↓),48.215,48.850,48.663,47.433*,50.407,49.822,0.000s
D (↑),0.067,0.264*,0.256*,0.256*,0.237*,0.098*,0.001s
H (↓),2.713,0.628*,0.631*,0.592*,0.672*,2.978,0.000s
DBCV (↑),0.512,-0.753,-0.921,-0.965,-0.867,-0.990,0.022s
I (↑),0.006,0.278*,0.279*,0.300*,0.254*,0.001,0.000s
C (↓),0.458,0.231*,0.232*,0.225*,0.247*,0.486,0.003s
CDbw (↑),0.020,0.018,0.006,0.006,0.019,0.005,0.220s
VIASCKDE (↑),0.436,0.436,0.393,0.389,0.428,-0.091,0.009s
COP (↓),0.346,0.288*,0.245*,0.253*,0.244*,0.311*,0.003s
Sym (↑),0.001,0.024*,0.023*,0.026*,0.022*,0.001,0.001s
CS (↓),6.620,1.756*,1.794*,1.661*,1.861*,31.077,0.000s
SF (↑),0.132,0.328*,0.329*,0.334*,0.323*,0.135*,0.000s
SD (↓),208856.287,140029.745*,139487.666*,149805.189*,165589.513*,216121.678,0.010s
SDbw (↓),3.635,1.863*,1.993*,1.999*,1.980*,2.840*,0.001s
XB* (↓),9.862,0.460*,0.484*,0.471*,0.517*,374.674,0.000s
S (↑),0.001,0.335*,0.334*,0.341*,0.318*,-0.019,0.003s
DB (↓),5.872,1.219*,1.219*,1.170*,1.276*,28.841,0.001s
CH (↑),5.797,166.179*,168.009*,180.403*,151.466*,0.628,0.000s
MST-S (↑),0.828,0.052,0.036,0.020,0.009,-0.135,0.014s
MST-DB (↓),0.342,1.384,1.394,1.408,1.490,17.504,0.014s
MST-CH (↑),637.828,274.816,255.471,263.496,447.718,228.939,0.022s
