,gt,rl,time
cSIL (↑),0.672,0.005,0.001s
GD43 (↑),0.423,0.022,0.001s
GD53 (↑),0.349,0.495*,0.000s
PS (↑),1.557,1.899*,0.000s
rCIP (↓),0.000,0.000,0.005s
WB (↓),3.617,1694.846,0.000s
XB (↓),0.423,211.620,0.001s
SSE (↓),912.955,1416.075,0.001s
RS (↑),-0.401,-0.998,0.000s
DH (↓),0.671,0.997,0.007s
B (↓),0.797,424.259,0.000s
BH (↓),456.478,708.038,0.000s
D (↑),0.124,0.077,0.002s
H (↓),0.616,1.991,0.001s
DBCV (↑),-0.917,-0.904*,1.867s
I (↑),1.496,0.003,0.000s
C (↓),0.181,0.500,0.012s
CDbw (↑),nan,nan,0.000s
VIASCKDE (↑),0.005,-0.000,0.184s
COP (↓),0.233,0.278,0.012s
Sym (↑),0.002,0.000,0.037s
CS (↓),2.360,47.113,0.003s
SF (↑),0.134,0.055,0.004s
SD (↓),105.440,322.270,0.021s
SDbw (↓),0.861,2.753,0.005s
XB* (↓),0.606,213.820,0.001s
S (↑),0.339,-0.000,0.011s
DB (↓),1.224,26.447,0.004s
CH (↑),313.506,0.669,0.001s
