,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.809,0.428,0.833*,0.768,0.776,0.004,0.002s
GD43 (↑),3.016,0.971,3.161*,2.157,2.518,0.063,0.001s
GD53 (↑),0.490,0.497*,0.458,0.438,0.475,0.486,0.001s
PS (↑),1.950,1.573,1.764,1.555,1.913,1.948,0.001s
rCIP (↓),0.178,0.209,0.106*,0.175*,0.159*,0.809,0.001s
WB (↓),1.886,11.378,1.639*,2.680,2.308,2054.409,0.001s
XB (↓),0.236,1.339,0.202*,0.313,0.288,256.785,0.001s
SSE (↓),224.465,393.348,208.271*,264.859,247.791,462.040,0.000s
RS (↑),0.029,-0.698,0.110*,-0.090,-0.070,-0.998,0.000s
DH (↓),0.541,0.801,0.506*,0.573,0.568,0.999,0.051s
B (↓),0.472,2.532,0.400*,0.588,0.577,514.049,0.000s
BH (↓),112.232,196.674,104.136*,132.429,123.896,231.020,0.000s
D (↑),0.063,0.097*,0.194*,0.180*,0.154*,0.003,0.010s
H (↓),0.382,1.144,0.333*,0.456,0.447,1.992,0.001s
DBCV (↑),-0.980,-0.993,-0.977*,-0.980,-0.985,-0.995,14.904s
I (↑),0.254,0.045,0.293*,0.198,0.215,0.000,0.001s
C (↓),0.158,0.380,0.129*,0.216,0.184,0.500,0.518s
CDbw (↑),0.021,0.012,0.014,0.005,0.010,0.009,0.292s
VIASCKDE (↑),0.536,0.684*,0.734*,0.711*,0.720*,-0.011,0.225s
COP (↓),0.241,0.269,0.227*,0.243,0.229*,0.298,0.022s
Sym (↑),0.019,0.007,0.018,0.012,0.012,0.001,0.006s
CS (↓),1.568,3.791,1.442*,1.811,1.941,50.644,0.015s
SF (↑),0.443,0.371,0.451*,0.432,0.435,0.342,0.001s
SD (↓),287816.348,503483.371,263985.247*,347725.856,341585.160,594416.625,0.261s
SDbw (↓),1.780,2.309,1.616*,1.785,1.976,2.986,0.002s
XB* (↓),0.241,1.346,0.221*,0.357,0.303,264.286,0.002s
S (↑),0.420,0.191,0.461*,0.370,0.398,0.000,0.222s
DB (↓),0.865,2.054,0.801*,0.953,0.939,29.097,0.007s
CH (↑),2125.068,352.258,2446.112*,1495.338,1736.366,1.951,0.007s
MST-S (↑),0.090,0.016,0.092*,0.068,0.095*,0.001,0.443s
MST-DB (↓),2.151,2.304,2.147*,2.193,2.145*,3.847,0.560s
MST-CH (↑),1797.029,1631.937,1807.908*,1789.697,1803.930*,516.650,0.915s
