,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.924,0.669,0.745,0.741,0.735,-0.007,0.061s
GD43 (↑),3.173,1.018,1.321,1.283,1.326,0.009,0.013s
GD53 (↑),0.163,0.465*,0.447*,0.442*,0.459*,0.493*,0.010s
PS (↑),3.213,1.393,1.790,1.725,1.791,3.138,0.017s
rCIP (↓),0.002,0.025,0.035,0.011,0.003,1.694,0.020s
WB (↓),0.537,4.902,2.782,2.874,2.875,28144.393,0.015s
XB (↓),0.096,0.515,0.345,0.353,0.356,5033.625,0.011s
SSE (↓),675.478,4054.389,3320.797,3365.997,3366.452,5707.670,0.002s
RS (↑),0.527,-0.350,-0.149,-0.155,-0.188,-2.999,0.001s
DH (↓),0.261,0.610,0.568,0.567,0.557,1.000,1.812s
B (↓),0.101,0.889,0.683,0.693,0.706,5289.299,0.002s
BH (↓),168.869,2027.195,1660.398,1682.998,1683.226,1426.917,0.001s
D (↑),0.332,0.305,0.384*,0.400*,0.320,0.134,0.217s
H (↓),0.292,0.655,0.506,0.511,0.528,3.999,0.004s
DBCV (↑),0.832,-0.997,-0.998,-0.999,-0.999,-1.000,17.722s
I (↑),1.461,0.322,0.471,0.431,0.446,0.000,0.001s
C (↓),0.020,0.225,0.175,0.173,0.152,0.537,3.035s
CDbw (↑),0.476,0.022,0.002,0.003,0.011,0.002,0.024s
VIASCKDE (↑),0.740,0.735,0.720,0.722,0.726,-0.218,2.503s
COP (↓),0.199,0.299,0.366,0.340,0.336,0.382,0.072s
Sym (↑),0.005,0.000,0.001,0.001,0.001,0.000,0.019s
CS (↓),0.779,1.828,1.405,1.466,1.583,161.071,0.222s
SF (↑),0.370,0.306,0.327,0.315,0.317,0.051,0.004s
SD (↓),239185650.517,1366379224.407,1127580068.942,1327820414.490,1409774410.559,1927881601.988,2.994s
SDbw (↓),0.327,1.215,1.094,1.249,1.226,2.930,0.015s
XB* (↓),0.188,0.554,0.386,0.399,0.388,5076.847,0.007s
S (↑),0.646,0.352,0.403,0.410,0.436,-0.006,2.324s
DB (↓),0.485,1.230,1.066,1.114,1.112,131.127,0.005s
CH (↑),24826.832,4078.940,7188.656,6957.868,6955.574,0.474,0.002s
