,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.847,0.859*,0.531,0.762,0.793,0.001,0.001s
GD43 (↑),2.094,2.421*,0.719,1.550,1.530,0.020,0.000s
GD53 (↑),0.467,0.472*,0.412,0.462,0.392,0.496*,0.001s
PS (↑),1.315,1.444*,1.651*,1.659*,1.420*,1.828*,0.000s
rCIP (↓),0.029,0.018*,0.025*,0.074,0.039,0.343,0.001s
WB (↓),2.001,1.543*,6.811,2.540,2.238,9203.399,0.000s
XB (↓),0.193,0.169*,0.822,0.307,0.241,1144.397,0.000s
SSE (↓),96.322,83.865*,148.863,107.735,101.693,192.531,0.000s
RS (↑),0.065,0.157*,-0.598,-0.133,-0.135,-0.998,0.000s
DH (↓),0.476,0.459*,0.702,0.572,0.529,0.998,0.002s
B (↓),0.315,0.303*,1.599,0.598,0.425,2289.138,0.001s
BH (↓),48.161,41.933*,74.431,53.867,50.846,96.265,0.000s
D (↑),0.340,0.496*,0.209,0.272,0.201,0.097,0.000s
H (↓),0.304,0.281*,0.912,0.474,0.409,1.998,0.000s
DBCV (↑),0.219,-0.824,-0.952,-0.986,-0.969,-0.984,0.028s
I (↑),0.668,0.754*,0.173,0.440,0.572,0.000,0.000s
C (↓),0.114,0.089*,0.289,0.194,0.122,0.502,0.006s
CDbw (↑),0.097,0.015,0.034,0.018,0.013,0.006,0.309s
VIASCKDE (↑),0.611,0.615*,0.617*,0.591,0.605,-0.007,0.013s
COP (↓),0.266,0.266,0.287,0.292,0.237*,0.337,0.005s
Sym (↑),0.017,0.023*,0.009,0.015,0.015,0.000,0.010s
CS (↓),1.034,0.979*,2.449,1.524,1.358,83.540,0.001s
SF (↑),0.366,0.381*,0.283,0.341,0.350,0.229,0.001s
SD (↓),28021.473,25025.907*,46988.433,36635.282,36415.677,63253.976,0.017s
SDbw (↓),0.960,0.970,1.732,1.300,1.134,2.911,0.002s
XB* (↓),0.206,0.179*,0.999,0.333,0.307,1154.165,0.000s
S (↑),0.460,0.503*,0.301,0.390,0.448,-0.003,0.010s
DB (↓),0.789,0.763*,1.662,1.020,0.906,63.364,0.003s
CH (↑),370.723,480.897*,108.934,292.152,331.552,0.081,0.000s
MST-S (↑),0.554,0.429,0.226,0.074,0.465,0.006,0.032s
MST-DB (↓),1.055,1.163,1.378,2.308,1.142,5.808,0.031s
MST-CH (↑),756.896,641.025,564.850,646.081,670.203,68.483,0.042s
