,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.130,0.764*,0.764*,0.790*,0.586*,-0.036,0.002s
GD43 (↑),0.011,1.813*,1.813*,1.998*,1.051*,0.035*,0.001s
GD53 (↑),0.001,0.494*,0.494*,0.488*,0.500*,0.464*,0.000s
PS (↑),-0.426,1.830*,1.830*,1.963*,1.881*,1.083*,0.001s
rCIP (↓),1.420,0.054*,0.054*,0.021*,0.071*,2.235,0.000s
WB (↓),24.279,2.486*,2.486*,2.131*,5.658*,497.522,0.001s
XB (↓),389.679,0.309*,0.309*,0.266*,0.706*,435.253,0.001s
SSE (↓),104.246,67.289*,67.289*,62.635*,89.711*,120.452,0.000s
RS (↑),-3.197,-0.107*,-0.107*,-0.032*,-0.478*,-2.986*,0.000s
DH (↓),0.570,0.567*,0.567*,0.528*,0.695,0.991,0.001s
B (↓),3.296,0.620*,0.620*,0.537*,1.420*,93.769,0.001s
BH (↓),26.061,33.644,33.644,31.317,44.855,30.113,0.000s
D (↑),0.017,0.274*,0.274*,0.305*,0.190*,0.004,0.000s
H (↓),2.039,0.472*,0.472*,0.421*,0.828*,3.983,0.000s
DBCV (↑),0.635,-0.998,-0.998,-0.989,-0.992,-0.999,0.018s
I (↑),0.071,0.353*,0.353*,0.411*,0.157*,0.001,0.001s
C (↓),0.339,0.198*,0.198*,0.161*,0.304*,0.469,0.004s
CDbw (↑),1.683,0.004,0.004,0.009,0.007,0.004,0.007s
VIASCKDE (↑),0.699,0.454,0.454,0.520,0.510,-0.149,0.005s
COP (↓),0.237,0.234*,0.234*,0.229*,0.253,0.276,0.003s
Sym (↑),0.079,0.015,0.015,0.016,0.011,0.002,0.001s
CS (↓),4.943,1.412*,1.412*,1.341*,2.106*,40.562,0.000s
SF (↑),0.145,0.369*,0.369*,0.381*,0.323*,0.090,0.001s
SD (↓),4582493.560,2379258.468*,2379258.468*,2309315.227*,3455495.666*,4092866.460*,0.010s
SDbw (↓),2.631,2.042*,2.042*,1.930*,2.877,2.759,0.001s
XB* (↓),1465.803,0.313*,0.313*,0.273*,0.706*,455.570*,0.001s
S (↑),0.149,0.408*,0.408*,0.460*,0.294*,-0.035,0.002s
DB (↓),30.091,0.989*,0.989*,0.918*,1.484*,30.032*,0.001s
CH (↑),15.157,223.642*,223.642*,260.913*,98.263*,0.740,0.001s
