,gt,dp,vl,hl,rl
cSIL (↑),0.993,0.699,0.864,0.920,-0.013
GD43 (↑),44.604,0.814,1.177,1.823,0.024
GD53 (↑),0.478,0.416,0.337,0.338,0.486*
PS (↑),2.623,1.590,1.463,1.463,2.657*
rCIP (↓),0.000,0.038,0.000,0.000,0.547
WB (↓),0.045,3.460,1.632,0.954,2909.594
XB (↓),0.008,0.410,0.181,0.106,421.269
SSEI (↓),14.822,636.694,451.464,324.502,1003.699
RSI (↑),0.956,-0.315,0.319,0.508,-1.998
DHI (↑),0.089,0.507*,0.299*,0.243*,0.998*
BI (↑),0.010,0.780*,0.327*,0.191*,648.416*
BHI (↓),4.941,318.347,225.732,162.251,334.566
DI (↑),1.621,0.315,0.686,0.717,0.200
HI (↑),0.022,0.594*,0.218*,0.140*,2.992*
DBCVI (↓),0.698,0.897,0.715,0.652*,1.000
DBCV (↑),0.693,-0.922,-0.031,0.499,-0.926
SF (↑),0.635,0.254,0.408,0.471,0.052
SD (↓),367883.162,15929091.122,10679034.769,7749973.313,22906482.430
SDbw (↓),0.016,0.789,0.571,0.338,2.677
XB* (↓),0.008,0.492,0.269,0.157,429.329
SS (↑),0.895,0.466,0.612,0.697,-0.016
DBS (↓),0.150,1.130,0.585,0.452,38.929
CHS (↑),33260.130,576.313,1221.827,2089.945,0.513
ED-SS (↑),0.975,0.656,0.672,0.819,-0.122
ED-DBS (↓),0.050,0.587,0.626,0.317,32.692
ED-CHS (↑),12987.596,1343.658,839.022,1687.607,22.350
MST-SS (↑),0.981,0.625,0.589,0.727,-0.113
MST-DBS (↓),0.038,0.619,0.713,0.417,38.197
MST-CHS (↑),18918.306,1273.405,785.506,1342.894,19.719
idea (↓),0.112,1.440,1.331,0.752,40.536
