,gt,rl,time
cSIL (↑),0.455,-0.083,0.025s
GD43 (↑),0.267,0.009,0.003s
GD53 (↑),0.236,0.429*,0.004s
PS (↑),2.697,3.764*,0.003s
rCIP (↓),0.000,0.000,0.013s
WB (↓),2.589,3035.282,0.004s
XB (↓),1.771,843.082,0.004s
SSE (↓),1782.510,6586.799,0.001s
RS (↑),-0.889,-5.995,0.001s
DH (↓),0.478,0.997,0.075s
B (↓),0.319,375.403,0.001s
BH (↓),254.644,940.971,0.001s
D (↑),0.091,0.093*,0.004s
H (↓),3.354,6.983,0.002s
DBCV (↑),-0.493,-0.891,4.918s
I (↑),1.362,0.001,0.002s
C (↓),0.095,0.423,0.171s
CDbw (↑),nan,nan,0.000s
VIASCKDE (↑),0.134,-0.063,0.281s
COP (↓),0.340,0.495,0.020s
Sym (↑),0.001,0.000,0.068s
CS (↓),2.344,51.277,0.008s
SF (↑),0.004,0.000,0.002s
SD (↓),33742.243,83078.003,0.143s
SDbw (↓),0.721,2.541,0.010s
XB* (↓),2.698,916.842,0.002s
S (↑),0.239,-0.031,0.051s
DB (↓),1.943,41.578,0.002s
CH (↑),936.853,0.799,0.001s
