,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.377,0.759*,0.759*,0.831*,0.498*,-0.007,0.001s
GD43 (↑),0.238,1.490*,1.490*,2.294*,0.724*,0.043,0.001s
GD53 (↑),0.034,0.448*,0.448*,0.497*,0.462*,0.472*,0.000s
PS (↑),2.102,1.944,1.944,1.957,1.580,1.706,0.002s
rCIP (↓),0.520,0.047*,0.047*,0.006*,0.133*,0.974,0.001s
WB (↓),8.699,2.534*,2.534*,1.632*,8.360*,437.657,0.001s
XB (↓),1.957,0.317*,0.317*,0.204*,0.986*,242.311,0.002s
SSE (↓),113.749,85.500*,85.500*,68.749*,123.445,151.936,0.000s
RS (↑),-1.056,-0.117*,-0.117*,0.101*,-0.640*,-1.985,0.001s
DH (↓),0.613,0.552*,0.552*,0.478*,0.779,0.990,0.002s
B (↓),1.868,0.638*,0.638*,0.411*,1.879,101.769,0.000s
BH (↓),37.916,42.750,42.750,34.375*,61.723,50.645,0.000s
D (↑),0.033,0.246*,0.246*,0.302*,0.192*,0.023,0.000s
H (↓),1.255,0.479*,0.479*,0.339*,1.000*,2.970,0.001s
DBCV (↑),0.161,-0.917,-0.917,0.431*,-0.899,-0.975,0.011s
I (↑),0.152,0.492*,0.492*,0.764*,0.125,0.002,0.000s
C (↓),0.296,0.177*,0.177*,0.104*,0.350,0.495,0.006s
CDbw (↑),0.046,0.011,0.011,0.015,0.007,0.008,0.011s
VIASCKDE (↑),0.569,0.474,0.474,0.481,0.424,-0.128,0.006s
COP (↓),0.275,0.223*,0.223*,0.203*,0.330,0.329,0.003s
Sym (↑),0.013,0.016*,0.016*,0.036*,0.015*,0.002,0.003s
CS (↓),2.343,1.597*,1.597*,1.290*,2.434,25.585,0.000s
SF (↑),0.226,0.367*,0.367*,0.402*,0.266*,0.129,0.001s
SD (↓),250492.152,203428.531*,203428.531*,181632.981*,346783.779,379464.766,0.010s
SDbw (↓),1.706,1.721,1.721,1.515*,2.242,2.732,0.003s
XB* (↓),4.770,0.353*,0.353*,0.205*,1.068*,252.144,0.000s
S (↑),0.259,0.428*,0.428*,0.512*,0.208,-0.023,0.005s
DB (↓),2.541,0.944*,0.944*,0.758*,1.893*,23.955,0.002s
CH (↑),51.040,234.395*,234.395*,363.867*,71.053*,1.014,0.000s
