,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.782,0.850*,0.537,0.761,0.773,0.009,0.001s
GD43 (↑),1.638,2.321*,0.764,1.506,1.576,0.059,0.001s
GD53 (↑),0.498,0.497,0.495,0.499*,0.497,0.500*,0.001s
PS (↑),1.963,1.959,1.963,1.951,1.944,1.955,0.001s
rCIP (↓),0.067,0.009*,0.019*,0.049*,0.031*,0.282,0.001s
WB (↓),2.230,1.409*,6.885,2.507,2.347,910.097,0.000s
XB (↓),0.279,0.176*,0.861,0.313,0.293,113.760,0.001s
SSE (↓),331.751,260.120*,487.655,350.030,339.745,627.932,0.000s
RS (↑),-0.054,0.173*,-0.550,-0.112,-0.080,-0.996,0.000s
DH (↓),0.554,0.471*,0.718,0.576,0.547*,0.997,0.010s
B (↓),0.559,0.353*,1.725,0.628,0.588,227.973,0.000s
BH (↓),165.875,130.060*,243.827,175.015,169.872,313.966,0.000s
D (↑),0.083,0.443*,0.229*,0.288*,0.250*,0.111*,0.001s
H (↓),0.436,0.300*,0.925,0.477,0.454,1.983,0.000s
DBCV (↑),0.897,-0.991,-0.995,-0.985,-0.994,-0.992,2.181s
I (↑),0.562,0.882*,0.201,0.512,0.595*,0.001,0.000s
C (↓),0.167,0.082*,0.309,0.187,0.160*,0.499,0.033s
CDbw (↑),0.081,0.009,0.006,0.005,0.006,0.004,0.005s
VIASCKDE (↑),0.776,0.776,0.751,0.758,0.763,-0.012,0.031s
COP (↓),0.335,0.328*,0.325*,0.336,0.273*,0.384,0.010s
Sym (↑),0.004,0.010*,0.006*,0.006*,0.004,0.001,0.002s
CS (↓),1.277,1.026*,2.216,1.369,1.418,24.015,0.003s
SF (↑),0.321,0.364*,0.261,0.314,0.332*,0.199,0.000s
SD (↓),2800394.354,2157096.112*,4046471.617,3207358.425,3146102.826,5216868.191,0.029s
SDbw (↓),1.303,1.101*,2.170,1.511,1.338,2.937,0.001s
XB* (↓),0.280,0.177*,0.869,0.314,0.295,113.866,0.000s
S (↑),0.394,0.501*,0.272,0.379,0.419*,0.001,0.013s
DB (↓),1.007,0.804*,1.684,1.055,0.979*,20.303,0.001s
CH (↑),895.147,1416.470*,289.905,796.284,850.602,2.193,0.000s
ED-S (↑),0.814,-0.029,0.098,0.216,0.023,-0.168,3.001s
ED-DB (↓),0.496,1.596,1.736,1.376,5.634,1.938,1.213s
ED-CH (↑),3664.267,783.394,959.905,913.700,1664.493,516.827,1.237s
MST-S (↑),0.750,-0.651,0.215,-0.433,-0.188,-0.195,1.258s
MST-DB (↓),0.500,1.749,0.795,1.433,3.625,1.160,0.596s
MST-CH (↑),2243.152,662.558,1402.756,813.177,1487.620,864.145,0.623s
