,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.767,0.907*,0.907*,0.921*,0.840*,-0.055,0.002s
GD43 (↑),2.403,3.951*,3.951*,4.482*,1.971,0.016,0.001s
GD53 (↑),0.442,0.420,0.420,0.448*,0.342,0.401,0.001s
PS (↑),1.840,1.614,1.614,1.483,1.901*,1.111,0.001s
rCIP (↓),0.000,0.051,0.051,0.001,0.123,2.191,0.001s
WB (↓),0.786,0.833,0.833,0.802,1.471,716.178,0.001s
XB (↓),0.458,0.099*,0.099*,0.090*,0.184*,2028.482,0.001s
SSE (↓),80.416,113.888,113.888,110.910,164.171,385.736,0.000s
RS (↑),0.377,0.393*,0.393*,0.458*,0.165,-1.980,0.000s
DH (↓),0.346,0.371,0.371,0.337*,0.464,0.993,0.010s
B (↓),0.175,0.191,0.191,0.165*,0.368,157.821,0.000s
BH (↓),26.805,56.944,56.944,55.455,82.086,128.579,0.000s
D (↑),0.119,0.431*,0.431*,0.332*,0.192*,0.010,0.001s
H (↓),0.698,0.186*,0.186*,0.157*,0.297*,2.980,0.000s
DBCV (↑),0.212,-0.972,-0.972,-0.935,-0.951,-0.995,4.559s
I (↑),0.945,1.017*,1.017*,1.157*,0.547,0.001,0.001s
C (↓),0.075,0.059*,0.059*,0.049*,0.164,0.464,0.059s
CDbw (↑),0.053,0.016,0.016,0.024,0.030,0.022,0.009s
VIASCKDE (↑),0.768,0.768,0.768,0.784*,0.752,-0.119,0.070s
COP (↓),0.185,0.225,0.225,0.226,0.255,0.378,0.014s
Sym (↑),0.073,0.023,0.023,0.073,0.015,0.000,0.002s
CS (↓),1.600,0.950*,0.950*,0.968*,1.201*,48.591,0.004s
SF (↑),0.424,0.466*,0.466*,0.482*,0.422,0.170,0.001s
SD (↓),64218414.040,96179201.309,96179201.309,87407620.868,137939132.217,297665752.145,0.044s
SDbw (↓),1.162,0.957*,0.957*,0.848*,1.515,2.857,0.003s
XB* (↓),0.497,0.118*,0.118*,0.101*,0.268*,2329.727,0.001s
S (↑),0.472,0.601*,0.601*,0.627*,0.468,-0.036,0.020s
DB (↓),0.891,0.562*,0.562*,0.501*,0.754*,60.212,0.001s
CH (↑),1902.699,2396.367*,2396.367*,2487.512*,1356.717,2.088,0.000s
