Metric,Correlation,P-value
cSIL,-0.3356497991205185,0.4163272578315133
GD43,0.30185748616381297,0.4674581924917521
GD53,0.5693449061435847,0.14073822759246757
PS,0.5723401870028663,0.13818589408603058
rCIP,-0.40283544614109495,0.322418849615446
WB,-0.7193811832668483,0.04427020089242282
XB,-0.5657923037470509,0.1437990304419447
SSE,-0.3012338151657486,0.46842458078190313
RS,0.832660908899587,0.010293685469076623
DH,0.530349054395143,0.1763256599544499
B,-0.00101840704842953,0.9980904881044992
BH,0.26671348006016216,0.5231222913255845
D,0.19922123256653357,0.6362261462700308
H,-0.6453984510799602,0.08392764964874516
DBCV,-0.10417015156886085,0.806089358560087
I,0.46791875402421973,0.24230296202296714
C,-0.4206669907890262,0.2993613476220189
VIASCKDE,,
COP,0.6196754849984925,0.38032451500150755
Sym,0.3065949298278426,0.4601436716207155
CS,0.4147660390843165,0.30690131231276996
SF,0.545354360064415,0.16211437067275394
SD,-0.029738792163387734,0.9442726320481052
SDbw,,
XB*,-0.4851897473693142,0.2229588302307348
S,0.3975240693038142,0.32944337051052686
DB,0.17927599262160965,0.6709904551354039
CH,0.21958681130587712,0.6013184226578073
AD-S,-0.44098343412201396,0.27409785052966945
AD-DB,0.4647130751342141,0.24598378107305258
AD-CH,0.2223261026635526,0.5966715282548797
AD-idea,-0.5717305833454888,0.1387032497328064
