,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.884,0.861,0.211,0.831,0.841,0.016,0.000s
GD43 (↑),1.827,2.397*,0.362,1.886*,1.757,0.089,0.000s
GD53 (↑),0.252,0.489*,0.486*,0.471*,0.448*,0.493*,0.000s
PS (↑),1.963,1.254,1.833,1.262,1.229,1.833,0.000s
rCIP (↓),0.013,0.030,0.282,0.031,0.016,0.415,0.000s
WB (↓),0.933,1.902,30.000,2.471,2.661,479.033,0.000s
XB (↓),0.117,0.166,3.732,0.219,0.221,59.586,0.000s
SSE (↓),32.769,50.215,96.591,56.939,58.823,102.602,0.000s
RS (↑),0.364,0.052,-0.871,-0.024,0.042,-0.993,0.000s
DH (↓),0.314,0.418,0.897,0.452,0.430,0.991,0.000s
B (↓),0.236,0.257,7.502,0.342,0.334,119.788,0.000s
BH (↓),16.384,25.107,48.295,28.470,29.411,51.301,0.000s
D (↑),0.137,0.155*,0.129,0.150*,0.353*,0.095,0.000s
H (↓),0.190,0.278,1.576,0.336,0.308,1.967,0.000s
DBCV (↑),0.405,-0.784,-0.998,-0.803,-0.848,-0.999,0.005s
I (↑),2.015,0.875,0.035,0.671,0.665,0.002,0.000s
C (↓),0.083,0.109,0.461,0.156,0.163,0.501,0.001s
CDbw (↑),0.143,0.022,0.028,0.037,0.038,0.017,0.006s
VIASCKDE (↑),0.545,0.540,0.356,0.542,0.548*,-0.017,0.002s
COP (↓),0.255,0.285,0.305,0.230*,0.223*,0.309,0.002s
Sym (↑),0.084,0.026,0.006,0.021,0.022,0.001,0.001s
CS (↓),0.723,1.099,5.019,1.317,1.280,20.089,0.000s
SF (↑),0.494,0.383,0.244,0.366,0.374,0.232,0.000s
SD (↓),553005.834,823860.520,1720529.272,960223.488,906406.373,1724134.912,0.004s
SDbw (↓),0.600,0.887,2.862,0.983,0.919,3.148,0.001s
XB* (↓),0.231,0.169*,3.841,0.232,0.247,60.405,0.000s
S (↑),0.653,0.508,0.080,0.473,0.473,-0.002,0.001s
DB (↓),0.472,0.698,3.581,0.789,0.751,14.380,0.001s
CH (↑),424.544,208.255,13.200,160.277,148.804,0.827,0.000s
AD-S (↑),0.692,0.020,0.024,0.189,-0.005,-0.002,0.006s
AD-DB (↓),0.636,2.070,2.137,1.325,2.079,2.638,0.007s
AD-CH (↑),503.866,165.106,166.354,252.396,162.814,69.811,0.008s
AD-idea (↑),6.690,1.046,0.987,1.142,0.987,0.692,0.013s
