,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.959,0.382,0.933,0.923,0.914,-0.012,0.000s
GD43 (↑),6.857,0.438,3.533,3.351,3.339,0.035,0.000s
GD53 (↑),0.238,0.432*,0.390*,0.419*,0.459*,0.415*,0.000s
PS (↑),1.634,1.838*,1.868*,1.899*,1.963*,0.988,0.000s
rCIP (↓),0.000,0.163,0.029,0.031,0.043,1.928,0.000s
WB (↓),0.189,12.258,0.583,0.671,0.748,116.073,0.000s
XB (↓),0.051,1.525,0.073,0.084,0.093,220.961,0.000s
SSE (↓),5.269,76.587,20.099,22.382,24.244,86.839,0.000s
RS (↑),0.834,-0.700,0.555,0.501,0.456,-1.928,0.000s
DH (↓),0.170,0.806,0.304,0.323,0.340,0.965,0.000s
B (↓),0.040,3.089,0.147,0.170,0.190,22.983,0.000s
BH (↓),1.756,38.294,10.049,11.191,12.122,28.946,0.000s
D (↑),0.745,0.062,0.574,0.459,0.406,0.023,0.000s
H (↓),0.118,1.194,0.133,0.153,0.171,2.896,0.000s
DBCV (↑),0.845,-0.968,-0.826,-0.879,-0.909,-0.995,0.003s
I (↑),8.969,0.128,2.601,2.307,2.084,0.013,0.000s
C (↓),0.002,0.417,0.041,0.059,0.073,0.478,0.000s
CDbw (↑),0.226,0.028,0.051,0.033,0.044,0.027,0.629s
VIASCKDE (↑),0.573,0.344,0.483,0.475,0.460,-0.100,0.001s
COP (↓),0.208,0.466,0.300,0.310,0.317,0.507,0.002s
Sym (↑),0.470,0.021,0.145,0.117,0.093,0.006,0.003s
CS (↓),0.503,3.115,0.667,0.781,0.858,15.277,0.000s
SF (↑),0.530,0.228,0.475,0.460,0.447,0.097,0.000s
SD (↓),5792.113,88913.200,23320.496,26178.258,29665.390,103765.738,0.003s
SDbw (↓),0.188,2.029,0.895,0.943,1.002,2.612,0.001s
XB* (↓),0.079,1.766,0.093,0.100,0.102,247.740,0.000s
S (↑),0.733,0.144,0.647,0.617,0.595,-0.065,0.001s
DB (↓),0.365,2.173,0.478,0.511,0.541,19.705,0.001s
CH (↑),930.550,19.253,405.012,351.668,315.589,1.512,0.000s
ED-S (↑),0.685,0.029,0.340,0.330,0.292,-0.110,0.124s
ED-DB (↓),0.742,0.721*,1.163,1.832,1.933,11.671,0.030s
ED-CH (↑),151.421,133.088,102.840,102.490,99.687,8.107,0.034s
AD-S (↑),0.730,0.090,0.413,0.402,0.390,0.012,0.004s
AD-DB (↓),0.556,1.755,1.429,1.450,1.484,10.087,0.004s
AD-CH (↑),196.916,88.389,116.238,116.131,116.595,9.435,0.005s
AD-idea (↑),5.241,0.843,1.127,1.399,1.388,0.041,0.008s
