,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors
algorithm,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering
metric,,,,,,,,,,,,
AD-CH,9,6,13,14,7,7,363,214,426,414,173,251
AD-DB,7,8,10,11,6,11,458,260,435,534,228,178
AD-S,10,10,13,14,4,13,400,198,362,438,298,212
AD-idea,7,0,9,9,1,5,329,395,516,672,406,376
B,0,0,7,7,1,0,968,398,644,816,453,900
BH,1,0,8,6,1,0,850,401,631,882,470,919
C,2,7,12,12,3,3,873,228,489,540,375,772
CDbw,2,1,6,7,2,1,575,392,623,828,352,584
CH,4,7,12,9,2,1,819,203,431,618,367,797
COP,0,2,10,8,1,1,807,372,550,780,385,601
CS,2,2,7,11,1,4,950,360,615,624,401,808
D,2,3,4,13,2,2,1132,738,1394,408,330,723
DB,2,1,8,11,2,3,1041,385,672,570,305,747
DBCV,6,0,7,8,2,7,465,414,612,612,318,242
DH,0,0,6,7,0,1,904,409,630,816,446,820
GD43,3,3,4,10,1,4,924,724,1391,630,409,739
GD53,1,2,2,8,4,2,863,764,1484,846,299,541
H,2,2,3,9,4,2,987,762,1439,678,234,644
I,4,0,8,11,6,2,851,397,591,612,196,759
PS,3,3,3,9,6,5,753,745,1448,612,243,490
RS,1,3,5,9,1,3,921,728,1340,708,399,729
S,5,3,11,14,4,3,821,272,564,534,248,670
SD,0,1,9,6,1,1,866,389,544,858,426,881
SDbw,1,2,8,9,0,3,920,398,525,732,449,818
SF,2,1,7,9,5,2,783,403,648,582,209,458
SSE,1,3,12,6,1,0,863,307,450,870,470,902
Sym,6,3,10,10,3,4,679,287,481,690,365,566
VIASCKDE,6,7,13,13,8,9,628,310,499,402,254,301
WB,5,3,6,9,1,1,828,722,1295,762,402,851
XB,4,2,3,11,2,2,909,763,1439,552,249,730
XB*,4,1,6,11,3,4,970,360,743,678,264,707
cSIL,3,2,5,10,2,4,1030,761,1343,678,350,799
rCIP,3,3,3,12,4,3,858,738,1439,468,218,600
